country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
FR,p0p1,2023,17741.6,0,.0039,0,0,.01
FR,p10p11,2023,21123.7,6537.200000000001,.0046,.0014,.1,.11
FR,p11p12,2023,22083.7,7725.700000000001,.0048,.0017,.11,.12
FR,p12p13,2023,23094.3,8914.300000000001,.005,.0019,.12,.13
FR,p13p14,2023,24125.4,10102.9,.0053,.0022,.13,.14
FR,p14p15,2023,25142.1,11291.5,.0055,.0025,.14,.15
FR,p15p16,2023,26118.4,12480,.0057,.0027,.15,.16
FR,p16p17,2023,26909.1,13668.6,.0059,.003,.16,.17
FR,p17p18,2023,27614.6,14857.2,.006,.0032,.17,.18
FR,p18p19,2023,28222.9,16045.8,.0061,.0035,.18,.19
FR,p19p20,2023,28730.7,17234.3,.0063,.0038,.19,.2
FR,p1p2,2023,17764.9,0,.0039,0,.01,.02
FR,p20p21,2023,29147.3,17828.6,.0063,.0039,.2,.21
FR,p21p22,2023,29383.9,18405,.0064,.004,.21,.22
FR,p22p23,2023,29561.9,18911.9,.0064,.0041,.22,.23
FR,p23p24,2023,29701.6,19373.8,.0065,.0042,.23,.24
FR,p24p25,2023,29824.6,19815.2,.0065,.0043,.24,.25
FR,p25p26,2023,29947.8,20256,.0065,.0044,.25,.26
FR,p26p27,2023,30310.7,20714.7,.0066,.0045,.26,.27
FR,p27p28,2023,30701.8,21204.6,.0067,.0046,.27,.28
FR,p28p29,2023,31128.5,21734.6,.0068,.0047,.28,.29
FR,p29p30,2023,31594.7,22308.1,.0069,.0049,.29,.3
FR,p2p3,2023,17807.6,0,.0039,0,.02,.03
FR,p30p31,2023,32095,22919.9,.007,.005,.3,.31
FR,p31p32,2023,32595.1,23561,.0071,.0051,.31,.32
FR,p32p33,2023,33108.9,24218.7,.0072,.0053,.32,.33
FR,p33p34,2023,33627.4,24881.9,.0073,.0054,.33,.34
FR,p34p35,2023,34140.9,25540.5,.0074,.0056,.34,.35
FR,p35p36,2023,34641.6,26185.3,.0075,.0057,.35,.36
FR,p36p37,2023,34821.5,26808.5,.0076,.0058,.36,.37
FR,p37p38,2023,35046.6,27483.2,.0076,.006,.37,.38
FR,p38p39,2023,35659.6,28594.8,.0078,.0062,.38,.39
FR,p39p40,2023,36297.2,29734.4,.0079,.0065,.39,.4
FR,p3p4,2023,17904.8,0,.0039,0,.03,.04
FR,p40p41,2023,36889,30823.7,.008,.0067,.4,.41
FR,p41p42,2023,37448.8,31900,.0082,.0069,.41,.42
FR,p42p43,2023,37930,32890.6,.0083,.0072,.42,.43
FR,p43p44,2023,38015.5,33448.3,.0083,.0073,.43,.44
FR,p44p45,2023,38025.1,33890.3,.0083,.0074,.44,.45
FR,p45p46,2023,38038.2,34369.9,.0083,.0075,.45,.46
FR,p46p47,2023,38506.5,34755.9,.0084,.0076,.46,.47
FR,p47p48,2023,38965.3,35132.9,.0085,.0076,.47,.48
FR,p48p49,2023,39453.60000000001,35544.8,.0086,.0077,.48,.49
