country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GA,p0p1,2023,264226.1,0,.0004,0,0,.01
GA,p10p11,2023,1165043.8,621117.8,.0018,.001,.1,.11
GA,p11p12,2023,1222908.8,734048.3,.0019,.0011,.11,.12
GA,p12p13,2023,1301524.4,846978.8,.002,.0013,.12,.13
GA,p13p14,2023,1373464.7,959909.3,.0021,.0015,.13,.14
GA,p14p15,2023,1437928.7,1072839.9,.0022,.0017,.14,.15
GA,p15p16,2023,1510822.6,1185770.4,.0024,.0019,.15,.16
GA,p16p17,2023,1581160.8,1298700.8,.0025,.002,.16,.17
GA,p17p18,2023,1639369.2,1411631.4,.0026,.0022,.17,.18
GA,p18p19,2023,1698378.5,1524561.9,.0027,.0024,.18,.19
GA,p19p20,2023,1755099.2,1637492.4,.0027,.0026,.19,.2
GA,p1p2,2023,366491.2,0,.0006,0,.01,.02
GA,p20p21,2023,1803351.8,1693957.7,.0028,.0026,.2,.21
GA,p21p22,2023,1858317.9,1749576.2,.0029,.0027,.21,.22
GA,p22p23,2023,1914695.3,1806507,.003,.0028,.22,.23
GA,p23p24,2023,1979502.6,1872062.4,.0031,.0029,.23,.24
GA,p24p25,2023,2039656.3,1932696.9,.0032,.003,.24,.25
GA,p25p26,2023,2106332.7,1999886.8,.0033,.0031,.25,.26
GA,p26p27,2023,2156568.8,2049447.5,.0034,.0032,.26,.27
GA,p27p28,2023,2224427.7,2117101.2,.0035,.0033,.27,.28
GA,p28p29,2023,2292286.5,2184538.8,.0036,.0034,.28,.29
GA,p29p30,2023,2358238.1,2249948.5,.0037,.0035,.29,.3
GA,p2p3,2023,466086.2,0,.0007,0,.02,.03
GA,p30p31,2023,2421672.2,2312614.7,.0038,.0036,.3,.31
GA,p31p32,2023,2494718.7,2385927.6,.0039,.0037,.31,.32
GA,p32p33,2023,2562501.3,2453805.2,.004,.0038,.32,.33
GA,p33p34,2023,2630055,2521394.5,.0041,.0039,.33,.34
GA,p34p35,2023,2698257.1,2589543.3,.0042,.004,.34,.35
GA,p35p36,2023,2767603.6,2658884.4,.0043,.0042,.35,.36
GA,p36p37,2023,2834737.7,2726565.1,.0044,.0043,.36,.37
GA,p37p38,2023,2911217.2,2803810.4,.0045,.0044,.37,.38
GA,p38p39,2023,2976138.9,2869114.8,.0047,.0045,.38,.39
GA,p39p40,2023,3051550.4,2945071,.0048,.0046,.39,.4
GA,p3p4,2023,561981.1,0,.0009,0,.03,.04
GA,p40p41,2023,3136230.9,3030487.6,.0049,.0047,.4,.41
GA,p41p42,2023,3206645.4,3102406.7,.005,.0048,.41,.42
GA,p42p43,2023,3262679.5,3159513,.0051,.0049,.42,.43
GA,p43p44,2023,3337633.2,3235990.4,.0052,.0051,.43,.44
GA,p44p45,2023,3428035.4,3328402.6,.0054,.0052,.44,.45
GA,p45p46,2023,3507795.3,3409746.1,.0055,.0053,.45,.46
GA,p46p47,2023,3564477.9,3466965.7,.0056,.0054,.46,.47
GA,p47p48,2023,3642673.8,3546181.7,.0057,.0055,.47,.48
GA,p48p49,2023,3738721.4,3643655.5,.0058,.0057,.48,.49
GA,p49p50,2023,3806542.1,3712202.8,.0059,.0058,.49,.5
GA,p4p5,2023,655740,0,.001,0,.04,.05
GA,p50p51,2023,3892328.8,3799101.3,.0061,.0059,.5,.51
GA,p51p52,2023,3976170.2,3885286.2,.0062,.0061,.51,.52
GA,p52p53,2023,4071340.4,3983124.4,.0064,.0062,.52,.53
GA,p53p54,2023,4158958,4073161.5,.0065,.0064,.53,.54
GA,p54p55,2023,4231623.100000001,4147880.4,.0066,.0065,.54,.55
GA,p55p56,2023,4313824.2,4232396.2,.0067,.0066,.55,.5600000000000001
GA,p56p57,2023,4418797.5,4340708,.0069,.0068,.5600000000000001,.57
GA,p57p58,2023,4527013.100000001,4452382.8,.0071,.007,.57,.58
GA,p58p59,2023,4632596.8,4561315.7,.0072,.0071,.58,.59
GA,p59p60,2023,4743863.9,4676097,.0074,.0073,.59,.6
GA,p5p6,2023,735080.3,56465.2,.0011,.0001,.05,.06
GA,p60p61,2023,4869587.8,4805716.9,.0076,.0075,.6,.61
GA,p61p62,2023,4993366.3,4934077.5,.0078,.0077,.61,.62
GA,p62p63,2023,5097920.100000001,5042747.9,.008,.0079,.62,.63
GA,p63p64,2023,5212658.4,5161919.9,.0081,.0081,.63,.64
GA,p64p65,2023,5346430.7,5300723.100000001,.0084,.0083,.64,.65
GA,p65p66,2023,5481118.5,5440524.600000001,.0086,.0085,.65,.66
GA,p66p67,2023,5625342.4,5590150.100000001,.0088,.0087,.66,.67
GA,p67p68,2023,5773762.2,5744270.100000001,.009,.009,.67,.68
GA,p68p69,2023,5944610.9,5921495.5,.0093,.0093,.68,.6899999999999999
GA,p69p70,2023,6080481.2,6062825.2,.0095,.0095,.6899999999999999,.7
GA,p6p7,2023,826359.8,169395.7,.0013,.0003,.06,.07
GA,p70p71,2023,6221424.600000001,6209512.4,.0097,.0097,.7,.71
GA,p71p72,2023,6390785.7,6385484.9,.01,.01,.71,.72
GA,p72p73,2023,6538023,6538762.7,.0102,.0102,.72,.73
GA,p73p74,2023,6701700.5,6709102.4,.0105,.0105,.73,.74
GA,p74p75,2023,6859351.300000001,6873447.5,.0107,.0107,.74,.75
GA,p75p76,2023,7064949.5,7087263.4,.011,.0111,.75,.76
GA,p76p77,2023,7299995.100000001,7331242.100000001,.0114,.0115,.76,.77
GA,p77p78,2023,7514366.5,7554091.7,.0117,.0118,.77,.78
GA,p78p79,2023,7750480.300000001,7799482.800000001,.0121,.0122,.78,.79
GA,p79p80,2023,8057618.800000001,8118447.300000001,.0126,.0127,.79,.8
GA,p7p8,2023,923475.4,282326.3,.0014,.0004,.07,.08
GA,p80p81,2023,8399049.1,8473030.300000001,.0131,.0132,.8,.8100000000000001
GA,p81p82,2023,8662703.1,8748392.800000001,.0135,.0137,.8100000000000001,.82
GA,p82p83,2023,8986396.300000001,9085939.6,.014,.0142,.82,.83
GA,p83p84,2023,9419754.6,9537185.200000001,.0147,.0149,.83,.84
GA,p84p85,2023,9832782,9967616.5,.0154,.0156,.84,.85
GA,p85p86,2023,10231219.1,10383199.6,.016,.0162,.85,.86
GA,p86p87,2023,10746778.5,10919599,.0168,.0171,.86,.87
GA,p87p88,2023,11292967.9,11487924,.0176,.018,.87,.88
GA,p88p89,2023,11951282.7,12172621.6,.0187,.019,.88,.89
GA,p89p90,2023,12705702.2,12957157.3,.0199,.0202,.89,.9
GA,p8p9,2023,1011894.1,395256.8,.0016,.0006,.08,.09
GA,p90p91,2023,13445913,13727170.8,.021,.0215,.9,.91
GA,p91p92,2023,14548380.9,14888979.5,.0227,.0233,.91,.92
GA,p92p93,2023,15840846,16250886.4,.0248,.0254,.92,.93
GA,p93p94,2023,17445255.8,17940408.3,.0273,.028,.93,.9399999999999999
GA,p94p95,2023,19597590.6,20204541.9,.0306,.0316,.9399999999999999,.95
GA,p95p96,2023,22008620.6,22743253.1,.0344,.0355,.95,.96
GA,p96p97,2023,25614971.4,26636132.7,.04,.0416,.96,.97
GA,p97p98,2023,30914799.3,32349791.4,.0483,.0505,.97,.98
GA,p98p99,2023,39813096.3,41926686.7,.0622,.0655,.98,.99
GA,p99.1p99.2,2023,46805871.90000001,49610474,.0073,.0078,.991,.992
GA,p99.2p99.3,2023,48779509.8,51731760.40000001,.0076,.0081,.992,.993
GA,p99.3p99.4,2023,51140837.6,54269833.90000001,.008,.0085,.993,.9940000000000001
GA,p99.4p99.5,2023,54057929,57393399.7,.0084,.009,.9940000000000001,.995
GA,p99.5p99.6,2023,57789856,61389947.40000001,.009,.0096,.995,.996
GA,p99.6p99.7,2023,62854166.1,66804816.40000001,.0098,.0104,.996,.997
GA,p99.7p99.8,2023,70417362.2,74860188.3,.011,.0117,.997,.998
GA,p99.8p99.9,2023,83980264,89280772.7,.0131,.014,.998,.9990000000000001
GA,p99.9p100,2023,143140433,152165173.5,.0224,.0238,.9990000000000001,1
GA,p99p99.1,2023,45131381.3,47799164.2,.0071,.0075,.99,.991
GA,p9p10,2023,1087839.6,508187.3,.0017,.0008,.09,.1
