country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GB,p0p1,2023,14726.2,0,.0032,0,0,.01
GB,p10p11,2023,23584.5,7121.3,.005,.0015,.1,.11
GB,p11p12,2023,24193.9,8416,.0052,.0018,.11,.12
GB,p12p13,2023,24832.2,9710.800000000001,.0053,.0021,.12,.13
GB,p13p14,2023,25633.5,11005.6,.0055,.0024,.13,.14
GB,p14p15,2023,26391.7,12300.4,.0056,.0026,.14,.15
GB,p15p16,2023,26914.9,13595.1,.0058,.0029,.15,.16
GB,p16p17,2023,27294.1,14889.9,.0058,.0032,.16,.17
GB,p17p18,2023,27724.6,16184.7,.0059,.0035,.17,.18
GB,p18p19,2023,28210.5,17479.4,.006,.0037,.18,.19
GB,p19p20,2023,28648,18774.2,.0061,.004,.19,.2
GB,p1p2,2023,14737,0,.0032,0,.01,.02
GB,p20p21,2023,29186.5,19421.6,.0062,.0042,.2,.21
GB,p21p22,2023,29525.9,20037.8,.0063,.0043,.21,.22
GB,p22p23,2023,29778.1,20540.4,.0064,.0044,.22,.23
GB,p23p24,2023,29946.4,20934.7,.0064,.0045,.23,.24
GB,p24p25,2023,30281.8,21533,.0065,.0046,.24,.25
GB,p25p26,2023,30607.3,22114.4,.0065,.0047,.25,.26
GB,p26p27,2023,30883.1,22712.7,.0066,.0049,.26,.27
GB,p27p28,2023,31118.5,23256.3,.0067,.005,.27,.28
GB,p28p29,2023,31358.4,23802,.0067,.0051,.28,.29
GB,p29p30,2023,31612.5,24361.4,.0068,.0052,.29,.3
GB,p2p3,2023,14799.7,0,.0032,0,.02,.03
GB,p30p31,2023,31826.2,24867.1,.0068,.0053,.3,.31
GB,p31p32,2023,32165.3,25623.2,.0069,.0055,.31,.32
GB,p32p33,2023,32218.3,25832.4,.0069,.0055,.32,.33
GB,p33p34,2023,32313.3,26286.6,.0069,.0056,.33,.34
GB,p34p35,2023,32351.2,26605.2,.0069,.0057,.34,.35
GB,p35p36,2023,32521.1,27084.7,.007,.0058,.35,.36
GB,p36p37,2023,33004,27813.4,.0071,.0059,.36,.37
GB,p37p38,2023,33302.1,28316,.0071,.0061,.37,.38
GB,p38p39,2023,33625.6,28849,.0072,.0062,.38,.39
GB,p39p40,2023,34106.5,29574.6,.0073,.0063,.39,.4
GB,p3p4,2023,15308.2,0,.0033,0,.03,.04
GB,p40p41,2023,34263.1,29905.8,.0073,.0064,.4,.41
GB,p41p42,2023,34676,30654.4,.0074,.0066,.41,.42
GB,p42p43,2023,34744.3,30900.5,.0074,.0066,.42,.43
GB,p43p44,2023,34811.2,30901.5,.0074,.0066,.43,.44
GB,p44p45,2023,35130.2,31682.7,.0075,.0068,.44,.45
GB,p45p46,2023,35181.7,31785.8,.0075,.0068,.45,.46
GB,p46p47,2023,35918.4,32762.6,.0077,.007,.46,.47
GB,p47p48,2023,36132.4,33040.2,.0077,.0071,.47,.48
GB,p48p49,2023,36681.8,33724.7,.0078,.0072,.48,.49
GB,p49p50,2023,37098.7,34246.2,.0079,.0073,.49,.5
GB,p4p5,2023,16361.7,0,.0035,0,.04,.05
GB,p50p51,2023,37338.3,34550.1,.008,.0074,.5,.51
GB,p51p52,2023,37851.8,35197.8,.0081,.0075,.51,.52
GB,p52p53,2023,38797.2,36403.8,.0083,.0078,.52,.53
GB,p53p54,2023,38810.5,36404.9,.0083,.0078,.53,.54
GB,p54p55,2023,38825.9,36405.9,.0083,.0078,.54,.55
GB,p55p56,2023,39374.2,37124.1,.0084,.0079,.55,.5600000000000001
GB,p56p57,2023,39412.10000000001,37301.8,.0084,.008,.5600000000000001,.57
GB,p57p58,2023,40335.7,38556.2,.0086,.0082,.57,.58
GB,p58p59,2023,40818,39273.3,.0087,.0084,.58,.59
GB,p59p60,2023,41268.3,39952.5,.0088,.0085,.59,.6
GB,p5p6,2023,18357.2,647.4000000000001,.0039,.0001,.05,.06
GB,p60p61,2023,41668.10000000001,40570.8,.0089,.0087,.6,.61
GB,p61p62,2023,42437.7,41649.60000000001,.0091,.0089,.61,.62
GB,p62p63,2023,43223.10000000001,42750.5,.0092,.0091,.62,.63
GB,p63p64,2023,43746.10000000001,43533.8,.0094,.0093,.63,.64
GB,p64p65,2023,44085.7,44097.4,.0094,.0094,.64,.65
GB,p65p66,2023,44687.3,44981.7,.0096,.0096,.65,.66
GB,p66p67,2023,45119.4,45604.10000000001,.0097,.0098,.66,.67
GB,p67p68,2023,45630.7,46325.4,.0098,.0099,.67,.68
GB,p68p69,2023,45982.10000000001,46853.3,.0098,.01,.68,.6899999999999999
GB,p69p70,2023,46823.2,47981.5,.01,.0103,.6899999999999999,.7
GB,p6p7,2023,19731.7,1942.2,.0042,.0004,.06,.07
GB,p70p71,2023,47333.4,48707,.0101,.0104,.7,.71
GB,p71p72,2023,47810.10000000001,49396.8,.0102,.0106,.71,.72
GB,p72p73,2023,48418.2,50248.5,.0104,.0107,.72,.73
GB,p73p74,2023,48940.2,50997.10000000001,.0105,.0109,.73,.74
GB,p74p75,2023,49683.2,52018.10000000001,.0106,.0111,.74,.75
GB,p75p76,2023,50564.60000000001,53212.5,.0108,.0114,.75,.76
GB,p76p77,2023,51215.3,54168.3,.011,.0116,.76,.77
GB,p77p78,2023,51577,54775,.011,.0117,.77,.78
GB,p78p79,2023,52850.3,56507.8,.0113,.0121,.78,.79
GB,p79p80,2023,53934.5,58018.8,.0115,.0124,.79,.8
GB,p7p8,2023,20731.4,3236.9,.0044,.0007,.07,.08
GB,p80p81,2023,55001.3,59520.3,.0118,.0127,.8,.8100000000000001
GB,p81p82,2023,55890.4,60823,.012,.013,.8100000000000001,.82
GB,p82p83,2023,57165.3,62618.9,.0122,.0134,.82,.83
GB,p83p84,2023,58648.2,64693.5,.0125,.0138,.83,.84
GB,p84p85,2023,59646.10000000001,66190.8,.0128,.0142,.84,.85
GB,p85p86,2023,61385,68634.40000000001,.0131,.0147,.85,.86
GB,p86p87,2023,63557.7,71656.3,.0136,.0153,.86,.87
GB,p87p88,2023,65268.4,74138.8,.014,.0159,.87,.88
GB,p88p89,2023,66473.3,76024.10000000001,.0142,.0163,.88,.89
GB,p89p90,2023,68184.60000000001,78583.3,.0146,.0168,.89,.9
GB,p8p9,2023,21645.3,4531.7,.0046,.001,.08,.09
GB,p90p91,2023,72263.40000000001,84180.3,.0155,.018,.9,.91
GB,p91p92,2023,74633.8,87806.8,.016,.0188,.91,.92
