country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GD,p0p1,2023,0,0,0,0,0,.01
GD,p10p11,2023,4167.900000000001,2005.9,.0013,.0006,.1,.11
GD,p11p12,2023,4791.3,2434.3,.0015,.0007,.11,.12
GD,p12p13,2023,5602,2873.2,.0017,.0009,.12,.13
GD,p13p14,2023,6963.8,3321.5,.0021,.001,.13,.14
GD,p14p15,2023,7413.700000000001,3778.2,.0023,.0012,.14,.15
GD,p15p16,2023,8743.200000000001,4242.7,.0027,.0013,.15,.16
GD,p16p17,2023,9117.800000000001,4714.1,.0028,.0015,.16,.17
GD,p17p18,2023,9589.4,5192.400000000001,.003,.0016,.17,.18
GD,p18p19,2023,9934,5676.700000000001,.0031,.0017,.18,.19
GD,p19p20,2023,9945.400000000001,6166.5,.0031,.0019,.19,.2
GD,p1p2,2023,0,0,0,0,.01,.02
GD,p20p21,2023,9981.6,6413.400000000001,.0031,.002,.2,.21
GD,p21p22,2023,10108.1,6926.900000000001,.0031,.0021,.21,.22
GD,p22p23,2023,10128.6,7441,.0031,.0023,.22,.23
GD,p23p24,2023,10615.5,7955.900000000001,.0033,.0025,.23,.24
GD,p24p25,2023,10661.5,8471.200000000001,.0033,.0026,.24,.25
GD,p25p26,2023,10789,8986.4,.0033,.0028,.25,.26
GD,p26p27,2023,10930.1,9501.9,.0034,.0029,.26,.27
GD,p27p28,2023,11382.9,10017.4,.0035,.0031,.27,.28
GD,p28p29,2023,11886.7,10532.3,.0037,.0032,.28,.29
GD,p29p30,2023,12392.9,11046.9,.0038,.0034,.29,.3
GD,p2p3,2023,0,0,0,0,.02,.03
GD,p30p31,2023,12899.6,11560.7,.004,.0036,.3,.31
GD,p31p32,2023,13407.6,12074,.0041,.0037,.31,.32
GD,p32p33,2023,13913.6,12586,.0043,.0039,.32,.33
GD,p33p34,2023,14418.8,13097,.0044,.004,.33,.34
GD,p34p35,2023,14923.6,13606.7,.0046,.0042,.34,.35
GD,p35p36,2023,15429.2,14115.2,.0048,.0043,.35,.36
GD,p36p37,2023,15929.2,14621.7,.0049,.0045,.36,.37
GD,p37p38,2023,16423.8,15127,.0051,.0047,.37,.38
GD,p38p39,2023,16918.7,15629.8,.0052,.0048,.38,.39
GD,p39p40,2023,17410.4,16131.2,.0054,.005,.39,.4
GD,p3p4,2023,0,0,0,0,.03,.04
GD,p40p41,2023,17897.8,16630.2,.0055,.0051,.4,.41
GD,p41p42,2023,18373,17126.9,.0057,.0053,.41,.42
GD,p42p43,2023,18846.7,17621.1,.0058,.0054,.42,.43
GD,p43p44,2023,19316.1,18113,.006,.0056,.43,.44
GD,p44p45,2023,19780.1,18602.1,.0061,.0057,.44,.45
GD,p45p46,2023,20239.6,19088.2,.0062,.0059,.45,.46
GD,p46p47,2023,20699.8,19571.3,.0064,.006,.46,.47
GD,p47p48,2023,21152.4,20051.4,.0065,.0062,.47,.48
GD,p48p49,2023,21600.3,20528.1,.0067,.0063,.48,.49
GD,p49p50,2023,22047.3,21001,.0068,.0065,.49,.5
GD,p4p5,2023,0,0,0,0,.04,.05
GD,p50p51,2023,22486.3,21470.5,.0069,.0066,.5,.51
GD,p51p52,2023,22918.8,21935.6,.0071,.0068,.51,.52
GD,p52p53,2023,23347.5,22396.5,.0072,.0069,.52,.53
GD,p53p54,2023,23767.2,22852.8,.0073,.007,.53,.54
GD,p54p55,2023,24180.9,23304.2,.0074,.0072,.54,.55
GD,p55p56,2023,24590,23750.6,.0076,.0073,.55,.5600000000000001
GD,p56p57,2023,24987.8,24191.8,.0077,.0075,.5600000000000001,.57
GD,p57p58,2023,25381.4,24627.3,.0078,.0076,.57,.58
GD,p58p59,2023,25768.3,25057.4,.0079,.0077,.58,.59
GD,p59p60,2023,26148,25481.6,.0081,.0078,.59,.6
GD,p5p6,2023,2027.6,129.1,.0006,0,.05,.06
GD,p60p61,2023,26521.2,25899.9,.0082,.008,.6,.61
GD,p61p62,2023,26882.5,26312.2,.0083,.0081,.61,.62
