country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GE,p0p1,2023,7222.900000000001,0,.003,0,0,.01
GE,p10p11,2023,8154.1,2445.9,.0034,.001,.1,.11
GE,p11p12,2023,8167,2890.6,.0034,.0012,.11,.12
GE,p12p13,2023,8183.700000000001,3335.1,.0034,.0014,.12,.13
GE,p13p14,2023,8221.9,3780,.0034,.0016,.13,.14
GE,p14p15,2023,8281.800000000001,4224.7,.0034,.0018,.14,.15
GE,p15p16,2023,8298.4,4669.2,.0035,.0019,.15,.16
GE,p16p17,2023,8341.700000000001,5114.1,.0035,.0021,.16,.17
GE,p17p18,2023,8437.800000000001,5558.8,.0035,.0023,.17,.18
GE,p18p19,2023,8557.6,6003.5,.0036,.0025,.18,.19
GE,p19p20,2023,8775.6,6448.200000000001,.0037,.0027,.19,.2
GE,p1p2,2023,7224.1,0,.003,0,.01,.02
GE,p20p21,2023,9005.800000000001,6670.400000000001,.0038,.0028,.2,.21
GE,p21p22,2023,9064.700000000001,6894.900000000001,.0038,.0029,.21,.22
GE,p22p23,2023,9147.1,7144.900000000001,.0038,.003,.22,.23
GE,p23p24,2023,9222.4,7442.6,.0038,.0031,.23,.24
GE,p24p25,2023,9222.700000000001,7803.400000000001,.0038,.0032,.24,.25
GE,p25p26,2023,9231.1,7847.5,.0038,.0033,.25,.26
GE,p26p27,2023,9256.300000000001,7863.3,.0039,.0033,.26,.27
GE,p27p28,2023,9279.800000000001,7951,.0039,.0033,.27,.28
GE,p28p29,2023,9296,8063.8,.0039,.0034,.28,.29
GE,p29p30,2023,9310.4,8154.700000000001,.0039,.0034,.29,.3
GE,p2p3,2023,7326.5,0,.0031,0,.02,.03
GE,p30p31,2023,9336.5,8216.6,.0039,.0034,.3,.31
GE,p31p32,2023,9354.5,8335.4,.0039,.0035,.31,.32
GE,p32p33,2023,9451.300000000001,8481.700000000001,.0039,.0035,.32,.33
GE,p33p34,2023,9477.200000000001,8654.300000000001,.0039,.0036,.33,.34
GE,p34p35,2023,9563.9,8885.9,.004,.0037,.34,.35
GE,p35p36,2023,9606.800000000001,9112.9,.004,.0038,.35,.36
