country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GG,p0p1,2023,0,0,0,0,0,.01
GG,p10p11,2023,43139.7,16694.3,.0031,.0012,.1,.11
GG,p11p12,2023,47484.60000000001,19729.6,.0034,.0014,.11,.12
GG,p12p13,2023,52953.9,22764.9,.0038,.0016,.12,.13
GG,p13p14,2023,59352.4,25800.1,.0043,.0019,.13,.14
GG,p14p15,2023,60850.5,28836.2,.0044,.0021,.14,.15
GG,p15p16,2023,61902.7,31870.6,.0044,.0023,.15,.16
GG,p16p17,2023,64336.7,34906.7,.0046,.0025,.16,.17
GG,p17p18,2023,64642.3,37941.2,.0046,.0027,.17,.18
GG,p18p19,2023,65483.5,40977.2,.0047,.0029,.18,.19
GG,p19p20,2023,65854.7,44012.5,.0047,.0032,.19,.2
GG,p1p2,2023,0,0,0,0,.01,.02
GG,p20p21,2023,67083,45530.5,.0048,.0033,.2,.21
GG,p21p22,2023,67342.90000000001,47685.5,.0048,.0034,.21,.22
GG,p22p23,2023,68576.10000000001,50051.5,.0049,.0036,.22,.23
GG,p23p24,2023,68838.5,52168.3,.0049,.0037,.23,.24
GG,p24p25,2023,70364,54546.60000000001,.0051,.0039,.24,.25
GG,p25p26,2023,71899.5,56544.7,.0052,.0041,.25,.26
GG,p26p27,2023,73161.8,58825.9,.0053,.0042,.26,.27
GG,p27p28,2023,73582.8,61002.5,.0053,.0044,.27,.28
GG,p28p29,2023,74682.3,63027.10000000001,.0054,.0045,.28,.29
GG,p29p30,2023,76158.8,64813.4,.0055,.0047,.29,.3
GG,p2p3,2023,0,0,0,0,.02,.03
GG,p30p31,2023,76369.8,66583.90000000001,.0055,.0048,.3,.31
GG,p31p32,2023,77448.5,68079.5,.0056,.0049,.31,.32
GG,p32p33,2023,77491.7,69806.8,.0056,.005,.32,.33
GG,p33p34,2023,78350.40000000001,71483.5,.0056,.0051,.33,.34
GG,p34p35,2023,79361,73009,.0057,.0052,.34,.35
GG,p35p36,2023,79818.60000000001,75021.10000000001,.0057,.0054,.35,.36
GG,p36p37,2023,81215.40000000001,77033.3,.0058,.0055,.36,.37
GG,p37p38,2023,82975.90000000001,78971.5,.006,.0057,.37,.38
GG,p38p39,2023,84499,80664,.0061,.0058,.38,.39
GG,p39p40,2023,86013.70000000001,82350.60000000001,.0062,.0059,.39,.4
GG,p3p4,2023,0,0,0,0,.03,.04
GG,p40p41,2023,87646.3,84152.70000000001,.0063,.006,.4,.41
GG,p41p42,2023,89297.20000000001,86014.5,.0064,.0062,.41,.42
GG,p42p43,2023,90823.60000000001,87747.60000000001,.0065,.0063,.42,.43
GG,p43p44,2023,92497.8,89627.8,.0066,.0064,.43,.44
GG,p44p45,2023,94111.3,91453.10000000001,.0068,.0066,.44,.45
GG,p45p46,2023,95587.8,93154.60000000001,.0069,.0067,.45,.46
GG,p46p47,2023,97288.60000000001,95051.40000000001,.007,.0068,.46,.47
GG,p47p48,2023,99181.10000000001,97152.40000000001,.0071,.007,.47,.48
GG,p48p49,2023,101071.2,99255.90000000001,.0073,.0071,.48,.49
GG,p49p50,2023,102839.2,101224,.0074,.0073,.49,.5
GG,p4p5,2023,0,0,0,0,.04,.05
GG,p50p51,2023,104716,103316.7,.0075,.0074,.5,.51
GG,p51p52,2023,106402.6,105231.7,.0076,.0076,.51,.52
GG,p52p53,2023,108263.7,107314.5,.0078,.0077,.52,.53
GG,p53p54,2023,110174.5,109467,.0079,.0079,.53,.54
GG,p54p55,2023,112176.7,111711.6,.0081,.008,.54,.55
GG,p55p56,2023,114364.1,114142.3,.0082,.0082,.55,.5600000000000001
GG,p56p57,2023,116419.4,116466.7,.0084,.0084,.5600000000000001,.57
GG,p57p58,2023,118366,118675.7,.0085,.0085,.57,.58
GG,p58p59,2023,120383.9,120964.4,.0086,.0087,.58,.59
GG,p59p60,2023,122360.4,123215.7,.0088,.0088,.59,.6
GG,p5p6,2023,9774.300000000001,1517.2,.0007,.0001,.05,.06
GG,p60p61,2023,124862.5,126001,.009,.009,.6,.61
GG,p61p62,2023,126853.9,128300.5,.0091,.0092,.61,.62
GG,p62p63,2023,129346,131109.9,.0093,.0094,.62,.63
GG,p63p64,2023,131518.5,133596.2,.0094,.0096,.63,.64
GG,p64p65,2023,134085.4,136487.8,.0096,.0098,.64,.65
GG,p65p66,2023,136294.3,139024.8,.0098,.01,.65,.66
GG,p66p67,2023,139114.5,142201.3,.01,.0102,.66,.67
GG,p67p68,2023,141686.4,145118.6,.0102,.0104,.67,.68
GG,p68p69,2023,144186.8,147972,.0103,.0106,.68,.6899999999999999
GG,p69p70,2023,146626.7,150774.7,.0105,.0108,.6899999999999999,.7
GG,p6p7,2023,23303.8,4553.3,.0017,.0003,.06,.07
GG,p70p71,2023,149781.5,154341.5,.0108,.0111,.7,.71
GG,p71p72,2023,152386.6,157321.1,.0109,.0113,.71,.72
GG,p72p73,2023,155213.4,160552.3,.0111,.0115,.72,.73
GG,p73p74,2023,158423.9,164173.9,.0114,.0118,.73,.74
GG,p74p75,2023,161120.4,167276.4,.0116,.012,.74,.75
GG,p75p76,2023,164601.6,171216,.0118,.0123,.75,.76
GG,p76p77,2023,167583.7,174644.1,.012,.0125,.76,.77
GG,p77p78,2023,171143.3,178695.8,.0123,.0128,.77,.78
GG,p78p79,2023,174994.9,183077.2,.0126,.0131,.78,.79
GG,p79p80,2023,178745.2,187365.6,.0128,.0134,.79,.8
GG,p7p8,2023,36992.8,7588.6,.0027,.0005,.07,.08
GG,p80p81,2023,182673.6,191872.4,.0131,.0138,.8,.8100000000000001
GG,p81p82,2023,186602.8,196392.1,.0134,.0141,.8100000000000001,.82
GG,p82p83,2023,190580.6,200998.1,.0137,.0144,.82,.83
GG,p83p84,2023,195426.3,206550.8,.014,.0148,.83,.84
GG,p84p85,2023,201331.5,213252.5,.0145,.0153,.84,.85
GG,p85p86,2023,207107.6,219834.1,.0149,.0158,.85,.86
GG,p86p87,2023,213691.4,227327.2,.0153,.0163,.86,.87
GG,p87p88,2023,219315.5,233815.4,.0157,.0168,.87,.88
GG,p88p89,2023,226365.5,241879,.0162,.0174,.88,.89
GG,p89p90,2023,235258.3,251841.4,.0169,.0181,.89,.9
GG,p8p9,2023,39400.2,10623.8,.0028,.0008,.08,.09
GG,p90p91,2023,245593.1,263112.1,.0176,.0189,.9,.91
GG,p91p92,2023,255601.6,273897.5,.0183,.0197,.91,.92
GG,p92p93,2023,271196,290524.5,.0195,.0209,.92,.93
GG,p93p94,2023,288376.2,308771.4,.0207,.0222,.93,.9399999999999999
GG,p94p95,2023,308250.1,330308,.0221,.0237,.9399999999999999,.95
GG,p95p96,2023,338857.8,364373.7,.0243,.0262,.95,.96
GG,p96p97,2023,377950.6,409124.1,.0271,.0294,.96,.97
GG,p97p98,2023,450047.9,490940.1,.0323,.0352,.97,.98
GG,p98p99,2023,585129.3,641018.1000000001,.042,.046,.98,.99
GG,p99.1p99.2,2023,740003.2000000001,822625.8,.0053,.0059,.991,.992
GG,p99.2p99.3,2023,768059.6000000001,855519.5,.0055,.0061,.992,.993
GG,p99.3p99.4,2023,811677.5,905042.8,.0058,.0065,.993,.9940000000000001
GG,p99.4p99.5,2023,899837,1002658,.0065,.0072,.9940000000000001,.995
GG,p99.5p99.6,2023,995647,1107271.6,.0071,.0079,.995,.996
GG,p99.6p99.7,2023,1135527.4,1258022.5,.0082,.009,.996,.997
GG,p99.7p99.8,2023,1344819.6,1486023.5,.0097,.0107,.997,.998
GG,p99.8p99.9,2023,1756819.1,1961225.8,.0126,.0141,.998,.9990000000000001
GG,p99.9p100,2023,5145392.600000001,5859264.9,.0369,.0421,.9990000000000001,1
GG,p99p99.1,2023,700542.8,776115.9,.005,.0056,.99,.991
GG,p9p10,2023,40039.7,13659.1,.0029,.001,.09,.1
