country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GH,p0p1,2023,1803.4,0,.0004,0,0,.01
GH,p10p11,2023,7323.700000000001,3914.4,.0014,.0008,.1,.11
GH,p11p12,2023,7783,4626.1,.0015,.0009,.11,.12
GH,p12p13,2023,8256.5,5337.8,.0016,.001,.12,.13
GH,p13p14,2023,8714.9,6049.5,.0017,.0012,.13,.14
GH,p14p15,2023,9122.800000000001,6761.200000000001,.0018,.0013,.14,.15
GH,p15p16,2023,9531.6,7473,.0019,.0015,.15,.16
GH,p16p17,2023,10003.4,8184.700000000001,.002,.0016,.16,.17
GH,p17p18,2023,10478.5,8896.4,.0021,.0017,.17,.18
GH,p18p19,2023,10911.3,9608.1,.0021,.0019,.18,.19
GH,p19p20,2023,11346.9,10319.8,.0022,.002,.19,.2
GH,p1p2,2023,2316.5,0,.0005,0,.01,.02
GH,p20p21,2023,11796.1,10675.6,.0023,.0021,.2,.21
GH,p21p22,2023,12243.8,11110.1,.0024,.0022,.21,.22
GH,p22p23,2023,12731.1,11584.4,.0025,.0023,.22,.23
GH,p23p24,2023,13275.6,12114.7,.0026,.0024,.23,.24
GH,p24p25,2023,13779,12604.4,.0027,.0025,.24,.25
GH,p25p26,2023,14243.4,13055.6,.0028,.0026,.25,.26
GH,p26p27,2023,14729.5,13555,.0029,.0027,.26,.27
GH,p27p28,2023,15252.6,14091,.003,.0028,.27,.28
GH,p28p29,2023,15710.7,14562.7,.0031,.0029,.28,.29
GH,p29p30,2023,16160.9,15026.7,.0032,.0029,.29,.3
GH,p2p3,2023,2966.8,0,.0006,0,.02,.03
GH,p30p31,2023,16693.1,15571.9,.0033,.0031,.3,.31
GH,p31p32,2023,17224.5,16120.1,.0034,.0032,.31,.32
GH,p32p33,2023,17699.6,16613.4,.0035,.0033,.32,.33
GH,p33p34,2023,18238.6,17170.9,.0036,.0034,.33,.34
GH,p34p35,2023,18690.6,17642.4,.0037,.0035,.34,.35
GH,p35p36,2023,19163,18135.2,.0038,.0036,.35,.36
GH,p36p37,2023,19678.5,18628,.0039,.0037,.36,.37
GH,p37p38,2023,20191.3,19118.6,.004,.0037,.37,.38
GH,p38p39,2023,20885.8,19789.9,.0041,.0039,.38,.39
GH,p39p40,2023,21483.4,20365.2,.0042,.004,.39,.4
GH,p3p4,2023,3526.8,0,.0007,0,.03,.04
GH,p40p41,2023,22143.8,21002.5,.0043,.0041,.4,.41
GH,p41p42,2023,22725.6,21568.9,.0045,.0042,.41,.42
GH,p42p43,2023,23271.9,22099.5,.0046,.0043,.42,.43
GH,p43p44,2023,23842.8,22654.7,.0047,.0044,.43,.44
GH,p44p45,2023,24384.9,23180.9,.0048,.0045,.44,.45
GH,p45p46,2023,24950,23729.5,.0049,.0047,.45,.46
GH,p46p47,2023,25542.5,24346.9,.005,.0048,.46,.47
GH,p47p48,2023,26178.8,25007.2,.0051,.0049,.47,.48
GH,p48p49,2023,26708.7,25561,.0052,.005,.48,.49
GH,p49p50,2023,27364.5,26239.9,.0054,.0051,.49,.5
GH,p4p5,2023,4090.7,0,.0008,0,.04,.05
GH,p50p51,2023,28071.3,26968.7,.0055,.0053,.5,.51
GH,p51p52,2023,28766,27687.2,.0056,.0054,.51,.52
GH,p52p53,2023,29374.4,28319,.0058,.0055,.52,.53
GH,p53p54,2023,30105.6,29073.6,.0059,.0057,.53,.54
GH,p54p55,2023,30820.7,29813.1,.006,.0058,.54,.55
GH,p55p56,2023,31536.7,30553.1,.0062,.006,.55,.5600000000000001
GH,p56p57,2023,32230.2,31246.1,.0063,.0061,.5600000000000001,.57
GH,p57p58,2023,33028.3,32044.3,.0065,.0063,.57,.58
GH,p58p59,2023,33765.9,32783.5,.0066,.0064,.58,.59
GH,p59p60,2023,34464.3,33483.7,.0068,.0066,.59,.6
GH,p5p6,2023,4684.7,355.9,.0009,.0001,.05,.06
GH,p60p61,2023,35322,34345.4,.0069,.0067,.6,.61
GH,p61p62,2023,36158.8,35191.6,.0071,.0069,.61,.62
GH,p62p63,2023,37029.9,36074,.0073,.0071,.62,.63
GH,p63p64,2023,37968.5,37025.9,.0074,.0073,.63,.64
GH,p64p65,2023,38999.3,38072.5,.0076,.0075,.64,.65
GH,p65p66,2023,40069.10000000001,39160.4,.0079,.0077,.65,.66
GH,p66p67,2023,41182,40311.7,.0081,.0079,.66,.67
GH,p67p68,2023,42396.3,41567.60000000001,.0083,.0081,.67,.68
GH,p68p69,2023,43670.7,42886.5,.0086,.0084,.68,.6899999999999999
GH,p69p70,2023,44890.10000000001,44152.7,.0088,.0087,.6899999999999999,.7
GH,p6p7,2023,5192.400000000001,1067.6,.001,.0002,.06,.07
GH,p70p71,2023,46103.4,45415.3,.009,.0089,.7,.71
GH,p71p72,2023,47337.10000000001,46703.2,.0093,.0092,.71,.72
GH,p72p73,2023,48700.4,48125.9,.0095,.0094,.72,.73
GH,p73p74,2023,50151.5,49641,.0098,.0097,.73,.74
GH,p74p75,2023,51543.4,51101,.0101,.01,.74,.75
GH,p75p76,2023,53115,52748.3,.0104,.0103,.75,.76
