country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GI,p0p1,2023,0,0,0,0,0,.01
GI,p10p11,2023,30647,11860.7,.0031,.0012,.1,.11
GI,p11p12,2023,33734.3,14016.4,.0034,.0014,.11,.12
GI,p12p13,2023,37619.8,16172.7,.0038,.0016,.12,.13
GI,p13p14,2023,42166.10000000001,18329.1,.0043,.0019,.13,.14
GI,p14p15,2023,43229.8,20486,.0044,.0021,.14,.15
GI,p15p16,2023,43977.3,22641.7,.0044,.0023,.15,.16
GI,p16p17,2023,45705.9,24798.6,.0046,.0025,.16,.17
GI,p17p18,2023,45923.60000000001,26954.4,.0046,.0027,.17,.18
GI,p18p19,2023,46521.2,29111.3,.0047,.0029,.18,.19
GI,p19p20,2023,46784.9,31267.6,.0047,.0032,.19,.2
GI,p1p2,2023,0,0,0,0,.01,.02
GI,p20p21,2023,47657.5,32346.1,.0048,.0033,.2,.21
GI,p21p22,2023,47842.10000000001,33877,.0048,.0034,.21,.22
GI,p22p23,2023,48718.2,35557.9,.0049,.0036,.22,.23
GI,p23p24,2023,48904.7,37061.7,.0049,.0037,.23,.24
GI,p24p25,2023,49989,38751.4,.0051,.0039,.24,.25
GI,p25p26,2023,51078.7,40170.8,.0052,.0041,.25,.26
GI,p26p27,2023,51976,41791.4,.0053,.0042,.26,.27
GI,p27p28,2023,52275.10000000001,43337.7,.0053,.0044,.27,.28
GI,p28p29,2023,53056.3,44776.10000000001,.0054,.0045,.28,.29
GI,p29p30,2023,54105.2,46045.10000000001,.0055,.0047,.29,.3
GI,p2p3,2023,0,0,0,0,.02,.03
GI,p30p31,2023,54255.10000000001,47302.9,.0055,.0048,.3,.31
GI,p31p32,2023,55021.4,48365.4,.0056,.0049,.31,.32
GI,p32p33,2023,55052.10000000001,49592.60000000001,.0056,.005,.32,.33
GI,p33p34,2023,55662.10000000001,50783.7,.0056,.0051,.33,.34
GI,p34p35,2023,56380.10000000001,51867.5,.0057,.0052,.34,.35
