country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GL,p0p1,2023,0,0,0,0,0,.01
GL,p10p11,2023,129814,38205.9,.003,.0009,.1,.11
GL,p11p12,2023,133409.5,45151,.0031,.0011,.11,.12
GL,p12p13,2023,140014,52098.7,.0033,.0012,.12,.13
GL,p13p14,2023,145284.3,59046.4,.0034,.0014,.13,.14
GL,p14p15,2023,146836.2,65991.5,.0034,.0015,.14,.15
GL,p15p16,2023,146974.5,72939.2,.0034,.0017,.15,.16
GL,p16p17,2023,148790.1,79884.3,.0035,.0019,.16,.17
GL,p17p18,2023,149353.5,86829.5,.0035,.002,.17,.18
GL,p18p19,2023,157463.9,93779.70000000001,.0037,.0022,.18,.19
GL,p19p20,2023,157720,100722.3,.0037,.0023,.19,.2
GL,p1p2,2023,0,0,0,0,.01,.02
GL,p20p21,2023,158713.6,104197.4,.0037,.0024,.2,.21
GL,p21p22,2023,160787.9,110433.2,.0037,.0026,.21,.22
GL,p22p23,2023,164076.1,116753.4,.0038,.0027,.22,.23
GL,p23p24,2023,166270.8,123160.8,.0039,.0029,.23,.24
GL,p24p25,2023,172588.5,129642.4,.004,.003,.24,.25
GL,p25p26,2023,174760.1,136198.2,.0041,.0032,.25,.26
GL,p26p27,2023,175461.8,142823.3,.0041,.0033,.26,.27
GL,p27p28,2023,178120,149509.7,.0041,.0035,.27,.28
GL,p28p29,2023,178327.4,156250,.0042,.0036,.28,.29
GL,p29p30,2023,179008.6,163041.5,.0042,.0038,.29,.3
GL,p2p3,2023,0,0,0,0,.02,.03
GL,p30p31,2023,185505.6,169868.8,.0043,.004,.3,.31
GL,p31p32,2023,192074.3,176737.1,.0045,.0041,.31,.32
GL,p32p33,2023,198676.2,183625.9,.0046,.0043,.32,.33
GL,p33p34,2023,205288.5,190532.6,.0048,.0044,.33,.34
GL,p34p35,2023,211946.8,197449.6,.0049,.0046,.34,.35
GL,p35p36,2023,218630.7,204364,.0051,.0048,.35,.36
GL,p36p37,2023,225258.3,211270.7,.0052,.0049,.36,.37
GL,p37p38,2023,231809,218154.3,.0054,.0051,.37,.38
GL,p38p39,2023,238375.1,225007.3,.0055,.0052,.38,.39
GL,p39p40,2023,244869.5,231821.8,.0057,.0054,.39,.4
GL,p3p4,2023,0,0,0,0,.03,.04
GL,p40p41,2023,251294.8,238580,.0058,.0056,.4,.41
GL,p41p42,2023,257520.3,245276.7,.006,.0057,.41,.42
GL,p42p43,2023,263676.7,251896.6,.0061,.0059,.42,.43
GL,p43p44,2023,269728.1,258434.5,.0063,.006,.43,.44
GL,p44p45,2023,275648.8,264870.1,.0064,.0062,.44,.45
GL,p45p46,2023,281431.3,271200.6,.0066,.0063,.45,.46
GL,p46p47,2023,287149.8,277408.2,.0067,.0065,.46,.47
GL,p47p48,2023,292683.9,283487.7,.0068,.0066,.47,.48
GL,p48p49,2023,298051.5,289423.8,.0069,.0067,.48,.49
GL,p49p50,2023,303314.1,295211.4,.0071,.0069,.49,.5
GL,p4p5,2023,0,0,0,0,.04,.05
GL,p50p51,2023,308364.2,300840.3,.0072,.007,.5,.51
GL,p51p52,2023,313219.6,306310.3,.0073,.0071,.51,.52
GL,p52p53,2023,317916.3,311603.7,.0074,.0073,.52,.53
GL,p53p54,2023,322377.4,316725.5,.0075,.0074,.53,.54
GL,p54p55,2023,326659.2,321662.9,.0076,.0075,.54,.55
GL,p55p56,2023,330746.3,326415.9,.0077,.0076,.55,.5600000000000001
GL,p56p57,2023,334580,330971.7,.0078,.0077,.5600000000000001,.57
GL,p57p58,2023,338239.5,335335.4,.0079,.0078,.57,.58
GL,p58p59,2023,341691.6,339494.3,.008,.0079,.58,.59
GL,p59p60,2023,344926,343450.9,.008,.008,.59,.6
GL,p5p6,2023,114481.9,3472.6,.0027,.0001,.05,.06
GL,p60p61,2023,347953,347197.5,.0081,.0081,.6,.61
GL,p61p62,2023,350700.8,350736.6,.0082,.0082,.61,.62
GL,p62p63,2023,353248.9,354063.2,.0082,.0082,.62,.63
GL,p63p64,2023,355607.4,357179.8,.0083,.0083,.63,.64
GL,p64p65,2023,357753.5,360089,.0083,.0084,.64,.65
GL,p65p66,2023,359689.5,362793.3,.0084,.0084,.65,.66
GL,p66p67,2023,361407.9,365297.8,.0084,.0085,.66,.67
GL,p67p68,2023,362977.7,367612.9,.0084,.0086,.67,.68
