country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GM,p0p1,2023,10819.7,0,.001,0,0,.01
GM,p10p11,2023,23976.2,10722.4,.0022,.001,.1,.11
GM,p11p12,2023,24857.5,12671.9,.0023,.0012,.11,.12
GM,p12p13,2023,25697.4,14621.4,.0023,.0013,.12,.13
GM,p13p14,2023,26545.2,16571,.0024,.0015,.13,.14
GM,p14p15,2023,27289.4,18520.5,.0025,.0017,.14,.15
GM,p15p16,2023,28093.3,20470,.0026,.0019,.15,.16
GM,p16p17,2023,28815.8,22419.5,.0026,.002,.16,.17
GM,p17p18,2023,29530.4,24369.1,.0027,.0022,.17,.18
GM,p18p19,2023,30192.5,26318.6,.0027,.0024,.18,.19
GM,p19p20,2023,31007.5,28268.1,.0028,.0026,.19,.2
GM,p1p2,2023,12405.1,0,.0011,0,.01,.02
GM,p20p21,2023,31725.4,29242.9,.0029,.0027,.2,.21
GM,p21p22,2023,32186.7,29960,.0029,.0027,.21,.22
GM,p22p23,2023,32833.8,30870.1,.003,.0028,.22,.23
GM,p23p24,2023,33574,31876.7,.003,.0029,.23,.24
GM,p24p25,2023,34285.3,32852.3,.0031,.003,.24,.25
GM,p25p26,2023,35013.7,33843.5,.0032,.0031,.25,.26
GM,p26p27,2023,35763.8,34849.9,.0032,.0032,.26,.27
GM,p27p28,2023,36656.9,36004.2,.0033,.0033,.27,.28
GM,p28p29,2023,37368.2,36966.8,.0034,.0034,.28,.29
GM,p29p30,2023,38048.7,37894.6,.0035,.0034,.29,.3
GM,p2p3,2023,14319.3,0,.0013,0,.02,.03
GM,p30p31,2023,38738.4,38829.9,.0035,.0035,.3,.31
GM,p31p32,2023,39539.60000000001,39668.10000000001,.0036,.0036,.31,.32
GM,p32p33,2023,40420.9,40589,.0037,.0037,.32,.33
GM,p33p34,2023,41337,41545.7,.0038,.0038,.33,.34
GM,p34p35,2023,42401.4,42657.4,.0039,.0039,.34,.35
GM,p35p36,2023,43459.2,43761.2,.0039,.004,.35,.36
GM,p36p37,2023,44532.8,44888.10000000001,.004,.0041,.36,.37
GM,p37p38,2023,45444.3,45845.7,.0041,.0042,.37,.38
GM,p38p39,2023,46597.9,47055.10000000001,.0042,.0043,.38,.39
GM,p39p40,2023,47670.8,48180.4,.0043,.0044,.39,.4
GM,p3p4,2023,15869.3,0,.0014,0,.03,.04
GM,p40p41,2023,48717.5,49277.2,.0044,.0045,.4,.41
GM,p41p42,2023,49792.3,50421.2,.0045,.0046,.41,.42
GM,p42p43,2023,50763.5,51456.10000000001,.0046,.0047,.42,.43
GM,p43p44,2023,51744.60000000001,52503.10000000001,.0047,.0048,.43,.44
GM,p44p45,2023,52671.8,53494.2,.0048,.0049,.44,.45
GM,p45p46,2023,53734.9,54626.8,.0049,.005,.45,.46
GM,p46p47,2023,54815.7,55774.9,.005,.0051,.46,.47
GM,p47p48,2023,55902.4,56928.7,.0051,.0052,.47,.48
GM,p48p49,2023,57094.10000000001,58192.7,.0052,.0053,.48,.49
GM,p49p50,2023,58276.60000000001,59447.8,.0053,.0054,.49,.5
GM,p4p5,2023,17259.1,0,.0016,0,.04,.05
GM,p50p51,2023,59487.3,60732.2,.0054,.0055,.5,.51
GM,p51p52,2023,60654.7,61980.9,.0055,.0056,.51,.52
GM,p52p53,2023,62044.60000000001,63464.10000000001,.0056,.0058,.52,.53
GM,p53p54,2023,63643.8,65167.2,.0058,.0059,.53,.54
GM,p54p55,2023,65050.7,66668.8,.0059,.0061,.54,.55
GM,p55p56,2023,66582.90000000001,68302.3,.006,.0062,.55,.5600000000000001
GM,p56p57,2023,67942.60000000001,69759.8,.0062,.0063,.5600000000000001,.57
GM,p57p58,2023,69591.7,71521.7,.0063,.0065,.57,.58
GM,p58p59,2023,71104.90000000001,73140.90000000001,.0065,.0066,.58,.59
GM,p59p60,2023,72604.40000000001,74746,.0066,.0068,.59,.6
GM,p5p6,2023,18484.3,974.8000000000001,.0017,.0001,.05,.06
GM,p60p61,2023,74185.2,76436,.0067,.0069,.6,.61
GM,p61p62,2023,75844.8,78211.40000000001,.0069,.0071,.61,.62
GM,p62p63,2023,77633,80124,.0071,.0073,.62,.63
GM,p63p64,2023,79087.10000000001,81683.60000000001,.0072,.0074,.63,.64
GM,p64p65,2023,80339.20000000001,83030.90000000001,.0073,.0075,.64,.65
GM,p65p66,2023,82062.40000000001,84876.8,.0075,.0077,.65,.66
GM,p66p67,2023,84144.60000000001,87101.5,.0076,.0079,.66,.67
GM,p67p68,2023,85915.10000000001,88999.10000000001,.0078,.0081,.67,.68
GM,p68p69,2023,88104.90000000001,91340.40000000001,.008,.0083,.68,.6899999999999999
GM,p69p70,2023,90754.70000000001,94169.20000000001,.0082,.0086,.6899999999999999,.7
GM,p6p7,2023,19706.2,2924.3,.0018,.0003,.06,.07
GM,p70p71,2023,93362.5,96956.5,.0085,.0088,.7,.71
GM,p71p72,2023,96041.8,99786.3,.0087,.0091,.71,.72
GM,p72p73,2023,99122.70000000001,103042,.009,.0094,.72,.73
GM,p73p74,2023,101546.8,105600,.0092,.0096,.73,.74
GM,p74p75,2023,104110,108305,.0095,.0098,.74,.75
GM,p75p76,2023,107019.6,111374,.0097,.0101,.75,.76
GM,p76p77,2023,110069.7,114586.3,.01,.0104,.76,.77
GM,p77p78,2023,113814.1,118530.6,.0103,.0108,.77,.78
GM,p78p79,2023,117927.9,122864,.0107,.0112,.78,.79
GM,p79p80,2023,120986.5,126079.3,.011,.0115,.79,.8
GM,p7p8,2023,20708.9,4873.8,.0019,.0004,.07,.08
GM,p80p81,2023,124843.1,130137.2,.0113,.0118,.8,.8100000000000001
GM,p81p82,2023,128786.3,134229.4,.0117,.0122,.8100000000000001,.82
GM,p82p83,2023,132585.1,138162.9,.012,.0125,.82,.83
GM,p83p84,2023,136540.8,142256.5,.0124,.0129,.83,.84
GM,p84p85,2023,141944.1,147869.6,.0129,.0134,.84,.85
GM,p85p86,2023,148731.3,154932.2,.0135,.0141,.85,.86
GM,p86p87,2023,156944.5,163479.5,.0143,.0148,.86,.87
GM,p87p88,2023,166847.5,173792.2,.0152,.0158,.87,.88
GM,p88p89,2023,176827.9,184168.6,.0161,.0167,.88,.89
GM,p89p90,2023,191012,198946.4,.0173,.0181,.89,.9
GM,p8p9,2023,21729.3,6823.3,.002,.0006,.08,.09
GM,p90p91,2023,208980.2,217673.2,.019,.0198,.9,.91
GM,p91p92,2023,228650.2,237584.4,.0208,.0216,.91,.92
GM,p92p93,2023,250191.5,259309.7,.0227,.0236,.92,.93
GM,p93p94,2023,278165.3,287571.9,.0253,.0261,.93,.9399999999999999
GM,p94p95,2023,316429.6,326304.9,.0287,.0296,.9399999999999999,.95
GM,p95p96,2023,373828.8,384540.2,.034,.0349,.95,.96
GM,p96p97,2023,453760.5,463129.2,.0412,.0421,.96,.97
GM,p97p98,2023,561776.3,568834,.051,.0517,.97,.98
GM,p98p99,2023,771848.2000000001,775409.1000000001,.0701,.0704,.98,.99
GM,p99.1p99.2,2023,990028,987930.6000000001,.009,.009,.991,.992
GM,p99.2p99.3,2023,1050752.6,1049529.6,.0095,.0095,.992,.993
GM,p99.3p99.4,2023,1124934.5,1124723.1,.0102,.0102,.993,.9940000000000001
GM,p99.4p99.5,2023,1218550.3,1219437.4,.0111,.0111,.9940000000000001,.995
