country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GN,p0p1,2023,1474881.1,0,.0007,0,0,.01
GN,p10p11,2023,5693703.100000001,2890024.3,.0026,.0013,.1,.11
GN,p11p12,2023,5961322.600000001,3415483.2,.0027,.0016,.11,.12
GN,p12p13,2023,6231140,3940942.2,.0029,.0018,.12,.13
GN,p13p14,2023,6492812.5,4466401.3,.003,.0021,.13,.14
GN,p14p15,2023,6767801.300000001,4991860.2,.0031,.0023,.14,.15
GN,p15p16,2023,7035938,5517319.2,.0032,.0025,.15,.16
GN,p16p17,2023,7299679,6042778.100000001,.0034,.0028,.16,.17
GN,p17p18,2023,7543122.300000001,6568237.5,.0035,.003,.17,.18
GN,p18p19,2023,7789280.600000001,7093696.4,.0036,.0033,.18,.19
GN,p19p20,2023,8045781.600000001,7619155.4,.0037,.0035,.19,.2
GN,p1p2,2023,2069332.7,0,.001,0,.01,.02
GN,p20p21,2023,8270090.800000001,7881884.800000001,.0038,.0036,.2,.21
GN,p21p22,2023,8464276.6,8087276,.0039,.0037,.21,.22
GN,p22p23,2023,8661435.9,8295707.800000001,.004,.0038,.22,.23
GN,p23p24,2023,8856785.300000001,8501635.800000001,.0041,.0039,.23,.24
GN,p24p25,2023,9055496,8710805.5,.0042,.004,.24,.25
GN,p25p26,2023,9245286.1,8910553.5,.0043,.0041,.25,.26
GN,p26p27,2023,9432361.200000001,9103971.700000001,.0043,.0042,.26,.27
GN,p27p28,2023,9621375.6,9299133.200000001,.0044,.0043,.27,.28
GN,p28p29,2023,9862362.5,9546389.4,.0045,.0044,.28,.29
GN,p29p30,2023,10119510,9809620.300000001,.0047,.0045,.29,.3
GN,p2p3,2023,2653570.7,0,.0012,0,.02,.03
GN,p30p31,2023,10319642.9,10014332.7,.0048,.0046,.3,.31
GN,p31p32,2023,10534643.5,10236031.9,.0049,.0047,.31,.32
GN,p32p33,2023,10779250.4,10487977.7,.005,.0048,.32,.33
GN,p33p34,2023,11030321.5,10746157.5,.0051,.005,.33,.34
