country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GQ,p0p1,2023,232542,0,.0004,0,0,.01
GQ,p10p11,2023,1126282.8,579314.1,.0019,.001,.1,.11
GQ,p11p12,2023,1179320,684644,.002,.0011,.11,.12
GQ,p12p13,2023,1229726.9,789973.7000000001,.002,.0013,.12,.13
GQ,p13p14,2023,1291915.8,895303.6000000001,.0021,.0015,.13,.14
GQ,p14p15,2023,1345601.6,1000633.5,.0022,.0017,.14,.15
GQ,p15p16,2023,1399323.3,1105963.3,.0023,.0018,.15,.16
GQ,p16p17,2023,1451675.9,1211293.2,.0024,.002,.16,.17
GQ,p17p18,2023,1507415.3,1316623.1,.0025,.0022,.17,.18
GQ,p18p19,2023,1562542.2,1421952.8,.0026,.0024,.18,.19
GQ,p19p20,2023,1615327.2,1527282.7,.0027,.0025,.19,.2
GQ,p1p2,2023,356955.9,0,.0006,0,.01,.02
GQ,p20p21,2023,1676002.8,1579947.6,.0028,.0026,.2,.21
GQ,p21p22,2023,1727166.4,1629663,.0029,.0027,.21,.22
GQ,p22p23,2023,1779807.2,1680781.3,.0029,.0028,.22,.23
GQ,p23p24,2023,1830682.5,1730148.9,.003,.0029,.23,.24
GQ,p24p25,2023,1877954.8,1776054.1,.0031,.0029,.24,.25
GQ,p25p26,2023,1949763.9,1845711,.0032,.0031,.25,.26
GQ,p26p27,2023,2004530.5,1898688.8,.0033,.0031,.26,.27
GQ,p27p28,2023,2057171.3,1949574.5,.0034,.0032,.27,.28
GQ,p28p29,2023,2117883,2008310.1,.0035,.0033,.28,.29
GQ,p29p30,2023,2187890.6,2076010.9,.0036,.0034,.29,.3
GQ,p2p3,2023,519382.2,0,.0009,0,.02,.03
GQ,p30p31,2023,2250656.1,2136739.2,.0037,.0035,.3,.31
GQ,p31p32,2023,2313277.4,2197629.5,.0038,.0036,.31,.32
GQ,p32p33,2023,2364296.8,2247233.5,.0039,.0037,.32,.33
GQ,p33p34,2023,2416541.3,2298113.8,.004,.0038,.33,.34
GQ,p34p35,2023,2474658.8,2354700.4,.0041,.0039,.34,.35
GQ,p35p36,2023,2532379.9,2410890.1,.0042,.004,.35,.36
GQ,p36p37,2023,2590497.4,2467682.1,.0043,.0041,.36,.37
GQ,p37p38,2023,2663963.9,2539367.9,.0044,.0042,.37,.38
GQ,p38p39,2023,2733791.4,2607563.8,.0045,.0043,.38,.39
GQ,p39p40,2023,2799151,2671379.8,.0046,.0044,.39,.4
GQ,p3p4,2023,616665,0,.001,0,.03,.04
GQ,p40p41,2023,2868185.8,2738862.2,.0047,.0045,.4,.41
GQ,p41p42,2023,2930050.4,2799666.5,.0048,.0046,.41,.42
GQ,p42p43,2023,2994473.3,2863009.5,.005,.0047,.42,.43
GQ,p43p44,2023,3052194.4,2919880.5,.005,.0048,.43,.44
GQ,p44p45,2023,3110023.7,2976854.3,.0051,.0049,.44,.45
GQ,p45p46,2023,3187489.6,3052975.6,.0053,.0051,.45,.46
GQ,p46p47,2023,3267946.1,3131909,.0054,.0052,.46,.47
GQ,p47p48,2023,3344367.2,3206950.4,.0055,.0053,.47,.48
GQ,p48p49,2023,3422589.8,3283763.6,.0057,.0054,.48,.49
GQ,p49p50,2023,3496380.6,3356310,.0058,.0056,.49,.5
GQ,p4p5,2023,706453.4,0,.0012,0,.04,.05
GQ,p50p51,2023,3564406.5,3423293,.0059,.0057,.5,.51
GQ,p51p52,2023,3639026,3497019.3,.006,.0058,.51,.52
GQ,p52p53,2023,3732633.7,3589319.2,.0062,.0059,.52,.53
GQ,p53p54,2023,3814675.5,3670376.1,.0063,.0061,.53,.54
GQ,p54p55,2023,3917903.4,3772218.8,.0065,.0062,.54,.55
GQ,p55p56,2023,4021888,3874813.3,.0067,.0064,.55,.5600000000000001
GQ,p56p57,2023,4120936.3,3972767.5,.0068,.0066,.5600000000000001,.57
GQ,p57p58,2023,4224272.2,4074978.1,.007,.0067,.57,.58
GQ,p58p59,2023,4309556.9,4159628.8,.0071,.0069,.58,.59
GQ,p59p60,2023,4398264.4,4247699.3,.0073,.007,.59,.6
GQ,p5p6,2023,783919.4,52664.9,.0013,.0001,.05,.06
GQ,p60p61,2023,4503221.7,4351648.4,.0074,.0072,.6,.61
GQ,p61p62,2023,4601585.5,4450149.2,.0076,.0074,.61,.62
GQ,p62p63,2023,4716739.5,4565137.4,.0078,.0076,.62,.63
GQ,p63p64,2023,4831677.4,4680055,.008,.0077,.63,.64
GQ,p64p65,2023,4940417.9,4789044.100000001,.0082,.0079,.64,.65
GQ,p65p66,2023,5070128.4,4918662.8,.0084,.0081,.65,.66
GQ,p66p67,2023,5179229.2,5028285.600000001,.0086,.0083,.66,.67
GQ,p67p68,2023,5295824.5,5145329,.0088,.0085,.67,.68
GQ,p68p69,2023,5462646.5,5311869.5,.009,.0088,.68,.6899999999999999
GQ,p69p70,2023,5595671.800000001,5445398,.0093,.009,.6899999999999999,.7
GQ,p6p7,2023,867654.7000000001,157994.8,.0014,.0003,.06,.07
GQ,p70p71,2023,5736479.600000001,5586790.300000001,.0095,.0092,.7,.71
GQ,p71p72,2023,5890150.5,5743698.800000001,.0097,.0095,.71,.72
GQ,p72p73,2023,6047892.800000001,5905034,.01,.0098,.72,.73
GQ,p73p74,2023,6209490.300000001,6070458.2,.0103,.01,.73,.74
GQ,p74p75,2023,6402110.300000001,6266956,.0106,.0104,.74,.75
GQ,p75p76,2023,6570697.800000001,6440118.800000001,.0109,.0107,.75,.76
GQ,p76p77,2023,6787602.5,6661399,.0112,.011,.76,.77
GQ,p77p78,2023,7042807.800000001,6921045,.0117,.0114,.77,.78
GQ,p78p79,2023,7275493.800000001,7159008.5,.012,.0118,.78,.79
GQ,p79p80,2023,7547777.600000001,7436733.5,.0125,.0123,.79,.8
GQ,p7p8,2023,930564.2000000001,263324.6,.0015,.0004,.07,.08
GQ,p80p81,2023,7813143.600000001,7708264,.0129,.0128,.8,.8100000000000001
GQ,p81p82,2023,8083770,7990303.100000001,.0134,.0132,.8100000000000001,.82
GQ,p82p83,2023,8407253.300000001,8325969.4,.0139,.0138,.82,.83
GQ,p83p84,2023,8705875.6,8637895.4,.0144,.0143,.83,.84
GQ,p84p85,2023,9102573.300000001,9048903.5,.0151,.015,.84,.85
GQ,p85p86,2023,9508278.700000001,9470255.200000001,.0157,.0157,.85,.86
GQ,p86p87,2023,10000655.9,9979781.9,.0165,.0165,.86,.87
GQ,p87p88,2023,10547835.7,10545961.1,.0174,.0174,.87,.88
GQ,p88p89,2023,11175165.7,11194600,.0185,.0185,.88,.89
GQ,p89p90,2023,12060691.6,12105625.5,.02,.02,.89,.9
GQ,p8p9,2023,992933.3,368654.5,.0016,.0006,.08,.09
GQ,p90p91,2023,13029988.8,13104080.5,.0216,.0217,.9,.91
GQ,p91p92,2023,14154614.2,14322328.3,.0234,.0237,.91,.92
GQ,p92p93,2023,15476219.4,15755799.6,.0256,.0261,.92,.93
GQ,p93p94,2023,17063820.9,17479133.3,.0282,.0289,.93,.9399999999999999
GQ,p94p95,2023,18888432.3,19467396,.0312,.0322,.9399999999999999,.95
GQ,p95p96,2023,21317494.2,22107158.6,.0353,.0366,.95,.96
GQ,p96p97,2023,24458153,25823053.9,.0405,.0427,.96,.97
GQ,p97p98,2023,29377456.9,31588583.3,.0486,.0523,.97,.98
GQ,p98p99,2023,38146224,41788020.6,.0631,.0691,.98,.99
GQ,p99.1p99.2,2023,44779552.2,50008054.2,.0074,.0083,.991,.992
GQ,p99.2p99.3,2023,46772318.7,52247895.40000001,.0077,.0086,.992,.993
GQ,p99.3p99.4,2023,49161737.8,54933419.2,.0081,.0091,.993,.9940000000000001
GQ,p99.4p99.5,2023,52111839.40000001,58246496.1,.0086,.0096,.9940000000000001,.995
GQ,p99.5p99.6,2023,55897784.90000001,62497766.6,.0092,.0103,.995,.996
GQ,p99.6p99.7,2023,61049518.3,68278370.40000001,.0101,.0113,.996,.997
GQ,p99.7p99.8,2023,68757650.40000001,76918453,.0114,.0127,.997,.998
GQ,p99.8p99.9,2023,82665119,92495622.7,.0137,.0153,.998,.9990000000000001
GQ,p99.9p100,2023,145012282,162338610.9,.024,.0269,.9990000000000001,1
GQ,p99p99.1,2023,43084308.90000001,48099042.1,.0071,.008,.99,.991
GQ,p9p10,2023,1058365,473984.3,.0018,.0008,.09,.1
