country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GR,p0p1,2023,3954.5,0,.0017,0,0,.01
GR,p10p11,2023,4667.7,2578.3,.002,.0011,.1,.11
GR,p11p12,2023,5015.5,3188.4,.0021,.0014,.11,.12
GR,p12p13,2023,5750.700000000001,3824.8,.0025,.0016,.12,.13
GR,p13p14,2023,6497.700000000001,4484.7,.0028,.0019,.13,.14
GR,p14p15,2023,7460.3,5166.200000000001,.0032,.0022,.14,.15
GR,p15p16,2023,8208.5,5867.5,.0035,.0025,.15,.16
GR,p16p17,2023,8912.5,6587.3,.0038,.0028,.16,.17
GR,p17p18,2023,9628.700000000001,7324.400000000001,.0041,.0031,.17,.18
GR,p18p19,2023,10147.2,8077.700000000001,.0043,.0035,.18,.19
GR,p19p20,2023,10732.6,8846.4,.0046,.0038,.19,.2
GR,p1p2,2023,3984.8,0,.0017,0,.01,.02
GR,p20p21,2023,11261.7,9235.6,.0048,.004,.2,.21
GR,p21p22,2023,11883.1,9942.6,.0051,.0043,.21,.22
GR,p22p23,2023,12341.3,10451,.0053,.0045,.22,.23
GR,p23p24,2023,12700.2,10839.5,.0054,.0046,.23,.24
GR,p24p25,2023,13072.4,11241.6,.0056,.0048,.24,.25
GR,p25p26,2023,13413.4,11605.5,.0057,.005,.25,.26
GR,p26p27,2023,13741.8,11933.9,.0059,.0051,.26,.27
GR,p27p28,2023,14060.8,12249.6,.006,.0052,.27,.28
GR,p28p29,2023,14397.9,12584.9,.0062,.0054,.28,.29
GR,p29p30,2023,14686.2,12861.2,.0063,.0055,.29,.3
GR,p2p3,2023,4015.4,0,.0017,0,.02,.03
GR,p30p31,2023,14981.4,13143.4,.0064,.0056,.3,.31
GR,p31p32,2023,15240.6,13404,.0065,.0057,.31,.32
GR,p32p33,2023,15513.2,13678.4,.0066,.0059,.32,.33
GR,p33p34,2023,15767.2,13930.1,.0067,.006,.33,.34
GR,p34p35,2023,15931.2,14076.6,.0068,.006,.34,.35
GR,p35p36,2023,16252.2,14403.1,.007,.0062,.35,.36
GR,p36p37,2023,16395.2,14658.8,.007,.0063,.36,.37
GR,p37p38,2023,16624,15011.8,.0071,.0064,.37,.38
GR,p38p39,2023,16806.5,15310.7,.0072,.0065,.38,.39
GR,p39p40,2023,17024.3,15649,.0073,.0067,.39,.4
GR,p3p4,2023,4033.1,0,.0017,0,.03,.04
GR,p40p41,2023,17168.1,15901.7,.0073,.0068,.4,.41
GR,p41p42,2023,17345.5,16206.6,.0074,.0069,.41,.42
GR,p42p43,2023,17510.9,16497.6,.0075,.0071,.42,.43
GR,p43p44,2023,17676.4,16788.7,.0076,.0072,.43,.44
GR,p44p45,2023,17831,17067,.0076,.0073,.44,.45
GR,p45p46,2023,17966.8,17323.7,.0077,.0074,.45,.46
GR,p46p47,2023,18190.6,17566.5,.0078,.0075,.46,.47
GR,p47p48,2023,18418.3,17813.4,.0079,.0076,.47,.48
GR,p48p49,2023,18664.5,18080.8,.008,.0077,.48,.49
GR,p49p50,2023,18942.4,18383.7,.0081,.0079,.49,.5
GR,p4p5,2023,4089.3,0,.0017,0,.04,.05
GR,p50p51,2023,19217.6,18682.6,.0082,.008,.5,.51
GR,p51p52,2023,19394.7,18877.3,.0083,.0081,.51,.52
GR,p52p53,2023,19710.6,19228.4,.0084,.0082,.52,.53
GR,p53p54,2023,19861.3,19391.6,.0085,.0083,.53,.54
GR,p54p55,2023,19949.5,19483.1,.0085,.0083,.54,.55
GR,p55p56,2023,20260.8,19826.3,.0087,.0085,.55,.5600000000000001
