country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GT,p0p1,2023,1860.1,1.7,.0003,0,0,.01
GT,p10p11,2023,3096.2,1220.1,.0004,.0002,.1,.11
GT,p11p12,2023,3526.3,1666.3,.0005,.0002,.11,.12
GT,p12p13,2023,3862.5,2009.6,.0005,.0003,.12,.13
GT,p13p14,2023,4154.5,2303.3,.0006,.0003,.13,.14
GT,p14p15,2023,4716.5,2881.7,.0007,.0004,.14,.15
GT,p15p16,2023,5389.8,3574.4,.0008,.0005,.15,.16
GT,p16p17,2023,6090.8,4294.400000000001,.0009,.0006,.16,.17
GT,p17p18,2023,6903.1,5126.900000000001,.001,.0007,.17,.18
GT,p18p19,2023,7792.1,6032.700000000001,.0011,.0009,.18,.19
GT,p19p20,2023,8939.700000000001,7203.1,.0013,.001,.19,.2
GT,p1p2,2023,1872.3,4.2,.0003,0,.01,.02
GT,p20p21,2023,10148.8,8428.200000000001,.0014,.0012,.2,.21
GT,p21p22,2023,11526.1,9848,.0016,.0014,.21,.22
GT,p22p23,2023,12682.2,11035.7,.0018,.0016,.22,.23
GT,p23p24,2023,13732.9,12113,.0019,.0017,.23,.24
GT,p24p25,2023,14653.4,13052.9,.0021,.0018,.24,.25
GT,p25p26,2023,15601.8,14020.2,.0022,.002,.25,.26
GT,p26p27,2023,16489.5,14943.3,.0023,.0021,.26,.27
GT,p27p28,2023,17555.4,16049.2,.0025,.0023,.27,.28
GT,p28p29,2023,18491.5,17019.1,.0026,.0024,.28,.29
GT,p29p30,2023,19210.3,17761.8,.0027,.0025,.29,.3
GT,p2p3,2023,1885.3,7.600000000000001,.0003,0,.02,.03
GT,p30p31,2023,20122.4,18703,.0028,.0026,.3,.31
GT,p31p32,2023,21068.2,19690.2,.003,.0028,.31,.32
GT,p32p33,2023,22007.8,20670.1,.0031,.0029,.32,.33
GT,p33p34,2023,22830.6,21529.2,.0032,.003,.33,.34
