country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GW,p0p1,2023,66382.5,0,.0007,0,0,.01
GW,p10p11,2023,230930.5,114261.6,.0023,.0012,.1,.11
GW,p11p12,2023,239883.7,135036.4,.0024,.0014,.11,.12
GW,p12p13,2023,249115,155811.2,.0025,.0016,.12,.13
GW,p13p14,2023,259541.6,176586.1,.0026,.0018,.13,.14
GW,p14p15,2023,269299.6,197360.9,.0027,.002,.14,.15
GW,p15p16,2023,279158.1,218135.7,.0028,.0022,.15,.16
GW,p16p17,2023,287868.7,238910.6,.0029,.0024,.16,.17
GW,p17p18,2023,296318.9,259685.4,.003,.0026,.17,.18
GW,p18p19,2023,304538.3,280460.2,.0031,.0028,.18,.19
GW,p19p20,2023,314923.5,301235,.0032,.003,.19,.2
GW,p1p2,2023,87928.10000000001,0,.0009,0,.01,.02
GW,p20p21,2023,324391.5,311622.5,.0033,.0031,.2,.21
GW,p21p22,2023,332421.5,320158.1,.0033,.0032,.21,.22
GW,p22p23,2023,340558.1,328792.2,.0034,.0033,.22,.23
GW,p23p24,2023,348523.1,337235.2,.0035,.0034,.23,.24
GW,p24p25,2023,357470.3,346677.4,.0036,.0035,.24,.25
GW,p25p26,2023,366240.1,355911.2,.0037,.0036,.25,.26
GW,p26p27,2023,375234.7,365247.2,.0038,.0037,.26,.27
GW,p27p28,2023,386259,376650,.0039,.0038,.27,.28
GW,p28p29,2023,395525.8,386233.8,.004,.0039,.28,.29
GW,p29p30,2023,404260,395243.7,.0041,.004,.29,.3
GW,p2p3,2023,117734.6,0,.0012,0,.02,.03
GW,p30p31,2023,413609.7,404877.2,.0042,.0041,.3,.31
GW,p31p32,2023,423119.1,414716.9,.0043,.0042,.31,.32
GW,p32p33,2023,434060.5,426014.9,.0044,.0043,.32,.33
GW,p33p34,2023,444072.9,436365,.0045,.0044,.33,.34
GW,p34p35,2023,454091.3,446720.1,.0046,.0045,.34,.35
GW,p35p36,2023,464151,457099.3,.0047,.0046,.35,.36
GW,p36p37,2023,472151.5,465414.4,.0048,.0047,.36,.37
GW,p37p38,2023,482637.3,476270.2,.0049,.0048,.37,.38
GW,p38p39,2023,493099.4,487085.4,.005,.0049,.38,.39
GW,p39p40,2023,502603,496913.7,.0051,.005,.39,.4
GW,p3p4,2023,137120.3,0,.0014,0,.03,.04
GW,p40p41,2023,513692.3,508357.9,.0052,.0051,.4,.41
GW,p41p42,2023,523456.2,518646.6,.0053,.0052,.41,.42
GW,p42p43,2023,532663.9,528365.2000000001,.0054,.0053,.42,.43
GW,p43p44,2023,541510.5,537724.3,.0055,.0054,.43,.44
GW,p44p45,2023,552523,549293.6,.0056,.0055,.44,.45
GW,p45p46,2023,560996.9,558261.1,.0057,.0056,.45,.46
GW,p46p47,2023,574021.3,571874.6,.0058,.0058,.46,.47
GW,p47p48,2023,586240.9,584663.1,.0059,.0059,.47,.48
GW,p48p49,2023,596933.8,595875.8,.006,.006,.48,.49
GW,p49p50,2023,608259.9,607743.9,.0061,.0061,.49,.5
GW,p4p5,2023,151588.6,0,.0015,0,.04,.05
GW,p50p51,2023,617905.5,617890.3,.0062,.0062,.5,.51
GW,p51p52,2023,628379.4,629002.5,.0063,.0063,.51,.52
GW,p52p53,2023,642054.8,643404.7000000001,.0065,.0065,.52,.53
GW,p53p54,2023,656262.7000000001,658371.9,.0066,.0066,.53,.54
GW,p54p55,2023,673932.4,676901.9,.0068,.0068,.54,.55
GW,p55p56,2023,686702.3,690397.8,.0069,.007,.55,.5600000000000001
GW,p56p57,2023,701170.6000000001,705677.2000000001,.0071,.0071,.5600000000000001,.57
GW,p57p58,2023,719272.3,724699.7000000001,.0072,.0073,.57,.58
GW,p58p59,2023,730923.8,737081.5,.0074,.0074,.58,.59
GW,p59p60,2023,744741.2000000001,751708.9,.0075,.0076,.59,.6
GW,p5p6,2023,165843.9,10387.4,.0017,.0001,.05,.06
GW,p60p61,2023,760162.2000000001,767993.1000000001,.0077,.0077,.6,.61
GW,p61p62,2023,777210.5,786050.7000000001,.0078,.0079,.61,.62
GW,p62p63,2023,795898,805815.6000000001,.008,.0081,.62,.63
GW,p63p64,2023,813934.5,824926.2000000001,.0082,.0083,.63,.64
GW,p64p65,2023,831373.4,843417.2000000001,.0084,.0085,.64,.65
GW,p65p66,2023,847605.1000000001,860681.9,.0085,.0087,.65,.66
GW,p66p67,2023,864381.2000000001,878494.9,.0087,.0088,.66,.67
GW,p67p68,2023,881607.1000000001,896776.7000000001,.0089,.009,.67,.68
GW,p68p69,2023,900614.1000000001,916918.9,.0091,.0092,.68,.6899999999999999
GW,p69p70,2023,918396.2000000001,935791.8,.0093,.0094,.6899999999999999,.7
GW,p6p7,2023,179933.5,31162.2,.0018,.0003,.06,.07
GW,p70p71,2023,935687.1000000001,954163.9,.0094,.0096,.7,.71
GW,p71p72,2023,957895.5,977498,.0096,.0098,.71,.72
GW,p72p73,2023,980346.5,1001080.4,.0099,.0101,.72,.73
GW,p73p74,2023,1008235.7,1030307.6,.0102,.0104,.73,.74
GW,p74p75,2023,1035095.2,1058467.4,.0104,.0107,.74,.75
GW,p75p76,2023,1059280,1083844.6,.0107,.0109,.75,.76
GW,p76p77,2023,1086962.1,1112817.6,.0109,.0112,.76,.77
GW,p77p78,2023,1124331.1,1151855.4,.0113,.0116,.77,.78
GW,p78p79,2023,1160031.4,1189154.1,.0117,.012,.78,.79
GW,p79p80,2023,1196743.6,1227501.5,.0121,.0124,.79,.8
GW,p7p8,2023,192667.9,51937.10000000001,.0019,.0005,.07,.08
GW,p80p81,2023,1236893.8,1269422.3,.0125,.0128,.8,.8100000000000001
GW,p81p82,2023,1284943.9,1319414.6,.0129,.0133,.8100000000000001,.82
GW,p82p83,2023,1330479.1,1366785.4,.0134,.0138,.82,.83
GW,p83p84,2023,1377280.6,1415434.4,.0139,.0143,.83,.84
GW,p84p85,2023,1432082.6,1472375.5,.0144,.0148,.84,.85
GW,p85p86,2023,1494547.7,1537254.6,.0151,.0155,.85,.86
GW,p86p87,2023,1565087.3,1610444.9,.0158,.0162,.86,.87
GW,p87p88,2023,1644852.3,1693178.2,.0166,.0171,.87,.88
GW,p88p89,2023,1747432.1,1799588.6,.0176,.0181,.88,.89
GW,p89p90,2023,1871522.1,1928303.6,.0189,.0194,.89,.9
GW,p8p9,2023,206023.7,72711.90000000001,.0021,.0007,.08,.09
GW,p90p91,2023,2017015.7,2079189.7,.0203,.0209,.9,.91
GW,p91p92,2023,2170364.8,2237569.2,.0219,.0225,.91,.92
GW,p92p93,2023,2345144.1,2417943,.0236,.0244,.92,.93
GW,p93p94,2023,2575447.4,2655635.3,.0259,.0267,.93,.9399999999999999
GW,p94p95,2023,2866410.9,2955847.3,.0289,.0298,.9399999999999999,.95
GW,p95p96,2023,3261087.5,3363055.2,.0328,.0339,.95,.96
GW,p96p97,2023,3813999.6,3935079.6,.0384,.0396,.96,.97
GW,p97p98,2023,4618378.8,4766713.7,.0465,.048,.97,.98
GW,p98p99,2023,6225956,6428616.800000001,.0627,.0648,.98,.99
GW,p99.1p99.2,2023,7491844.800000001,7734312.300000001,.0075,.0078,.991,.992
GW,p99.2p99.3,2023,7808482.9,8062237.100000001,.0079,.0081,.992,.993
GW,p99.3p99.4,2023,8187210.4,8454445.300000001,.0082,.0085,.993,.9940000000000001
GW,p99.4p99.5,2023,8653147,8936922.300000001,.0087,.009,.9940000000000001,.995
GW,p99.5p99.6,2023,9249028.300000001,9553926.200000001,.0093,.0096,.995,.996
GW,p99.6p99.7,2023,10055920.2,10389365.5,.0101,.0105,.996,.997
GW,p99.7p99.8,2023,11255371.8,11631161.3,.0113,.0117,.997,.998
GW,p99.8p99.9,2023,13400053.5,13851407.6,.0135,.014,.998,.9990000000000001
GW,p99.9p100,2023,22707369.2,23486194.4,.0229,.0237,.9990000000000001,1
GW,p99p99.1,2023,7221407.600000001,7454214.800000001,.0073,.0075,.99,.991
GW,p9p10,2023,218562.9,93486.70000000001,.0022,.0009,.09,.1
