country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
GY,p0p1,2023,436934.1,133.4,.0008,0,0,.01
GY,p10p11,2023,515303.4,96577.70000000001,.0009,.0002,.1,.11
GY,p11p12,2023,536079.6,131893.9,.001,.0002,.11,.12
GY,p12p13,2023,554354.7000000001,159073.1,.001,.0003,.12,.13
GY,p13p14,2023,569895.2000000001,182317.1,.001,.0003,.13,.14
GY,p14p15,2023,604711.2000000001,228104.8,.0011,.0004,.14,.15
GY,p15p16,2023,648064.4,282930,.0012,.0005,.15,.16
GY,p16p17,2023,693652,339922.8,.0012,.0006,.16,.17
GY,p17p18,2023,748143.7000000001,405819.8,.0013,.0007,.17,.18
GY,p18p19,2023,809005,477519.4,.0014,.0009,.18,.19
GY,p19p20,2023,889942.2000000001,570161.9,.0016,.001,.19,.2
GY,p1p2,2023,446205,333.5,.0008,0,.01,.02
GY,p20p21,2023,976648.7000000001,667139.8,.0017,.0012,.2,.21
GY,p21p22,2023,1073693.3,779524.8,.0019,.0014,.21,.22
GY,p22p23,2023,1154897.3,873534.6000000001,.0021,.0016,.22,.23
GY,p23p24,2023,1228797.9,958807.1000000001,.0022,.0017,.23,.24
GY,p24p25,2023,1293327.5,1033208,.0023,.0018,.24,.25
GY,p25p26,2023,1360191.6,1109776.5,.0024,.002,.25,.26
GY,p26p27,2023,1426355.3,1182843.4,.0025,.0021,.26,.27
GY,p27p28,2023,1506091.9,1270383.6,.0027,.0023,.27,.28
GY,p28p29,2023,1576357.6,1347152.2,.0028,.0024,.28,.29
GY,p29p30,2023,1630449.1,1405945.9,.0029,.0025,.29,.3
GY,p2p3,2023,450840.5,600.3000000000001,.0008,0,.02,.03
GY,p30p31,2023,1699214,1480446.7,.003,.0026,.3,.31
GY,p31p32,2023,1773047.9,1558582.6,.0032,.0028,.31,.32
GY,p32p33,2023,1846481.7,1636151.6,.0033,.0029,.32,.33
GY,p33p34,2023,1911144.7,1704149.5,.0034,.003,.33,.34
GY,p34p35,2023,1979742.9,1776149.2,.0035,.0032,.34,.35
GY,p35p36,2023,2049474.9,1849216.1,.0037,.0033,.35,.36
GY,p36p37,2023,2117839.7,1921616.1,.0038,.0034,.36,.37
GY,p37p38,2023,2185937.6,1993449.1,.0039,.0036,.37,.38
GY,p38p39,2023,2248899.9,2059546.1,.004,.0037,.38,.39
GY,p39p40,2023,2310194.7,2123642.2,.0041,.0038,.39,.4
GY,p3p4,2023,458043.8,833.7,.0008,0,.03,.04
GY,p40p41,2023,2369221.8,2185103.8,.0042,.0039,.4,.41
GY,p41p42,2023,2431717.2,2251934.5,.0043,.004,.41,.42
GY,p42p43,2023,2498114.4,2322933.8,.0045,.0042,.42,.43
GY,p43p44,2023,2558475.4,2387363.4,.0046,.0043,.43,.44
GY,p44p45,2023,2616802.2,2449625.3,.0047,.0044,.44,.45
GY,p45p46,2023,2678930.8,2515855.7,.0048,.0045,.45,.46
