country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
HK,p0p1,2023,47723.9,0,.001,0,0,.01
HK,p10p11,2023,105588,45124.8,.0022,.0009,.1,.11
HK,p11p12,2023,112183.8,53325.60000000001,.0023,.0011,.11,.12
HK,p12p13,2023,119782.4,61532.2,.0025,.0013,.12,.13
HK,p13p14,2023,123980.8,69736,.0026,.0014,.13,.14
HK,p14p15,2023,127271.5,77939.7,.0026,.0016,.14,.15
HK,p15p16,2023,132576.4,86143.40000000001,.0027,.0018,.15,.16
HK,p16p17,2023,138607.5,94350,.0029,.002,.16,.17
HK,p17p18,2023,144745.1,102550.8,.003,.0021,.17,.18
HK,p18p19,2023,149055.9,110757.4,.0031,.0023,.18,.19
HK,p19p20,2023,149759,118961.2,.0031,.0025,.19,.2
HK,p1p2,2023,48311.8,0,.001,0,.01,.02
HK,p20p21,2023,151277.5,123061.6,.0031,.0025,.2,.21
HK,p21p22,2023,155703.6,128484.6,.0032,.0027,.21,.22
HK,p22p23,2023,158098.1,131631.3,.0033,.0027,.22,.23
HK,p23p24,2023,162149.6,136604.8,.0034,.0028,.23,.24
HK,p24p25,2023,166846.5,142264.1,.0035,.0029,.24,.25
HK,p25p26,2023,170641.4,146914.9,.0035,.003,.25,.26
HK,p26p27,2023,174361.5,151214.2,.0036,.0031,.26,.27
HK,p27p28,2023,178150.7,155573.9,.0037,.0032,.27,.28
HK,p28p29,2023,179793.2,157565,.0037,.0033,.28,.29
HK,p29p30,2023,182622.9,160844.2,.0038,.0033,.29,.3
HK,p2p3,2023,48908.2,0,.001,0,.02,.03
HK,p30p31,2023,185884.7,164587.3,.0038,.0034,.3,.31
HK,p31p32,2023,190106.2,169056.6,.0039,.0035,.31,.32
HK,p32p33,2023,193601.5,172727.7,.004,.0036,.32,.33
HK,p33p34,2023,197263.9,176574.5,.0041,.0037,.33,.34
HK,p34p35,2023,202444.9,182063.8,.0042,.0038,.34,.35
HK,p35p36,2023,207332,187216,.0043,.0039,.35,.36
HK,p36p37,2023,212697.4,192984.8,.0044,.004,.36,.37
HK,p37p38,2023,216022.7,196529.1,.0045,.0041,.37,.38
HK,p38p39,2023,220664.8,201485.4,.0046,.0042,.38,.39
HK,p39p40,2023,225667.2,206824.8,.0047,.0043,.39,.4
HK,p3p4,2023,49496.10000000001,0,.001,0,.03,.04
HK,p40p41,2023,229983.7,211409.4,.0048,.0044,.4,.41
HK,p41p42,2023,235259.8,217126.3,.0049,.0045,.41,.42
HK,p42p43,2023,240259.3,222523.4,.005,.0046,.42,.43
HK,p43p44,2023,245457.5,228136.6,.0051,.0047,.43,.44
HK,p44p45,2023,250897.9,234003.4,.0052,.0048,.44,.45
HK,p45p46,2023,255032.9,238455.4,.0053,.0049,.45,.46
HK,p46p47,2023,260432.9,244195.4,.0054,.0051,.46,.47
HK,p47p48,2023,266195.9,250330.2,.0055,.0052,.47,.48
HK,p48p49,2023,271875.4,256355.5,.0056,.0053,.48,.49
HK,p49p50,2023,276834.5,261602.8,.0057,.0054,.49,.5
HK,p4p5,2023,50092.60000000001,0,.001,0,.04,.05
HK,p50p51,2023,277419.5,262150.3,.0057,.0054,.5,.51
HK,p51p52,2023,282531.3,267590.6,.0058,.0055,.51,.52
HK,p52p53,2023,287937.1,273342.1,.006,.0057,.52,.53
HK,p53p54,2023,293345.7,279087.9,.0061,.0058,.53,.54
HK,p54p55,2023,299120.3,285228.4,.0062,.0059,.54,.55
HK,p55p56,2023,304148.6,290556.4,.0063,.006,.55,.5600000000000001
HK,p56p57,2023,310992.2,297892.8,.0064,.0062,.5600000000000001,.57
HK,p57p58,2023,317262.4,304595.2,.0066,.0063,.57,.58
HK,p58p59,2023,324120.5,311931.6,.0067,.0065,.58,.59
HK,p59p60,2023,328854.8,316985.8,.0068,.0066,.59,.6
HK,p5p6,2023,50680.4,4100.400000000001,.001,.0001,.05,.06
HK,p60p61,2023,337879.8,326627.4,.007,.0068,.6,.61
HK,p61p62,2023,343838.8,333035.9,.0071,.0069,.61,.62
HK,p62p63,2023,351503.7,341268.5,.0073,.0071,.62,.63
HK,p63p64,2023,357961.2,348207.2,.0074,.0072,.63,.64
