country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
HN,p0p1,2023,5448.1,2.9,.0004,0,0,.01
HN,p10p11,2023,7433,2126.7,.0006,.0002,.1,.11
HN,p11p12,2023,8171.8,2904.3,.0007,.0002,.11,.12
HN,p12p13,2023,8745.300000000001,3502.8,.0007,.0003,.12,.13
HN,p13p14,2023,9241,4014.7,.0008,.0003,.13,.14
HN,p14p15,2023,10214,5022.900000000001,.0008,.0004,.14,.15
HN,p15p16,2023,11384.5,6230.200000000001,.0009,.0005,.15,.16
HN,p16p17,2023,12580.8,7485.200000000001,.001,.0006,.16,.17
HN,p17p18,2023,13976.8,8936.200000000001,.0011,.0007,.17,.18
HN,p18p19,2023,15507.1,10515.1,.0013,.0009,.18,.19
HN,p19p20,2023,17497.2,12555.1,.0014,.001,.19,.2
HN,p1p2,2023,5451,7.300000000000001,.0004,0,.01,.02
HN,p20p21,2023,19598.2,14690.6,.0016,.0012,.2,.21
HN,p21p22,2023,21987,17165.3,.0018,.0014,.21,.22
HN,p22p23,2023,23984.4,19235.4,.0019,.0016,.22,.23
HN,p23p24,2023,25796.8,21113.1,.0021,.0017,.23,.24
HN,p24p25,2023,27376.3,22751.4,.0022,.0018,.24,.25
HN,p25p26,2023,29005.9,24437.5,.0024,.002,.25,.26
HN,p26p27,2023,30577.3,26046.4,.0025,.0021,.26,.27
HN,p27p28,2023,32464.6,27974.1,.0026,.0023,.27,.28
HN,p28p29,2023,34122,29664.6,.0028,.0024,.28,.29
HN,p29p30,2023,35395.4,30959.2,.0029,.0025,.29,.3
HN,p2p3,2023,5454,13.2,.0004,0,.02,.03
HN,p30p31,2023,37009.5,32599.7,.003,.0026,.3,.31
HN,p31p32,2023,38679.4,34320.3,.0031,.0028,.31,.32
HN,p32p33,2023,40335.3,36028.4,.0033,.0029,.32,.33
HN,p33p34,2023,41787.10000000001,37525.7,.0034,.003,.33,.34
HN,p34p35,2023,43325.60000000001,39111.2,.0035,.0032,.34,.35
HN,p35p36,2023,44886.8,40720.10000000001,.0036,.0033,.35,.36
HN,p36p37,2023,46393.60000000001,42314.4,.0038,.0034,.36,.37
HN,p37p38,2023,47888,43896.10000000001,.0039,.0036,.37,.38
HN,p38p39,2023,49260.5,45351.60000000001,.004,.0037,.38,.39
HN,p39p40,2023,50590.4,46763,.0041,.0038,.39,.4
HN,p3p4,2023,5456.200000000001,18.4,.0004,0,.03,.04
HN,p40p41,2023,51863.8,48116.4,.0042,.0039,.4,.41
HN,p41p42,2023,53232.60000000001,49588,.0043,.004,.41,.42
HN,p42p43,2023,54689.5,51151.5,.0044,.0042,.42,.43
HN,p43p44,2023,56004.7,52570.2,.0045,.0043,.43,.44
HN,p44p45,2023,57272.2,53941.2,.0046,.0044,.44,.45
HN,p45p46,2023,58626.3,55399.60000000001,.0048,.0045,.45,.46
HN,p46p47,2023,59984.2,56838.2,.0049,.0046,.46,.47
HN,p47p48,2023,61402.9,58340,.005,.0047,.47,.48
HN,p48p49,2023,62964.9,59987.10000000001,.0051,.0049,.48,.49
HN,p49p50,2023,64447.5,61554.2,.0052,.005,.49,.5
HN,p4p5,2023,5459.8,23.5,.0004,0,.04,.05
HN,p50p51,2023,65773,62959.7,.0053,.0051,.5,.51
HN,p51p52,2023,67119.8,64398.3,.0054,.0052,.51,.52
HN,p52p53,2023,68618.60000000001,65992.60000000001,.0056,.0054,.52,.53
HN,p53p54,2023,70024.8,67493.60000000001,.0057,.0055,.53,.54
HN,p54p55,2023,71553.7,69120.10000000001,.0058,.0056,.54,.55
HN,p55p56,2023,73144.3,70811.3,.0059,.0057,.55,.5600000000000001
HN,p56p57,2023,74741.5,72515,.0061,.0059,.5600000000000001,.57
HN,p57p58,2023,76282.90000000001,74162.90000000001,.0062,.006,.57,.58
HN,p58p59,2023,78275.2,76274.8,.0064,.0062,.58,.59
HN,p59p60,2023,80072.10000000001,78187.8,.0065,.0063,.59,.6
HN,p5p6,2023,5463.5,29.4,.0004,0,.05,.06
HN,p60p61,2023,82068.10000000001,80305.70000000001,.0067,.0065,.6,.61
HN,p61p62,2023,83982.5,82350.10000000001,.0068,.0067,.61,.62
HN,p62p63,2023,86107.70000000001,84614,.007,.0069,.62,.63
HN,p63p64,2023,88207.90000000001,86854.5,.0072,.007,.63,.64
HN,p64p65,2023,90066.5,88848.3,.0073,.0072,.64,.65
HN,p65p66,2023,91962.60000000001,90883.10000000001,.0075,.0074,.65,.66
HN,p66p67,2023,94135.5,93211.70000000001,.0076,.0076,.66,.67
HN,p67p68,2023,96745.40000000001,95994.20000000001,.0079,.0078,.67,.68
HN,p68p69,2023,99322.20000000001,98745,.0081,.008,.68,.6899999999999999
HN,p69p70,2023,101855,101454,.0083,.0082,.6899999999999999,.7
HN,p6p7,2023,5465.700000000001,33.8,.0004,0,.06,.07
HN,p70p71,2023,104244.5,104019.1,.0085,.0084,.7,.71
