country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
HR,p0p1,2023,4446.900000000001,0,.0019,0,0,.01
HR,p10p11,2023,7142.8,3075.5,.0031,.0013,.1,.11
HR,p11p12,2023,7592.900000000001,3634.7,.0033,.0016,.11,.12
HR,p12p13,2023,7979,4193.900000000001,.0034,.0018,.12,.13
HR,p13p14,2023,8279.6,4753,.0036,.002,.13,.14
HR,p14p15,2023,8518.6,5312.200000000001,.0037,.0023,.14,.15
HR,p15p16,2023,8763.300000000001,5871.400000000001,.0038,.0025,.15,.16
HR,p16p17,2023,9057.5,6430.6,.0039,.0028,.16,.17
HR,p17p18,2023,9322.800000000001,6989.8,.004,.003,.17,.18
HR,p18p19,2023,9506.6,7549,.0041,.0033,.18,.19
HR,p19p20,2023,9767.9,8108.1,.0042,.0035,.19,.2
HR,p1p2,2023,4448.900000000001,0,.0019,0,.01,.02
HR,p20p21,2023,10091.3,8387.700000000001,.0043,.0036,.2,.21
HR,p21p22,2023,10313.2,8647.6,.0044,.0037,.21,.22
HR,p22p23,2023,10519.8,8885.300000000001,.0045,.0038,.22,.23
HR,p23p24,2023,10758.3,9161.200000000001,.0046,.0039,.23,.24
HR,p24p25,2023,10923.1,9340.800000000001,.0047,.004,.24,.25
HR,p25p26,2023,11111,9547.4,.0048,.0041,.25,.26
HR,p26p27,2023,11425.3,9894.5,.0049,.0043,.26,.27
HR,p27p28,2023,11773.4,10280.8,.0051,.0044,.27,.28
HR,p28p29,2023,12106.7,10644.9,.0052,.0046,.28,.29
HR,p29p30,2023,12314.6,10849.6,.0053,.0047,.29,.3
HR,p2p3,2023,4458.1,0,.0019,0,.02,.03
HR,p30p31,2023,12452.9,10965.9,.0054,.0047,.3,.31
HR,p31p32,2023,12699.8,11238.8,.0055,.0048,.31,.32
HR,p32p33,2023,12905.5,11459.5,.0056,.0049,.32,.33
HR,p33p34,2023,13147.4,11723.4,.0057,.005,.33,.34
HR,p34p35,2023,13436.2,12043.4,.0058,.0052,.34,.35
HR,p35p36,2023,14029.8,12734.6,.006,.0055,.35,.36
HR,p36p37,2023,14454.9,13244.2,.0062,.0057,.36,.37
HR,p37p38,2023,14600.9,13411.7,.0063,.0058,.37,.38
HR,p38p39,2023,14886.7,13747.8,.0064,.0059,.38,.39
HR,p39p40,2023,15139.5,14041.7,.0065,.006,.39,.4
HR,p3p4,2023,4475.3,0,.0019,0,.03,.04
HR,p40p41,2023,15385.2,14325.6,.0066,.0062,.4,.41
HR,p41p42,2023,15385.2,14327.6,.0066,.0062,.41,.42
HR,p42p43,2023,15624.2,14617.6,.0067,.0063,.42,.43
HR,p43p44,2023,16082.6,15170.3,.0069,.0065,.43,.44
HR,p44p45,2023,16295.4,15426.1,.007,.0066,.44,.45
HR,p45p46,2023,16646.8,15847.5,.0072,.0068,.45,.46
HR,p46p47,2023,16839.2,16056.2,.0073,.0069,.46,.47
HR,p47p48,2023,17379.7,16680.1,.0075,.0072,.47,.48
HR,p48p49,2023,17748.6,17097.5,.0076,.0074,.48,.49
HR,p49p50,2023,18083.4,17472.7,.0078,.0075,.49,.5
HR,p4p5,2023,4508.7,0,.0019,0,.04,.05
HR,p50p51,2023,18351.6,17767.6,.0079,.0077,.5,.51
HR,p51p52,2023,18477.6,17901,.008,.0077,.51,.52
HR,p52p53,2023,18774.2,18237.1,.0081,.0079,.52,.53
HR,p53p54,2023,19302.8,18848.1,.0083,.0081,.53,.54
HR,p54p55,2023,19582.1,19162,.0084,.0083,.54,.55
HR,p55p56,2023,19893.7,19514.2,.0086,.0084,.55,.5600000000000001
HR,p56p57,2023,20212.9,19878.3,.0087,.0086,.5600000000000001,.57
HR,p57p58,2023,20464.1,20162.2,.0088,.0087,.57,.58
HR,p58p59,2023,20844,20597.6,.009,.0089,.58,.59
HR,p59p60,2023,21268.4,21085.2,.0092,.0091,.59,.6
HR,p5p6,2023,4586.7,279.6,.002,.0001,.05,.06
HR,p60p61,2023,21617.6,21483.4,.0093,.0093,.6,.61
HR,p61p62,2023,21963.4,21881.7,.0095,.0094,.61,.62
HR,p62p63,2023,22312.9,22284,.0096,.0096,.62,.63
HR,p63p64,2023,22705.4,22736.4,.0098,.0098,.63,.64
HR,p64p65,2023,23075.3,23161.8,.0099,.01,.64,.65
HR,p65p66,2023,23453.4,23596.2,.0101,.0102,.65,.66
HR,p66p67,2023,23928.2,24163,.0103,.0104,.66,.67
HR,p67p68,2023,24503.1,24846.2,.0106,.0107,.67,.68
HR,p68p69,2023,25003.5,25441.1,.0108,.011,.68,.6899999999999999
HR,p69p70,2023,25535.5,26072.1,.011,.0112,.6899999999999999,.7
HR,p6p7,2023,4764.6,838.8000000000001,.0021,.0004,.06,.07
HR,p70p71,2023,25961.6,26577.7,.0112,.0114,.7,.71
HR,p71p72,2023,26340.3,27017.1,.0113,.0116,.71,.72
HR,p72p73,2023,26756.1,27498.6,.0115,.0118,.72,.73
HR,p73p74,2023,27220.6,28036.3,.0117,.0121,.73,.74
HR,p74p75,2023,27659.8,28543.9,.0119,.0123,.74,.75
HR,p75p76,2023,28061.6,29007.4,.0121,.0125,.75,.76
HR,p76p77,2023,28400.2,29399.7,.0122,.0127,.76,.77
HR,p77p78,2023,28753,29809,.0124,.0128,.77,.78
HR,p78p79,2023,29159.3,30281.5,.0126,.013,.78,.79
HR,p79p80,2023,29654.3,30858.3,.0128,.0133,.79,.8
