country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
HT,p0p1,2023,1655.5,12,0,0,0,.01
HT,p10p11,2023,10228.1,8717.1,.0002,.0002,.1,.11
HT,p11p12,2023,13367.6,11904.7,.0003,.0002,.11,.12
HT,p12p13,2023,15799.7,14357.9,.0003,.0003,.12,.13
HT,p13p14,2023,17891.7,16455.9,.0004,.0003,.13,.14
HT,p14p15,2023,21991.4,20588.7,.0004,.0004,.14,.15
HT,p15p16,2023,26909.8,25537.2,.0005,.0005,.15,.16
HT,p16p17,2023,32038.9,30681.4,.0006,.0006,.16,.17
HT,p17p18,2023,37977.7,36629.2,.0008,.0007,.17,.18
HT,p18p19,2023,44464.4,43100.8,.0009,.0009,.18,.19
HT,p19p20,2023,52856.4,51462.7,.001,.001,.19,.2
HT,p1p2,2023,1676.6,30.1,0,0,.01,.02
HT,p20p21,2023,61675.8,60215.9,.0012,.0012,.2,.21
HT,p21p22,2023,71780.5,70359.8,.0014,.0014,.21,.22
HT,p22p23,2023,80235.70000000001,78845.10000000001,.0016,.0016,.22,.23
HT,p23p24,2023,87911.3,86541.8,.0017,.0017,.23,.24
HT,p24p25,2023,94614.70000000001,93257.20000000001,.0019,.0018,.24,.25
HT,p25p26,2023,101516.7,100168.2,.002,.002,.25,.26
HT,p26p27,2023,108114.7,106763.2,.0021,.0021,.26,.27
HT,p27p28,2023,116016.1,114664.6,.0023,.0023,.27,.28
HT,p28p29,2023,122960.3,121593.7,.0024,.0024,.28,.29
HT,p29p30,2023,128288,126900.4,.0025,.0025,.29,.3
HT,p2p3,2023,1703.7,54.2,0,0,.02,.03
HT,p30p31,2023,135042.6,133624.8,.0027,.0026,.3,.31
HT,p31p32,2023,142062,140677.4,.0028,.0028,.31,.32
HT,p32p33,2023,149033.3,147678.7,.003,.0029,.32,.33
HT,p33p34,2023,155140.6,153816.2,.0031,.003,.33,.34
HT,p34p35,2023,161615.2,160314.9,.0032,.0032,.34,.35
HT,p35p36,2023,168183.1,166909.9,.0033,.0033,.35,.36
HT,p36p37,2023,174687.9,173444.7,.0035,.0034,.36,.37
HT,p37p38,2023,181144.4,179928.3,.0036,.0036,.37,.38
HT,p38p39,2023,187083.2,185894.2,.0037,.0037,.38,.39
HT,p39p40,2023,192847.4,191679.5,.0038,.0038,.39,.4
HT,p3p4,2023,1727.8,75.3,0,0,.03,.04
HT,p40p41,2023,198376.9,197227.1,.0039,.0039,.4,.41
HT,p41p42,2023,204336.8,203259.2,.004,.004,.41,.42
HT,p42p43,2023,210669.9,209667.6,.0042,.0042,.42,.43
HT,p43p44,2023,216413.1,215483,.0043,.0043,.43,.44
HT,p44p45,2023,221957.6,221102.7,.0044,.0044,.44,.45
HT,p45p46,2023,227860.3,227080.7,.0045,.0045,.45,.46
HT,p46p47,2023,233687.7,232977.3,.0046,.0046,.46,.47
