country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
HU,p0p1,2023,1875850.9,0,.0023,0,0,.01
HU,p10p11,2023,3188206.2,1363852.7,.0039,.0017,.1,.11
HU,p11p12,2023,3294799.1,1611825.8,.0041,.002,.11,.12
HU,p12p13,2023,3483647.1,1859799.1,.0043,.0023,.12,.13
HU,p13p14,2023,3572772.8,2107772.4,.0044,.0026,.13,.14
HU,p14p15,2023,3642350.9,2355745.7,.0045,.0029,.14,.15
HU,p15p16,2023,3719767.5,2603718.8,.0046,.0032,.15,.16
HU,p16p17,2023,3812425.4,2851692.1,.0047,.0035,.16,.17
HU,p17p18,2023,3951242.9,3099665.4,.0049,.0038,.17,.18
HU,p18p19,2023,4142268.2,3347638.7,.0051,.0041,.18,.19
HU,p19p20,2023,4301068.8,3595611.6,.0053,.0044,.19,.2
HU,p1p2,2023,1963863.8,0,.0024,0,.01,.02
HU,p20p21,2023,4589058.3,3719598.2,.0057,.0046,.2,.21
HU,p21p22,2023,4624282.8,3780911.5,.0057,.0047,.21,.22
HU,p22p23,2023,4673055.3,3858560.9,.0058,.0048,.22,.23
HU,p23p24,2023,4675377.8,3876769.6,.0058,.0048,.23,.24
HU,p24p25,2023,4675861.600000001,3891879.1,.0058,.0048,.24,.25
HU,p25p26,2023,4705376.7,3942573.7,.0058,.0049,.25,.26
HU,p26p27,2023,4705957.3,3977780.8,.0058,.0049,.26,.27
HU,p27p28,2023,4739923.8,4053585.5,.0058,.005,.27,.28
HU,p28p29,2023,4894514.9,4277866.2,.006,.0053,.28,.29
HU,p29p30,2023,5140747.9,4613398.8,.0063,.0057,.29,.3
HU,p2p3,2023,2040602.9,0,.0025,0,.02,.03
HU,p30p31,2023,5249131,4776508.8,.0065,.0059,.3,.31
HU,p31p32,2023,5332450.600000001,4916144.3,.0066,.0061,.31,.32
HU,p32p33,2023,5338740.600000001,4960368.9,.0066,.0061,.32,.33
HU,p33p34,2023,5377303.800000001,5043696.7,.0066,.0062,.33,.34
HU,p34p35,2023,5398448.100000001,5105129.800000001,.0067,.0063,.34,.35
HU,p35p36,2023,5416495.9,5162296.7,.0067,.0064,.35,.36
HU,p36p37,2023,5493670.5,5244080,.0068,.0065,.36,.37
HU,p37p38,2023,5589957.300000001,5348357.9,.0069,.0066,.37,.38
HU,p38p39,2023,5629633.300000001,5383217.7,.0069,.0066,.38,.39
HU,p39p40,2023,5767192.800000001,5535821.2,.0071,.0068,.39,.4
HU,p3p4,2023,2083133.7,0,.0026,0,.03,.04
HU,p40p41,2023,5966201.600000001,5761328.2,.0073,.0071,.4,.41
HU,p41p42,2023,6115131.7,5930662.9,.0075,.0073,.41,.42
HU,p42p43,2023,6175226.2,5992283.100000001,.0076,.0074,.42,.43
HU,p43p44,2023,6210402.4,6023453.5,.0077,.0074,.43,.44
HU,p44p45,2023,6315350.2,6137850.4,.0078,.0076,.44,.45
HU,p45p46,2023,6405153.300000001,6233669.600000001,.0079,.0077,.45,.46
HU,p46p47,2023,6437281.2,6289321.4,.0079,.0077,.46,.47
HU,p47p48,2023,6446087.300000001,6317225.7,.0079,.0078,.47,.48
HU,p48p49,2023,6496117.800000001,6394345.5,.008,.0079,.48,.49
HU,p49p50,2023,6609968.4,6547501,.0081,.0081,.49,.5
HU,p4p5,2023,2217112.6,0,.0027,0,.04,.05
HU,p50p51,2023,6692320.300000001,6663334.7,.0082,.0082,.5,.51
HU,p51p52,2023,6765769.2,6771567.4,.0083,.0083,.51,.52
HU,p52p53,2023,6835927.9,6876252,.0084,.0085,.52,.53
HU,p53p54,2023,6881023.100000001,6951786.100000001,.0085,.0086,.53,.54
HU,p54p55,2023,7017227.800000001,7135457.5,.0086,.0088,.54,.55
HU,p55p56,2023,7083370.5,7236641.100000001,.0087,.0089,.55,.5600000000000001
HU,p56p57,2023,7145981.100000001,7319942.5,.0088,.009,.5600000000000001,.57
HU,p57p58,2023,7250590.2,7452998.300000001,.0089,.0092,.57,.58
HU,p58p59,2023,7412148.800000001,7653389.2,.0091,.0094,.58,.59
HU,p59p60,2023,7547240.7,7822394.600000001,.0093,.0096,.59,.6
HU,p5p6,2023,2363381.5,123986.6,.0029,.0002,.05,.06
HU,p60p61,2023,7673574.800000001,7981003.2,.0095,.0098,.6,.61
HU,p61p62,2023,7686106.600000001,8006305,.0095,.0099,.61,.62
HU,p62p63,2023,7778377.4,8125388.800000001,.0096,.01,.62,.63
HU,p63p64,2023,7805376.4,8167520.300000001,.0096,.0101,.63,.64
HU,p64p65,2023,7903018,8292777.100000001,.0097,.0102,.64,.65
HU,p65p66,2023,7980870,8394575.300000001,.0098,.0103,.65,.66
HU,p66p67,2023,8088043.5,8528758.4,.01,.0105,.66,.67
HU,p67p68,2023,8174943.600000001,8639104.9,.0101,.0106,.67,.68
HU,p68p69,2023,8289084.600000001,8781592.9,.0102,.0108,.68,.6899999999999999
HU,p69p70,2023,8392871.1,8912073,.0103,.011,.6899999999999999,.7
HU,p6p7,2023,2417427.9,371959.8,.003,.0005,.06,.07
HU,p70p71,2023,8484222.6,9028072.300000001,.0105,.0111,.7,.71
HU,p71p72,2023,8524430.800000001,9080580.9,.0105,.0112,.71,.72
HU,p72p73,2023,8655990.5,9240502.800000001,.0107,.0114,.72,.73
HU,p73p74,2023,8738003.700000001,9342271.5,.0108,.0115,.73,.74
HU,p74p75,2023,8791663,9410836.5,.0108,.0116,.74,.75
HU,p75p76,2023,8868160.200000001,9506107.200000001,.0109,.0117,.75,.76
HU,p76p77,2023,8947584.700000001,9595599.700000001,.011,.0118,.76,.77
HU,p77p78,2023,9087902.200000001,9756229.1,.0112,.012,.77,.78
HU,p78p79,2023,9206107.6,9890699.5,.0113,.0122,.78,.79
HU,p79p80,2023,9254251,9942958.700000001,.0114,.0122,.79,.8
HU,p7p8,2023,2585373.4,619933,.0032,.0008,.07,.08
HU,p80p81,2023,9381068.9,10087043.4,.0116,.0124,.8,.8100000000000001
HU,p81p82,2023,9509701.300000001,10228565.9,.0117,.0126,.8100000000000001,.82
HU,p82p83,2023,9681299.9,10419929.9,.0119,.0128,.82,.83
HU,p83p84,2023,9951652.9,10726197.7,.0123,.0132,.83,.84
HU,p84p85,2023,10226118.7,11036881.4,.0126,.0136,.84,.85
HU,p85p86,2023,10457497.4,11297282.1,.0129,.0139,.85,.86
HU,p86p87,2023,10657207.8,11524454.3,.0131,.0142,.86,.87
HU,p87p88,2023,10884739.9,11784273.6,.0134,.0145,.87,.88
HU,p88p89,2023,11126376.2,12060803.3,.0137,.0149,.88,.89
HU,p89p90,2023,11389156.9,12362409.5,.014,.0152,.89,.9
HU,p8p9,2023,2674063.7,867906.3,.0033,.0011,.08,.09
HU,p90p91,2023,11678573.8,12695451,.0144,.0156,.9,.91
HU,p91p92,2023,12383281.9,13482666.7,.0153,.0166,.91,.92
HU,p92p93,2023,13225791.5,14425937.1,.0163,.0178,.92,.93
HU,p93p94,2023,14258407.1,15584448.2,.0176,.0192,.93,.9399999999999999
HU,p94p95,2023,15566214.2,17054572.8,.0192,.021,.9399999999999999,.95
HU,p95p96,2023,17299860.6,19006777.1,.0213,.0234,.95,.96
HU,p96p97,2023,19824147.5,21780431.2,.0244,.0268,.96,.97
HU,p97p98,2023,23819118.6,26189507.9,.0293,.0323,.97,.98
HU,p98p99,2023,31771272,35006929.3,.0391,.0431,.98,.99
HU,p99.1p99.2,2023,43014982.6,47432158.90000001,.0053,.0058,.991,.992
HU,p99.2p99.3,2023,46169585.2,50997427.90000001,.0057,.0063,.992,.993
HU,p99.3p99.4,2023,50122606.2,55457009,.0062,.0068,.993,.9940000000000001
HU,p99.4p99.5,2023,55285381.5,61242881.1,.0068,.0075,.9940000000000001,.995
HU,p99.5p99.6,2023,62126946.40000001,68912998.7,.0077,.0085,.995,.996
HU,p99.6p99.7,2023,70852091.7,78671525.40000001,.0087,.0097,.996,.997
HU,p99.7p99.8,2023,84459528.5,93842631.30000001,.0104,.0116,.997,.998
HU,p99.8p99.9,2023,110431171.4,122744404.4,.0136,.0151,.998,.9990000000000001
HU,p99.9p100,2023,280046039.7,311363776,.0345,.0384,.9990000000000001,1
HU,p99p99.1,2023,40445177.2,44501614.6,.005,.0055,.99,.991
HU,p9p10,2023,2898620,1115879.5,.0036,.0014,.09,.1
