country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ID,p0p1,2023,7033233.600000001,0,.0008,0,0,.01
ID,p10p11,2023,16488965.8,7695430.600000001,.0018,.0009,.1,.11
ID,p11p12,2023,17124208.3,9094599,.0019,.001,.11,.12
ID,p12p13,2023,17724070.2,10493768,.002,.0012,.12,.13
ID,p13p14,2023,18314819,11892937.9,.002,.0013,.13,.14
ID,p14p15,2023,18943628.6,13292107.9,.0021,.0015,.14,.15
ID,p15p16,2023,19578871.2,14691276.8,.0022,.0016,.15,.16
ID,p16p17,2023,20216794,16090445.7,.0022,.0018,.16,.17
ID,p17p18,2023,20787708.2,17489615.7,.0023,.0019,.17,.18
ID,p18p19,2023,21409012.9,18888783.6,.0024,.0021,.18,.19
ID,p19p20,2023,22020668.3,20287952.5,.0024,.0023,.19,.2
ID,p1p2,2023,8089290.7,0,.0009,0,.01,.02
ID,p20p21,2023,22693971.8,20987538,.0025,.0023,.2,.21
ID,p21p22,2023,23354945.6,21663915.5,.0026,.0024,.21,.22
ID,p22p23,2023,23910313.8,22231060.4,.0027,.0025,.22,.23
ID,p23p24,2023,24427621,22757283.9,.0027,.0025,.23,.24
ID,p24p25,2023,25046781.4,23386560.5,.0028,.0026,.24,.25
ID,p25p26,2023,25662189.3,24011213.6,.0029,.0027,.25,.26
ID,p26p27,2023,26324235.3,24692545.5,.0029,.0027,.26,.27
ID,p27p28,2023,27035599.7,25421928.9,.003,.0028,.27,.28
ID,p28p29,2023,27720160.6,26123660.8,.0031,.0029,.28,.29
ID,p29p30,2023,28370413.1,26787930.6,.0032,.003,.29,.3
ID,p2p3,2023,9390331.700000001,0,.001,0,.02,.03
ID,p30p31,2023,29193816.1,27626973.8,.0032,.0031,.3,.31
ID,p31p32,2023,29962003.8,28414608.8,.0033,.0032,.31,.32
ID,p32p33,2023,30730191.6,29201217.6,.0034,.0032,.32,.33
ID,p33p34,2023,31539656.8,30029807.5,.0035,.0033,.33,.34
ID,p34p35,2023,32367884.4,30876761.8,.0036,.0034,.34,.35
ID,p35p36,2023,33112485.1,31637450.9,.0037,.0035,.35,.36
ID,p36p37,2023,34042029.8,32581308.3,.0038,.0036,.36,.37
ID,p37p38,2023,34850422.8,33400047.8,.0039,.0037,.37,.38
ID,p38p39,2023,35691516.1,34252082.3,.004,.0038,.38,.39
ID,p39p40,2023,36726130.5,35300301.5,.0041,.0039,.39,.4
ID,p3p4,2023,10378844.1,0,.0012,0,.03,.04
ID,p40p41,2023,37715715,36301956,.0042,.004,.4,.41
ID,p41p42,2023,38602910.2,37213487.9,.0043,.0041,.41,.42
ID,p42p43,2023,39521197.5,38157602.8,.0044,.0042,.42,.43
ID,p43p44,2023,40592800.7,39258015.6,.0045,.0044,.43,.44
ID,p44p45,2023,41744278.3,40439873.2,.0046,.0045,.44,.45
ID,p45p46,2023,42801407.6,41526151.2,.0048,.0046,.45,.46
ID,p46p47,2023,43940555.6,42693019.8,.0049,.0047,.46,.47
ID,p47p48,2023,45070590.3,43851839,.005,.0049,.47,.48
ID,p48p49,2023,46199016.90000001,45008614.40000001,.0051,.005,.48,.49
ID,p49p50,2023,47404637.5,46245130.2,.0053,.0051,.49,.5
ID,p4p5,2023,11269255.8,0,.0013,0,.04,.05
ID,p50p51,2023,48473024.3,47341417.7,.0054,.0053,.5,.51
ID,p51p52,2023,49814806.6,48730466.2,.0055,.0054,.51,.52
ID,p52p53,2023,51200010.5,50164942.40000001,.0057,.0056,.52,.53
ID,p53p54,2023,52418496.8,51430418.5,.0058,.0057,.53,.54
ID,p54p55,2023,53764031.6,52825912.40000001,.006,.0059,.54,.55
ID,p55p56,2023,55273067.6,54390758.3,.0061,.006,.55,.5600000000000001
ID,p56p57,2023,56657199.40000001,55834645,.0063,.0062,.5600000000000001,.57
ID,p57p58,2023,58292747.8,57538157,.0065,.0064,.57,.58
ID,p58p59,2023,59905781.3,59218659.90000001,.0067,.0066,.58,.59
ID,p59p60,2023,61628173.1,61011322.7,.0069,.0068,.59,.6
ID,p5p6,2023,12195584.1,699584.5,.0014,.0001,.05,.06
ID,p60p61,2023,63284628.2,62738028.1,.007,.007,.6,.61
ID,p61p62,2023,65141573.40000001,64678616.90000001,.0072,.0072,.61,.62
ID,p62p63,2023,67099835.8,66724585.2,.0075,.0074,.62,.63
ID,p63p64,2023,69112777.3,68826053.5,.0077,.0077,.63,.64
ID,p64p65,2023,71052813.2,70855227.7,.0079,.0079,.64,.65
ID,p65p66,2023,73204060.7,73100898.8,.0081,.0081,.65,.66
ID,p66p67,2023,75511840.40000001,75505263.10000001,.0084,.0084,.66,.67
