country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IE,p0p1,2023,25395.2,0,.0034,0,0,.01
IE,p10p11,2023,40629.3,10855.6,.0054,.0015,.1,.11
IE,p11p12,2023,40902.10000000001,12829.4,.0055,.0017,.11,.12
IE,p12p13,2023,41013.7,14803.1,.0055,.002,.12,.13
IE,p13p14,2023,41234.9,16776.9,.0055,.0022,.13,.14
IE,p14p15,2023,41375,18750.6,.0055,.0025,.14,.15
IE,p15p16,2023,41408,20724.4,.0055,.0028,.15,.16
IE,p16p17,2023,41688.3,22698.1,.0056,.003,.16,.17
IE,p17p18,2023,42006.4,24671.9,.0056,.0033,.17,.18
IE,p18p19,2023,42236.4,26645.6,.0057,.0036,.18,.19
IE,p19p20,2023,42768.10000000001,28619.4,.0057,.0038,.19,.2
IE,p1p2,2023,26176.5,0,.0035,0,.01,.02
IE,p20p21,2023,42999,29606.3,.0058,.004,.2,.21
IE,p21p22,2023,43416.8,30437.8,.0058,.0041,.21,.22
IE,p22p23,2023,43778.5,31194,.0059,.0042,.22,.23
IE,p23p24,2023,44030.3,31810.3,.0059,.0043,.23,.24
IE,p24p25,2023,44292.4,32431.8,.0059,.0043,.24,.25
IE,p25p26,2023,45029.60000000001,33620.6,.006,.0045,.25,.26
IE,p26p27,2023,45763.7,34456.2,.0061,.0046,.26,.27
IE,p27p28,2023,46499.60000000001,35288.7,.0062,.0047,.27,.28
IE,p28p29,2023,47188.4,36059.6,.0063,.0048,.28,.29
IE,p29p30,2023,47741,36662.4,.0064,.0049,.29,.3
IE,p2p3,2023,26990.7,0,.0036,0,.02,.03
IE,p30p31,2023,48410.10000000001,37400.9,.0065,.005,.3,.31
IE,p31p32,2023,49285.3,38422.5,.0066,.0051,.31,.32
IE,p32p33,2023,49984.7,39232,.0067,.0053,.32,.33
IE,p33p34,2023,50734.8,40100,.0068,.0054,.33,.34
IE,p34p35,2023,51592.2,41094.5,.0069,.0055,.34,.35
IE,p35p36,2023,52278.7,41884.2,.007,.0056,.35,.36
IE,p36p37,2023,52706.3,42534.9,.0071,.0057,.36,.37
IE,p37p38,2023,53267.8,43346.60000000001,.0071,.0058,.37,.38
IE,p38p39,2023,53747,44059,.0072,.0059,.38,.39
IE,p39p40,2023,54298.7,44858.10000000001,.0073,.006,.39,.4
IE,p3p4,2023,28325,0,.0038,0,.03,.04
IE,p40p41,2023,54802.8,45600.7,.0073,.0061,.4,.41
