country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IL,p0p1,2023,38505.2,0,.0014,0,0,.01
IL,p10p11,2023,63332.3,25090.1,.0023,.0009,.1,.11
IL,p11p12,2023,64645.4,29651.9,.0023,.0011,.11,.12
IL,p12p13,2023,65986.8,34213.7,.0024,.0012,.12,.13
IL,p13p14,2023,67525.3,38775.5,.0024,.0014,.13,.14
IL,p14p15,2023,69279.40000000001,43337.4,.0025,.0015,.14,.15
IL,p15p16,2023,71126.90000000001,47899.2,.0025,.0017,.15,.16
IL,p16p17,2023,74304.2,52461,.0027,.0019,.16,.17
IL,p17p18,2023,77439.8,57022.9,.0028,.002,.17,.18
IL,p18p19,2023,80605.40000000001,61584.7,.0029,.0022,.18,.19
IL,p19p20,2023,83796.10000000001,66146.5,.003,.0024,.19,.2
IL,p1p2,2023,39556,0,.0014,0,.01,.02
IL,p20p21,2023,87117.10000000001,68427.40000000001,.0031,.0024,.2,.21
IL,p21p22,2023,90003.70000000001,70893.5,.0032,.0025,.21,.22
IL,p22p23,2023,92796.8,73249.5,.0033,.0026,.22,.23
IL,p23p24,2023,95775.3,75791.3,.0034,.0027,.23,.24
IL,p24p25,2023,98702,78264.60000000001,.0035,.0028,.24,.25
IL,p25p26,2023,101752.4,80856,.0036,.0029,.25,.26
IL,p26p27,2023,104492,83395.60000000001,.0037,.003,.26,.27
IL,p27p28,2023,107336.9,86032.70000000001,.0038,.0031,.27,.28
IL,p28p29,2023,110088.2,88556.3,.0039,.0032,.28,.29
IL,p29p30,2023,112971.5,91207.10000000001,.004,.0033,.29,.3
IL,p2p3,2023,40758.8,0,.0015,0,.02,.03
IL,p30p31,2023,115821.4,93811,.0041,.0033,.3,.31
IL,p31p32,2023,118576.1,96425,.0042,.0034,.31,.32
IL,p32p33,2023,121335.8,99035,.0043,.0035,.32,.33
IL,p33p34,2023,124123.8,101669.2,.0044,.0036,.33,.34
IL,p34p35,2023,127065.6,104459.5,.0045,.0037,.34,.35
IL,p35p36,2023,129855.4,107082.4,.0046,.0038,.35,.36
IL,p36p37,2023,132663.5,109837.4,.0047,.0039,.36,.37
IL,p37p38,2023,135580.2,112697,.0048,.004,.37,.38
IL,p38p39,2023,138466.8,115522,.0049,.0041,.38,.39
IL,p39p40,2023,141358.5,118343.7,.005,.0042,.39,.4
IL,p3p4,2023,42190.4,0,.0015,0,.03,.04
IL,p40p41,2023,144380.4,121296.6,.0052,.0043,.4,.41
IL,p41p42,2023,147365.6,124289.7,.0053,.0044,.41,.42
IL,p42p43,2023,150315.8,127248.8,.0054,.0045,.42,.43
IL,p43p44,2023,153404.5,130345.8,.0055,.0047,.43,.44
IL,p44p45,2023,156521.7,133474.1,.0056,.0048,.44,.45
IL,p45p46,2023,159737.4,136701.6,.0057,.0049,.45,.46
IL,p46p47,2023,162682.5,139948.9,.0058,.005,.46,.47
IL,p47p48,2023,165582.5,143149.9,.0059,.0051,.47,.48
IL,p48p49,2023,168519.3,146385.4,.006,.0052,.48,.49
IL,p49p50,2023,171402.6,149565.5,.0061,.0053,.49,.5
IL,p4p5,2023,44764.60000000001,0,.0016,0,.04,.05
IL,p50p51,2023,174364.4,152826.6,.0062,.0055,.5,.51
IL,p51p52,2023,177336.2,156146.4,.0063,.0056,.51,.52
IL,p52p53,2023,180298.1,159459,.0064,.0057,.52,.53
IL,p53p54,2023,183279.9,162793.1,.0065,.0058,.53,.54
IL,p54p55,2023,186342,166210.5,.0066,.0059,.54,.55
IL,p55p56,2023,189505.9,169735.9,.0068,.0061,.55,.5600000000000001
IL,p56p57,2023,192730,173357.1,.0069,.0062,.5600000000000001,.57
IL,p57p58,2023,195940.7,176967.1,.007,.0063,.57,.58
IL,p58p59,2023,199397,180831.1,.0071,.0065,.58,.59
IL,p59p60,2023,202936.8,184782.7,.0072,.0066,.59,.6
IL,p5p6,2023,47684.7,2280.9,.0017,.0001,.05,.06
IL,p60p61,2023,206541.8,188805.1,.0074,.0067,.6,.61
IL,p61p62,2023,210267,192994.1,.0075,.0069,.61,.62
IL,p62p63,2023,213982.2,197175.4,.0076,.007,.62,.63
IL,p63p64,2023,217806,201473.4,.0078,.0072,.63,.64
IL,p64p65,2023,221691.6,205844.4,.0079,.0073,.64,.65
IL,p65p66,2023,225717.5,210361.5,.0081,.0075,.65,.66
IL,p66p67,2023,230339.8,214933.4,.0082,.0077,.66,.67
IL,p67p68,2023,235010.6,219558.2,.0084,.0078,.67,.68
IL,p68p69,2023,239941.9,224465.2,.0086,.008,.68,.6899999999999999
IL,p69p70,2023,244996.9,229507.9,.0087,.0082,.6899999999999999,.7
IL,p6p7,2023,51025.7,6842.700000000001,.0018,.0002,.06,.07
