country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IM,p0p1,2023,0,0,0,0,0,.01
IM,p10p11,2023,25943.4,10039.8,.0031,.0012,.1,.11
IM,p11p12,2023,28556.8,11865.2,.0034,.0014,.11,.12
IM,p12p13,2023,31847,13690.6,.0038,.0016,.12,.13
IM,p13p14,2023,35694.5,15516,.0043,.0019,.13,.14
IM,p14p15,2023,36595,17341.8,.0044,.0021,.14,.15
IM,p15p16,2023,37227.7,19166.7,.0044,.0023,.15,.16
IM,p16p17,2023,38690,20992.6,.0046,.0025,.16,.17
IM,p17p18,2023,38875.3,22817.5,.0046,.0027,.17,.18
IM,p18p19,2023,39381.2,24643.4,.0047,.0029,.18,.19
IM,p19p20,2023,39604.5,26468.7,.0047,.0032,.19,.2
IM,p1p2,2023,0,0,0,0,.01,.02
IM,p20p21,2023,40343.10000000001,27381.7,.0048,.0033,.2,.21
IM,p21p22,2023,40499.4,28677.7,.0048,.0034,.21,.22
IM,p22p23,2023,41241.10000000001,30100.5,.0049,.0036,.22,.23
IM,p23p24,2023,41398.9,31373.5,.0049,.0037,.23,.24
IM,p24p25,2023,42316.8,32803.9,.0051,.0039,.24,.25
IM,p25p26,2023,43239.8,34005.5,.0052,.0041,.25,.26
IM,p26p27,2023,43998.4,35377.4,.0053,.0042,.26,.27
IM,p27p28,2023,44252.10000000001,36686.4,.0053,.0044,.27,.28
IM,p28p29,2023,44913.3,37903.9,.0054,.0045,.28,.29
IM,p29p30,2023,45800.8,38978.2,.0055,.0047,.29,.3
IM,p2p3,2023,0,0,0,0,.02,.03
IM,p30p31,2023,45928.60000000001,40043,.0055,.0048,.3,.31
IM,p31p32,2023,46576.9,40942.4,.0056,.0049,.31,.32
IM,p32p33,2023,46602.8,41981.2,.0056,.005,.32,.33
IM,p33p34,2023,47119.2,42989.5,.0056,.0051,.33,.34
IM,p34p35,2023,47727,43907,.0057,.0052,.34,.35
IM,p35p36,2023,48001.7,45117.10000000001,.0057,.0054,.35,.36
IM,p36p37,2023,48842.7,46327.2,.0058,.0055,.36,.37
IM,p37p38,2023,49901,47492.8,.006,.0057,.37,.38
IM,p38p39,2023,50816.9,48510.60000000001,.0061,.0058,.38,.39
IM,p39p40,2023,51727.9,49524.9,.0062,.0059,.39,.4
IM,p3p4,2023,0,0,0,0,.03,.04
IM,p40p41,2023,52709.7,50608.7,.0063,.006,.4,.41
IM,p41p42,2023,53703.10000000001,51728.4,.0064,.0062,.41,.42
IM,p42p43,2023,54619.5,52770.7,.0065,.0063,.42,.43
IM,p43p44,2023,55627.9,53901.4,.0066,.0064,.43,.44
IM,p44p45,2023,56597.2,54999.10000000001,.0068,.0066,.44,.45
IM,p45p46,2023,57486.2,56022.4,.0069,.0067,.45,.46
IM,p46p47,2023,58508,57163.60000000001,.007,.0068,.46,.47
IM,p47p48,2023,59647.7,58426.10000000001,.0071,.007,.47,.48
IM,p48p49,2023,60783.4,59691.60000000001,.0073,.0071,.48,.49
IM,p49p50,2023,61846.60000000001,60875.3,.0074,.0073,.49,.5
IM,p4p5,2023,0,0,0,0,.04,.05
IM,p50p51,2023,62974.3,62134.3,.0075,.0074,.5,.51
IM,p51p52,2023,63989.60000000001,63285,.0076,.0076,.51,.52
IM,p52p53,2023,65108.8,64538,.0078,.0077,.52,.53
IM,p53p54,2023,66258.5,65832.5,.0079,.0079,.53,.54
IM,p54p55,2023,67461.60000000001,67182.40000000001,.0081,.008,.54,.55
IM,p55p56,2023,68778.10000000001,68644.2,.0082,.0082,.55,.5600000000000001
IM,p56p57,2023,70013.60000000001,70042.10000000001,.0084,.0084,.5600000000000001,.57
IM,p57p58,2023,71183.8,71371.10000000001,.0085,.0085,.57,.58
IM,p58p59,2023,72397.90000000001,72746.5,.0086,.0087,.58,.59
IM,p59p60,2023,73586.5,74100.90000000001,.0088,.0088,.59,.6
IM,p5p6,2023,5878.700000000001,912.4000000000001,.0007,.0001,.05,.06
IM,p60p61,2023,75091.7,75775.90000000001,.009,.009,.6,.61
IM,p61p62,2023,76288.3,77159.3,.0091,.0092,.61,.62
IM,p62p63,2023,77787.60000000001,78847.90000000001,.0093,.0094,.62,.63
IM,p63p64,2023,79094.10000000001,80343.60000000001,.0094,.0096,.63,.64
IM,p64p65,2023,80638.8,82082.60000000001,.0096,.0098,.64,.65
IM,p65p66,2023,81965.20000000001,83608.3,.0098,.01,.65,.66
IM,p66p67,2023,83662.3,85518.60000000001,.01,.0102,.66,.67
IM,p67p68,2023,85209,87273.10000000001,.0102,.0104,.67,.68
IM,p68p69,2023,86712.70000000001,88989.10000000001,.0103,.0106,.68,.6899999999999999
IM,p69p70,2023,88180,90674.60000000001,.0105,.0108,.6899999999999999,.7
IM,p6p7,2023,14014.2,2738.3,.0017,.0003,.06,.07
IM,p70p71,2023,90077.8,92819.60000000001,.0108,.0111,.7,.71
IM,p71p72,2023,91643.5,94611.5,.0109,.0113,.71,.72
IM,p72p73,2023,93344,96554.8,.0111,.0115,.72,.73
IM,p73p74,2023,95274.8,98732.8,.0114,.0118,.73,.74
IM,p74p75,2023,96896.40000000001,100598.6,.0116,.012,.74,.75
IM,p75p76,2023,98990,102967.8,.0118,.0123,.75,.76
IM,p76p77,2023,100783.4,105029.4,.012,.0125,.76,.77
IM,p77p78,2023,102924.1,107466.1,.0123,.0128,.77,.78
IM,p78p79,2023,105240.4,110101,.0126,.0131,.78,.79
IM,p79p80,2023,107495.8,112680,.0128,.0134,.79,.8
IM,p7p8,2023,22249.6,4563.7,.0027,.0005,.07,.08
IM,p80p81,2023,109858.6,115390.4,.0131,.0138,.8,.8100000000000001
IM,p81p82,2023,112221.1,118108.7,.0134,.0141,.8100000000000001,.82
IM,p82p83,2023,114613.8,120878.3,.0137,.0144,.82,.83
IM,p83p84,2023,117527.7,124217.9,.014,.0148,.83,.84
IM,p84p85,2023,121078.8,128248.2,.0145,.0153,.84,.85
IM,p85p86,2023,124552.5,132206.4,.0149,.0158,.85,.86
IM,p86p87,2023,128512.4,136712.9,.0153,.0163,.86,.87
IM,p87p88,2023,131894.7,140614.3,.0157,.0168,.87,.88
IM,p88p89,2023,136134,145463.9,.0162,.0174,.88,.89
IM,p89p90,2023,141482.3,151455.2,.0169,.0181,.89,.9
IM,p8p9,2023,23695,6389.1,.0028,.0008,.08,.09
IM,p90p91,2023,147697.6,158233.4,.0176,.0189,.9,.91
IM,p91p92,2023,153716.4,164719.8,.0183,.0197,.91,.92
IM,p92p93,2023,163095,174718.7,.0195,.0209,.92,.93
IM,p93p94,2023,173427,185692.4,.0207,.0222,.93,.9399999999999999
IM,p94p95,2023,185378.9,198644.6,.0221,.0237,.9399999999999999,.95
IM,p95p96,2023,203786.2,219131,.0243,.0262,.95,.96
IM,p96p97,2023,227296.4,246043.7,.0271,.0294,.96,.97
IM,p97p98,2023,270654.7,295247.2,.0323,.0352,.97,.98
IM,p98p99,2023,351891.7,385502.7,.042,.046,.98,.99
IM,p99.1p99.2,2023,445031.6,494720.7,.0053,.0059,.991,.992
IM,p99.2p99.3,2023,461904.5,514501.4,.0055,.0061,.992,.993
IM,p99.3p99.4,2023,488135.2,544284.9,.0058,.0065,.993,.9940000000000001
IM,p99.4p99.5,2023,541154.2000000001,602989.8,.0065,.0072,.9940000000000001,.995
IM,p99.5p99.6,2023,598773.5,665903.6000000001,.0071,.0079,.995,.996
IM,p99.6p99.7,2023,682896.4,756563.9,.0082,.009,.996,.997
IM,p99.7p99.8,2023,808763.3,893681.7000000001,.0097,.0107,.997,.998
IM,p99.8p99.9,2023,1056535.6,1179464.3,.0126,.0141,.998,.9990000000000001
IM,p99.9p100,2023,3094394.3,3523711.4,.0369,.0421,.9990000000000001,1
IM,p99p99.1,2023,421300.4,466748.8,.005,.0056,.99,.991
IM,p9p10,2023,24078,8214.5,.0029,.001,.09,.1
