country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IN,p0p1,2023,20459.7,0,.0007,0,0,.01
IN,p10p11,2023,63591.3,29104.3,.0023,.0011,.1,.11
IN,p11p12,2023,65611.2,34395.9,.0024,.0013,.11,.12
IN,p12p13,2023,67663.7,39687.60000000001,.0025,.0015,.12,.13
IN,p13p14,2023,69426,44979.3,.0025,.0016,.13,.14
IN,p14p15,2023,71507.8,50271,.0026,.0018,.14,.15
IN,p15p16,2023,73902.7,55562.7,.0027,.002,.15,.16
IN,p16p17,2023,75968.2,60854.4,.0028,.0022,.16,.17
IN,p17p18,2023,78224.5,66146.10000000001,.0029,.0024,.17,.18
IN,p18p19,2023,80249.3,71437.7,.0029,.0026,.18,.19
IN,p19p20,2023,81830.60000000001,76729.40000000001,.003,.0028,.19,.2
IN,p1p2,2023,25911.3,0,.0009,0,.01,.02
IN,p20p21,2023,83459.20000000001,79375.3,.0031,.0029,.2,.21
IN,p21p22,2023,85115.60000000001,81059.8,.0031,.003,.21,.22
IN,p22p23,2023,86882.8,82857.70000000001,.0032,.003,.22,.23
IN,p23p24,2023,88325.5,84303.90000000001,.0032,.0031,.23,.24
IN,p24p25,2023,89804.20000000001,85784.70000000001,.0033,.0031,.24,.25
IN,p25p26,2023,90999.20000000001,86955.20000000001,.0033,.0032,.25,.26
IN,p26p27,2023,92839.70000000001,88686.3,.0034,.0032,.26,.27
IN,p27p28,2023,93765.70000000001,89444.60000000001,.0034,.0033,.27,.28
IN,p28p29,2023,94879.20000000001,90392.8,.0035,.0033,.28,.29
IN,p29p30,2023,96300.70000000001,91658.40000000001,.0035,.0034,.29,.3
IN,p2p3,2023,31031.9,0,.0011,0,.02,.03
IN,p30p31,2023,97994.60000000001,93200.60000000001,.0036,.0034,.3,.31
IN,p31p32,2023,99784.60000000001,94966.90000000001,.0036,.0035,.31,.32
IN,p32p33,2023,101414.9,96562.10000000001,.0037,.0035,.32,.33
IN,p33p34,2023,103133.1,98246.60000000001,.0038,.0036,.33,.34
IN,p34p35,2023,104711.2,99779.8,.0038,.0036,.34,.35
IN,p35p36,2023,106405.1,101434.6,.0039,.0037,.35,.36
IN,p36p37,2023,108198.3,103272.7,.004,.0038,.36,.37
IN,p37p38,2023,109590.6,104689,.004,.0038,.37,.38
IN,p38p39,2023,111211,106342.3,.0041,.0039,.38,.39
IN,p39p40,2023,112034.3,107155.2,.0041,.0039,.39,.4
IN,p3p4,2023,35981.3,0,.0013,0,.03,.04
IN,p40p41,2023,113397.2,108528.5,.0041,.004,.4,.41
IN,p41p42,2023,114784.6,110017.2,.0042,.004,.41,.42
IN,p42p43,2023,115810,111123.8,.0042,.0041,.42,.43
IN,p43p44,2023,117598.4,113032.6,.0043,.0041,.43,.44
IN,p44p45,2023,119256.4,114801.7,.0044,.0042,.44,.45
IN,p45p46,2023,121621.9,117317.3,.0044,.0043,.45,.46
IN,p46p47,2023,123434.7,119234.9,.0045,.0044,.46,.47
IN,p47p48,2023,124797.6,120679.4,.0046,.0044,.47,.48
