country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IQ,p0p1,2023,1539417.2,0,.0014,0,0,.01
IQ,p10p11,2023,1988224.4,559564.8,.0017,.0005,.1,.11
IQ,p11p12,2023,2005133.6,661303.8,.0018,.0006,.11,.12
IQ,p12p13,2023,2029716.4,763042.8,.0018,.0007,.12,.13
IQ,p13p14,2023,2059460.3,864781.9,.0018,.0008,.13,.14
IQ,p14p15,2023,2097081.6,966521,.0018,.0008,.14,.15
IQ,p15p16,2023,2137690.9,1068260.1,.0019,.0009,.15,.16
IQ,p16p17,2023,2185023.1,1169999.1,.0019,.001,.16,.17
IQ,p17p18,2023,2229503.2,1271738.2,.002,.0011,.17,.18
IQ,p18p19,2023,2272625.1,1373477.3,.002,.0012,.18,.19
IQ,p19p20,2023,2310314.3,1475216.3,.002,.0013,.19,.2
IQ,p1p2,2023,1616832.9,0,.0014,0,.01,.02
IQ,p20p21,2023,2344336.4,1526085.8,.0021,.0013,.2,.21
IQ,p21p22,2023,2365184.3,1578152.2,.0021,.0014,.21,.22
IQ,p22p23,2023,2375778,1618713.9,.0021,.0014,.22,.23
IQ,p23p24,2023,2389427.6,1662637.5,.0021,.0015,.23,.24
IQ,p24p25,2023,2400225.1,1703207.7,.0021,.0015,.24,.25
IQ,p25p26,2023,2417270.1,1750605,.0021,.0015,.25,.26
IQ,p26p27,2023,2436624,1799232.9,.0021,.0016,.26,.27
IQ,p27p28,2023,2464602.3,1857115.2,.0022,.0016,.27,.28
IQ,p28p29,2023,2494006.7,1916495.6,.0022,.0017,.28,.29
IQ,p29p30,2023,2532035.4,1985266.1,.0022,.0017,.29,.3
IQ,p2p3,2023,1695946.3,0,.0015,0,.02,.03
IQ,p30p31,2023,2569453,2053173.2,.0023,.0018,.3,.31
IQ,p31p32,2023,2630570.6,2120672.5,.0023,.0019,.31,.32
IQ,p32p33,2023,2691077.1,2187377.5,.0024,.0019,.32,.33
IQ,p33p34,2023,2749342.6,2251523.1,.0024,.002,.33,.34
IQ,p34p35,2023,2811886.3,2320455.2,.0025,.002,.34,.35
IQ,p35p36,2023,2867774.9,2381974.4,.0025,.0021,.35,.36
IQ,p36p37,2023,2926244.1,2447585.7,.0026,.0021,.36,.37
IQ,p37p38,2023,2988312.5,2517094,.0026,.0022,.37,.38
IQ,p38p39,2023,3049430.1,2585471.2,.0027,.0023,.38,.39
IQ,p39p40,2023,3109529.1,2652715.7,.0027,.0023,.39,.4
IQ,p3p4,2023,1760934.7,0,.0015,0,.03,.04
IQ,p40p41,2023,3172819.8,2723408.7,.0028,.0024,.4,.41
