country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IR,p0p1,2023,158053011.9,0,.0007,0,0,.01
IR,p10p11,2023,570821511.8000001,269668182.3,.0026,.0012,.1,.11
IR,p11p12,2023,603423726.5,318698751.5,.0027,.0014,.11,.12
IR,p12p13,2023,631449268.9,367729320.8,.0029,.0017,.12,.13
IR,p13p14,2023,645481767.2,416759915.7,.0029,.0019,.13,.14
IR,p14p15,2023,664077786.4000001,465790536.3,.003,.0021,.14,.15
IR,p15p16,2023,691879755.7,514821105.6,.0031,.0023,.15,.16
IR,p16p17,2023,716301826.2,563851674.8000001,.0032,.0026,.16,.17
IR,p17p18,2023,751915701.7,612882295.4,.0034,.0028,.17,.18
IR,p18p19,2023,776087896.4000001,661912864.7,.0035,.003,.18,.19
IR,p19p20,2023,779717671,710943433.9000001,.0035,.0032,.19,.2
IR,p1p2,2023,220324688.7,0,.001,0,.01,.02
IR,p20p21,2023,797169522.1,735458692.9000001,.0036,.0033,.2,.21
IR,p21p22,2023,824524345.3000001,763964309.7,.0037,.0035,.21,.22
IR,p22p23,2023,852313163.3000001,792872789.6,.0039,.0036,.22,.23
IR,p23p24,2023,882245652.5,823972049.2,.004,.0037,.23,.24
IR,p24p25,2023,906996506.9000001,849669132.2,.0041,.0039,.24,.25
IR,p25p26,2023,918793274.4000001,861936728,.0042,.0039,.25,.26
IR,p26p27,2023,924237936.3000001,867558008.2,.0042,.0039,.26,.27
IR,p27p28,2023,940059019.1,883903808.8000001,.0043,.004,.27,.28
IR,p28p29,2023,960917071.8000001,905420763.9000001,.0044,.0041,.28,.29
IR,p29p30,2023,986667429.3000001,931954242.4000001,.0045,.0042,.29,.3
IR,p2p3,2023,278230114.8,0,.0013,0,.02,.03
IR,p30p31,2023,1007880568.7,953754259.9000001,.0046,.0043,.3,.31
IR,p31p32,2023,1030027454.3,976926642,.0047,.0044,.31,.32
IR,p32p33,2023,1057921483.1,1005996791.1,.0048,.0046,.32,.33
IR,p33p34,2023,1062261431,1010734259.1,.0048,.0046,.33,.34
IR,p34p35,2023,1074781523.2,1023904520.8,.0049,.0046,.34,.35
IR,p35p36,2023,1089945038.1,1039787147.1,.0049,.0047,.35,.36
IR,p36p37,2023,1111934107.5,1062638656.7,.005,.0048,.36,.37
IR,p37p38,2023,1132647495.3,1084151707.5,.0051,.0049,.37,.38
IR,p38p39,2023,1146745750.3,1098815983.8,.0052,.005,.38,.39
IR,p39p40,2023,1173929605.8,1126971291.7,.0053,.0051,.39,.4
IR,p3p4,2023,322431826.7,0,.0015,0,.03,.04
IR,p40p41,2023,1199574752.5,1153536004.6,.0054,.0052,.4,.41
IR,p41p42,2023,1205400803.8,1159953352.9,.0055,.0053,.41,.42
IR,p42p43,2023,1210411470.9,1165524288.2,.0055,.0053,.42,.43
IR,p43p44,2023,1224404515.1,1180383574.5,.0055,.0053,.43,.44
IR,p44p45,2023,1242224604.2,1199182514.1,.0056,.0054,.44,.45
IR,p45p46,2023,1259373974.1,1217310323.5,.0057,.0055,.45,.46
IR,p46p47,2023,1274945181.1,1233207025.8,.0058,.0056,.46,.47
IR,p47p48,2023,1293554351.7,1252262930.6,.0059,.0057,.47,.48
IR,p48p49,2023,1317502973.3,1276815794.2,.006,.0058,.48,.49
IR,p49p50,2023,1344818342.4,1304865480.2,.0061,.0059,.49,.5
IR,p4p5,2023,359623865.1,0,.0016,0,.04,.05
IR,p50p51,2023,1359140170.5,1319482699.4,.0062,.006,.5,.51
IR,p51p52,2023,1377644130.2,1338607237.8,.0062,.0061,.51,.52
IR,p52p53,2023,1398186550.3,1359856234,.0063,.0062,.52,.53
IR,p53p54,2023,1424252540.5,1386783636.7,.0065,.0063,.53,.54
IR,p54p55,2023,1451173368.8,1414601632.8,.0066,.0064,.54,.55
IR,p55p56,2023,1482684020.9,1447162028.7,.0067,.0066,.55,.5600000000000001
IR,p56p57,2023,1503410560,1469305419.9,.0068,.0067,.5600000000000001,.57
IR,p57p58,2023,1504712544.4,1471367100.5,.0068,.0067,.57,.58
IR,p58p59,2023,1515772835.8,1483505597.2,.0069,.0067,.58,.59
IR,p59p60,2023,1534460914.6,1503545182.3,.007,.0068,.59,.6
IR,p5p6,2023,404772474.7,24515284.6,.0018,.0001,.05,.06
IR,p60p61,2023,1559093406.8,1529751418.1,.0071,.0069,.6,.61
IR,p61p62,2023,1583094633.8,1555481225.3,.0072,.007,.61,.62
IR,p62p63,2023,1615775756.7,1590213239,.0073,.0072,.62,.63
IR,p63p64,2023,1642275741.6,1618581639.9,.0074,.0073,.63,.64
IR,p64p65,2023,1672155625.4,1650442137,.0076,.0075,.64,.65
IR,p65p66,2023,1708558582.4,1689091097.2,.0077,.0077,.65,.66
IR,p66p67,2023,1752036969.6,1734425364.7,.0079,.0079,.66,.67
IR,p67p68,2023,1790386327.4,1774455011.9,.0081,.008,.67,.68
IR,p68p69,2023,1802551332.9,1787334710.8,.0082,.0081,.68,.6899999999999999
IR,p69p70,2023,1827723030.8,1813738730.6,.0083,.0082,.6899999999999999,.7
IR,p6p7,2023,438860792.8,73545866.7,.002,.0003,.06,.07
IR,p70p71,2023,1852079344.5,1839298392.2,.0084,.0083,.7,.71
IR,p71p72,2023,1872661218.6,1861183277.1,.0085,.0084,.71,.72
IR,p72p73,2023,1902396437.5,1892587894.7,.0086,.0086,.72,.73
IR,p73p74,2023,1943191947.8,1935565295.2,.0088,.0088,.73,.74
IR,p74p75,2023,1978529644.8,1972956657,.009,.0089,.74,.75
IR,p75p76,2023,2023744011.2,2020696903.5,.0092,.0092,.75,.76
IR,p76p77,2023,2074232071.8,2074208540.7,.0094,.0094,.76,.77
IR,p77p78,2023,2114790857.7,2117511848.2,.0096,.0096,.77,.78
IR,p78p79,2023,2167343681.4,2173468404.8,.0098,.0099,.78,.79
IR,p79p80,2023,2229681115,2239775901,.0101,.0102,.79,.8
IR,p7p8,2023,478840918.9,122576448.8,.0022,.0006,.07,.08
IR,p80p81,2023,2272291512.6,2285709890.8,.0103,.0104,.8,.8100000000000001
IR,p81p82,2023,2331761950.3,2349703364.7,.0106,.0106,.8100000000000001,.82
IR,p82p83,2023,2426806809.4,2451084912.5,.011,.0111,.82,.83
IR,p83p84,2023,2554493337.3,2586905342.5,.0116,.0117,.83,.84
IR,p84p85,2023,2707890768.8,2750016276,.0123,.0125,.84,.85
IR,p85p86,2023,2906620928.8,2961040067.5,.0132,.0134,.85,.86
IR,p86p87,2023,3126242019.9,3194985646.2,.0142,.0145,.86,.87
IR,p87p88,2023,3409417045,3496207606.1,.0155,.0158,.87,.88
IR,p88p89,2023,3700035738.4,3805899039.7,.0168,.0172,.88,.89
IR,p89p90,2023,4052196208.3,4181006143.1,.0184,.0189,.89,.9
IR,p8p9,2023,499738425.7,171607030.9,.0023,.0008,.08,.09
IR,p90p91,2023,4480937031.6,4637518089,.0203,.021,.9,.91
IR,p91p92,2023,4801961663.1,4986694005,.0218,.0226,.91,.92
IR,p92p93,2023,5180516907,5398002272.400001,.0235,.0245,.92,.93
IR,p93p94,2023,5646134136.200001,5903064506.3,.0256,.0268,.93,.9399999999999999
IR,p94p95,2023,6301959445.8,6611987152.1,.0286,.03,.9399999999999999,.95
IR,p95p96,2023,7098155767.5,7472828515.900001,.0322,.0339,.95,.96
IR,p96p97,2023,7987263140.700001,8466090478.5,.0362,.0384,.96,.97
IR,p97p98,2023,9385328040.9,10017420395.9,.0425,.0454,.97,.98
IR,p98p99,2023,12076911126.7,12984627833.2,.0547,.0588,.98,.99
IR,p99.1p99.2,2023,22210669759.6,24113127442,.0101,.0109,.991,.992
IR,p99.2p99.3,2023,23735849103.7,25816974053.2,.0108,.0117,.992,.993
IR,p99.3p99.4,2023,25800382049.6,28121926022.7,.0117,.0127,.993,.9940000000000001
IR,p99.4p99.5,2023,27545731553.9,30064297145,.0125,.0136,.9940000000000001,.995
IR,p99.5p99.6,2023,30227145352.7,33055655404.8,.0137,.015,.995,.996
IR,p99.6p99.7,2023,33236767711.7,36397674039.9,.0151,.0165,.996,.997
IR,p99.7p99.8,2023,38974828191.4,42668779261.3,.0177,.0193,.997,.998
IR,p99.8p99.9,2023,45869620411.4,50071932711.7,.0208,.0227,.998,.9990000000000001
IR,p99.9p100,2023,67084025538.7,72927411594,.0304,.0331,.9990000000000001,1
IR,p99p99.1,2023,20810740654.5,22542216387.6,.0094,.0102,.99,.991
IR,p9p10,2023,536667436.9,220637613,.0024,.001,.09,.1
