country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IS,p0p1,2023,4662716.5,0,.0035,0,0,.01
IS,p10p11,2023,8050360.2,2734686.6,.0061,.0021,.1,.11
IS,p11p12,2023,8241621.2,3231902.3,.0062,.0024,.11,.12
IS,p12p13,2023,8435729.6,3729118,.0064,.0028,.12,.13
IS,p13p14,2023,8646211.6,4226333.7,.0065,.0032,.13,.14
IS,p14p15,2023,8959205.5,4723549.7,.0068,.0036,.14,.15
IS,p15p16,2023,9203225.4,5220765.7,.0069,.0039,.15,.16
IS,p16p17,2023,9379457.5,5717981.4,.0071,.0043,.16,.17
IS,p17p18,2023,9620471.6,6215197.100000001,.0072,.0047,.17,.18
IS,p18p19,2023,9887430,6712412.800000001,.0075,.0051,.18,.19
IS,p19p20,2023,10051639.2,7209628.5,.0076,.0054,.19,.2
IS,p1p2,2023,5193153.100000001,0,.0039,0,.01,.02
IS,p20p21,2023,10220119.6,7458236.7,.0077,.0056,.2,.21
IS,p21p22,2023,10330067,7609665.100000001,.0078,.0057,.21,.22
IS,p22p23,2023,10423403.6,7741696.5,.0079,.0058,.22,.23
IS,p23p24,2023,10531373.4,7890428.2,.0079,.0059,.23,.24
IS,p24p25,2023,10634992.9,8034136.5,.008,.0061,.24,.25
IS,p25p26,2023,10716939.2,8152546.800000001,.0081,.0061,.25,.26
IS,p26p27,2023,10799834.8,8312553.800000001,.0081,.0063,.26,.27
IS,p27p28,2023,10887555.4,8477998.800000001,.0082,.0064,.27,.28
IS,p28p29,2023,10976066.9,8644227.4,.0083,.0065,.28,.29
IS,p29p30,2023,11065844.1,8811705.5,.0083,.0066,.29,.3
IS,p2p3,2023,5474349.4,0,.0041,0,.02,.03
IS,p30p31,2023,11118523.9,8936058.1,.0084,.0067,.3,.31
IS,p31p32,2023,11168118.8,9067829.9,.0084,.0068,.31,.32
IS,p32p33,2023,11210120.3,9190914.5,.0084,.0069,.32,.33
IS,p33p34,2023,11273003.9,9338245.9,.0085,.007,.33,.34
IS,p34p35,2023,11318960.3,9466195.6,.0085,.0071,.34,.35
IS,p35p36,2023,11364442.1,9593797.4,.0086,.0072,.35,.36
IS,p36p37,2023,11446546.6,9741822.800000001,.0086,.0073,.36,.37
IS,p37p38,2023,11532368.8,9894490.9,.0087,.0075,.37,.38
IS,p38p39,2023,11603874.2,10030888.1,.0087,.0076,.38,.39
IS,p39p40,2023,11675063.1,10167369.4,.0088,.0077,.39,.4
IS,p3p4,2023,5778879.800000001,0,.0044,0,.03,.04
IS,p40p41,2023,11763970.1,10324915.7,.0089,.0078,.4,.41
IS,p41p42,2023,11809531.1,10439406.9,.0089,.0079,.41,.42
IS,p42p43,2023,11848526.8,10547044.3,.0089,.0079,.42,.43
IS,p43p44,2023,11902393.1,10672550.6,.009,.008,.43,.44
IS,p44p45,2023,11975401.3,10821109.3,.009,.0082,.44,.45
IS,p45p46,2023,12038363.9,10958754.8,.0091,.0083,.45,.46
IS,p46p47,2023,12131779.6,11087452.3,.0091,.0084,.46,.47
IS,p47p48,2023,12219183.8,11209713.1,.0092,.0084,.47,.48
IS,p48p49,2023,12295751.4,11319763,.0093,.0085,.48,.49
IS,p49p50,2023,12384579.4,11445070.3,.0093,.0086,.49,.5
IS,p4p5,2023,6050900.600000001,0,.0046,0,.04,.05
IS,p50p51,2023,12481475.4,11580457.8,.0094,.0087,.5,.51
IS,p51p52,2023,12580269.8,11722634.2,.0095,.0088,.51,.52
IS,p52p53,2023,12673210.9,11858699,.0095,.0089,.52,.53
IS,p53p54,2023,12793282.9,12027720.7,.0096,.0091,.53,.54
IS,p54p55,2023,12899749.9,12181204.6,.0097,.0092,.54,.55
IS,p55p56,2023,13025200.6,12357971.8,.0098,.0093,.55,.5600000000000001
IS,p56p57,2023,13117271.6,12529187.4,.0099,.0094,.5600000000000001,.57
