country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
IT,p0p1,2023,8093.900000000001,0,.0023,0,0,.01
IT,p10p11,2023,11718.4,5206.8,.0033,.0015,.1,.11
IT,p11p12,2023,12446.2,6153.5,.0036,.0018,.11,.12
IT,p12p13,2023,13234.7,7100.200000000001,.0038,.002,.12,.13
IT,p13p14,2023,14151.5,8046.8,.004,.0023,.13,.14
IT,p14p15,2023,15056.1,8993.5,.0043,.0026,.14,.15
IT,p15p16,2023,15950,9940.200000000001,.0046,.0028,.15,.16
IT,p16p17,2023,16553.4,10886.9,.0047,.0031,.16,.17
IT,p17p18,2023,17019.8,11833.6,.0049,.0034,.17,.18
IT,p18p19,2023,17555.8,12780.3,.005,.0037,.18,.19
IT,p19p20,2023,18094,13727,.0052,.0039,.19,.2
IT,p1p2,2023,8130,0,.0023,0,.01,.02
IT,p20p21,2023,18607.7,14200.3,.0053,.0041,.2,.21
IT,p21p22,2023,19015.6,14834.6,.0054,.0042,.21,.22
IT,p22p23,2023,19373.5,15404.2,.0055,.0044,.22,.23
IT,p23p24,2023,19771,16016.9,.0056,.0046,.23,.24
IT,p24p25,2023,20043.1,16475.7,.0057,.0047,.24,.25
IT,p25p26,2023,20206,16802.1,.0058,.0048,.25,.26
IT,p26p27,2023,20514.4,17229,.0059,.0049,.26,.27
IT,p27p28,2023,20802.6,17628.3,.0059,.005,.27,.28
IT,p28p29,2023,21536.2,18545.8,.0062,.0053,.28,.29
IT,p29p30,2023,22281.1,19469.5,.0064,.0056,.29,.3
IT,p2p3,2023,8165.700000000001,0,.0023,0,.02,.03
IT,p30p31,2023,22518.8,19823.6,.0064,.0057,.3,.31
IT,p31p32,2023,23223.5,20775,.0066,.0059,.31,.32
IT,p32p33,2023,23243.9,20975.1,.0066,.006,.32,.33
IT,p33p34,2023,23320.3,20976.1,.0067,.006,.33,.34
IT,p34p35,2023,23618.7,21548.8,.0067,.0062,.34,.35
IT,p35p36,2023,23755.5,21822.9,.0068,.0062,.35,.36
IT,p36p37,2023,23980.5,21921.4,.0069,.0063,.36,.37
IT,p37p38,2023,25192.8,23163.3,.0072,.0066,.37,.38
IT,p38p39,2023,25381.4,23220.7,.0073,.0066,.38,.39
IT,p39p40,2023,26245.7,24060.3,.0075,.0069,.39,.4
IT,p3p4,2023,8201.6,0,.0023,0,.03,.04
IT,p40p41,2023,26489,24181.4,.0076,.0069,.4,.41
IT,p41p42,2023,27021.3,24657.6,.0077,.007,.41,.42
IT,p42p43,2023,27142.3,24658.6,.0078,.007,.42,.43
IT,p43p44,2023,28146.2,25681.9,.008,.0073,.43,.44
IT,p44p45,2023,29125.8,26678.4,.0083,.0076,.44,.45
IT,p45p46,2023,29246.8,26679.5,.0084,.0076,.45,.46
IT,p46p47,2023,29330.3,26874.5,.0084,.0077,.46,.47
IT,p47p48,2023,29706.3,27408.2,.0085,.0078,.47,.48
IT,p48p49,2023,29900.8,27729.4,.0085,.0079,.48,.49
IT,p49p50,2023,30348.8,28343.2,.0087,.0081,.49,.5
IT,p4p5,2023,8823.200000000001,0,.0025,0,.04,.05
IT,p50p51,2023,30555.8,28674.7,.0087,.0082,.5,.51
