country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
JM,p0p1,2023,105180.5,32.5,.0008,0,0,.01
JM,p10p11,2023,137603.7,23497.9,.001,.0002,.1,.11
JM,p11p12,2023,145798.7,32090.5,.0011,.0002,.11,.12
JM,p12p13,2023,152354.7,38703.3,.0011,.0003,.12,.13
JM,p13p14,2023,158123.7,44358.7,.0012,.0003,.13,.14
JM,p14p15,2023,168907.1,55499.10000000001,.0012,.0004,.14,.15
JM,p15p16,2023,181824.4,68838.3,.0013,.0005,.15,.16
JM,p16p17,2023,195058.2,82705,.0014,.0006,.16,.17
JM,p17p18,2023,210458.4,98738.10000000001,.0015,.0007,.17,.18
JM,p18p19,2023,227408.3,116183,.0017,.0009,.18,.19
JM,p19p20,2023,249340.2,138723.4,.0018,.001,.19,.2
JM,p1p2,2023,107622.8,81.10000000000001,.0008,0,.01,.02
JM,p20p21,2023,272602.8,162318.6,.002,.0012,.2,.21
JM,p21p22,2023,298583.5,189662.5,.0022,.0014,.21,.22
JM,p22p23,2023,320418,212535.6,.0024,.0016,.22,.23
JM,p23p24,2023,340305.2,233282.8,.0025,.0017,.23,.24
JM,p24p25,2023,357725.7,251384.9,.0026,.0018,.24,.25
JM,p25p26,2023,375698,270014.4,.0028,.002,.25,.26
JM,p26p27,2023,393118.6,287792,.0029,.0021,.26,.27
JM,p27p28,2023,413922.6,309091,.003,.0023,.27,.28
JM,p28p29,2023,432268.1,327769.2,.0032,.0024,.28,.29
JM,p29p30,2023,446540.5,342074,.0033,.0025,.29,.3
JM,p2p3,2023,110154.3,146.1,.0008,0,.02,.03
JM,p30p31,2023,464456,360200.5,.0034,.0026,.3,.31
JM,p31p32,2023,481227.4,379211.3,.0035,.0028,.31,.32
JM,p32p33,2023,497860.9,398084.3,.0037,.0029,.32,.33
JM,p33p34,2023,512295.5,414628.5,.0038,.003,.33,.34
JM,p34p35,2023,527655.2000000001,432146.4,.0039,.0032,.34,.35
JM,p35p36,2023,543274.4,449924,.004,.0033,.35,.36
JM,p36p37,2023,558479.9,467539.3,.0041,.0034,.36,.37
JM,p37p38,2023,573563.6,485016.6,.0042,.0036,.37,.38
JM,p38p39,2023,587357.3,501098.4,.0043,.0037,.38,.39
JM,p39p40,2023,600712.7000000001,516693.3,.0044,.0038,.39,.4
JM,p3p4,2023,112685.9,202.8,.0008,0,.03,.04
JM,p40p41,2023,613508.4,531647.2000000001,.0045,.0039,.4,.41
JM,p41p42,2023,627123.5,547907.5,.0046,.004,.41,.42
JM,p42p43,2023,641720.4,565182,.0047,.0042,.42,.43
JM,p43p44,2023,654816.2000000001,580858,.0048,.0043,.43,.44
JM,p44p45,2023,667409,596006.7000000001,.0049,.0044,.44,.45
JM,p45p46,2023,680943,612120.9,.005,.0045,.45,.46
JM,p46p47,2023,694460.8,628016,.0051,.0046,.46,.47
JM,p47p48,2023,708660.1000000001,644608.9,.0052,.0047,.47,.48
JM,p48p49,2023,724384.8,662808.4,.0053,.0049,.48,.49
JM,p49p50,2023,739282,680123.5,.0054,.005,.49,.5
JM,p4p5,2023,114941.5,259.6,.0008,0,.04,.05
JM,p50p51,2023,752499.5,695653.5,.0055,.0051,.5,.51
JM,p51p52,2023,766690.7000000001,711548.6000000001,.0056,.0052,.51,.52
JM,p52p53,2023,782472.3,729163.9,.0057,.0054,.52,.53
JM,p53p54,2023,797280.1000000001,745748.7000000001,.0059,.0055,.53,.54
JM,p54p55,2023,813361.9,763721,.006,.0056,.54,.55
JM,p55p56,2023,830092.8,782407.3,.0061,.0057,.55,.5600000000000001
JM,p56p57,2023,846734.4,801231.6000000001,.0062,.0059,.5600000000000001,.57
JM,p57p58,2023,862743.1000000001,819439.2000000001,.0063,.006,.57,.58
JM,p58p59,2023,883547.1000000001,842774.8,.0065,.0062,.58,.59
JM,p59p60,2023,902225.3,863911.5,.0066,.0063,.59,.6
JM,p5p6,2023,116775.3,324.6,.0009,0,.05,.06
JM,p60p61,2023,922996.9,887312,.0068,.0065,.6,.61
JM,p61p62,2023,942811.1000000001,909901.1000000001,.0069,.0067,.61,.62
JM,p62p63,2023,964864.7000000001,934916.3,.0071,.0069,.62,.63
JM,p63p64,2023,986609.9,959671.8,.0072,.007,.63,.64
JM,p64p65,2023,1005791.2,981701,.0074,.0072,.64,.65
JM,p65p66,2023,1025361.9,1004184.6,.0075,.0074,.65,.66
JM,p66p67,2023,1047967.2,1029913.8,.0077,.0076,.66,.67
JM,p67p68,2023,1075197.5,1060657.4,.0079,.0078,.67,.68
JM,p68p69,2023,1102087,1091052.1,.0081,.008,.68,.6899999999999999
JM,p69p70,2023,1128514,1120984.3,.0083,.0082,.6899999999999999,.7
