country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
JO,p0p1,2023,480,0,.001,0,0,.01
JO,p10p11,2023,1151,528.1,.0023,.0011,.1,.11
JO,p11p12,2023,1188.6,624.1,.0024,.0013,.11,.12
JO,p12p13,2023,1222.1,720.1,.0025,.0015,.12,.13
JO,p13p14,2023,1271,816.1,.0026,.0016,.13,.14
JO,p14p15,2023,1313.7,912.1,.0027,.0018,.14,.15
JO,p15p16,2023,1345.4,1008.1,.0027,.002,.15,.16
JO,p16p17,2023,1379.7,1104.1,.0028,.0022,.16,.17
JO,p17p18,2023,1400.1,1200.2,.0028,.0024,.17,.18
JO,p18p19,2023,1448.4,1296.2,.0029,.0026,.18,.19
JO,p19p20,2023,1485.3,1392.2,.003,.0028,.19,.2
JO,p1p2,2023,597.6,0,.0012,0,.01,.02
JO,p20p21,2023,1512.2,1440.2,.0031,.0029,.2,.21
JO,p21p22,2023,1535.7,1471.3,.0031,.003,.21,.22
JO,p22p23,2023,1558.1,1501.1,.0031,.003,.22,.23
JO,p23p24,2023,1594.6,1545.6,.0032,.0031,.23,.24
JO,p24p25,2023,1629.4,1588.2,.0033,.0032,.24,.25
JO,p25p26,2023,1656.2,1622.3,.0033,.0033,.25,.26
JO,p26p27,2023,1678.6,1649.2,.0034,.0033,.26,.27
JO,p27p28,2023,1723.1,1699.3,.0035,.0034,.27,.28
JO,p28p29,2023,1762.6,1744,.0036,.0035,.28,.29
JO,p29p30,2023,1791.7,1777.6,.0036,.0036,.29,.3
JO,p2p3,2023,693.1,0,.0014,0,.02,.03
JO,p30p31,2023,1826.7,1817.4,.0037,.0037,.3,.31
JO,p31p32,2023,1864,1855.6,.0038,.0038,.31,.32
JO,p32p33,2023,1899.9,1892.5,.0038,.0038,.32,.33
JO,p33p34,2023,1941.3,1935.1,.0039,.0039,.33,.34
JO,p34p35,2023,1985,1980,.004,.004,.34,.35
JO,p35p36,2023,2017.2,2012.8,.0041,.0041,.35,.36
JO,p36p37,2023,2054.3,2051.2,.0042,.0041,.36,.37
JO,p37p38,2023,2096,2094.3,.0042,.0042,.37,.38
JO,p38p39,2023,2143.3,2143.3,.0043,.0043,.38,.39
JO,p39p40,2023,2183.1,2184.3,.0044,.0044,.39,.4
JO,p3p4,2023,763.3000000000001,0,.0015,0,.03,.04
JO,p40p41,2023,2220.3,2222.4,.0045,.0045,.4,.41
JO,p41p42,2023,2262.1,2266.6,.0046,.0046,.41,.42
JO,p42p43,2023,2307,2314.1,.0047,.0047,.42,.43
JO,p43p44,2023,2355.8,2365.5,.0048,.0048,.43,.44
JO,p44p45,2023,2409.8,2422.4,.0049,.0049,.44,.45
JO,p45p46,2023,2457.7,2472.9,.005,.005,.45,.46
JO,p46p47,2023,2508.3,2522.8,.0051,.0051,.46,.47
JO,p47p48,2023,2557.9,2571.8,.0052,.0052,.47,.48
JO,p48p49,2023,2610.2,2623.6,.0053,.0053,.48,.49
JO,p49p50,2023,2654.2,2666.5,.0054,.0054,.49,.5
JO,p4p5,2023,819.7,0,.0017,0,.04,.05
JO,p50p51,2023,2695.2,2706.4,.0054,.0055,.5,.51
JO,p51p52,2023,2737.7,2748.5,.0055,.0056,.51,.52
JO,p52p53,2023,2784.7,2795.4,.0056,.0056,.52,.53
JO,p53p54,2023,2837.1,2848.1,.0057,.0058,.53,.54
JO,p54p55,2023,2900.9,2912.7,.0059,.0059,.54,.55
JO,p55p56,2023,2955.3,2967.2,.006,.006,.55,.5600000000000001
JO,p56p57,2023,3003.7,3019,.0061,.0061,.5600000000000001,.57
JO,p57p58,2023,3052,3070.9,.0062,.0062,.57,.58
JO,p58p59,2023,3109.4,3132.2,.0063,.0063,.58,.59
JO,p59p60,2023,3161,3187.3,.0064,.0064,.59,.6
JO,p5p6,2023,872.2,48,.0018,.0001,.05,.06
JO,p60p61,2023,3210.6,3240.5,.0065,.0065,.6,.61
JO,p61p62,2023,3261.5,3295.3,.0066,.0067,.61,.62
JO,p62p63,2023,3321,3359.1,.0067,.0068,.62,.63
JO,p63p64,2023,3383,3425.7,.0068,.0069,.63,.64
JO,p64p65,2023,3438.5,3485.4,.0069,.007,.64,.65
JO,p65p66,2023,3507.7,3559.6,.0071,.0072,.65,.66
JO,p66p67,2023,3583.3,3637.8,.0072,.0074,.66,.67
JO,p67p68,2023,3653.2,3710.1,.0074,.0075,.67,.68
JO,p68p69,2023,3713.9,3772.8,.0075,.0076,.68,.6899999999999999
JO,p69p70,2023,3787.8,3849.5,.0077,.0078,.6899999999999999,.7
JO,p6p7,2023,925.4000000000001,144,.0019,.0003,.06,.07
JO,p70p71,2023,3863.7,3928.4,.0078,.0079,.7,.71
JO,p71p72,2023,3939.8,4005.9,.008,.0081,.71,.72
JO,p72p73,2023,4028.3,4096.5,.0081,.0083,.72,.73
