country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
JP,p0p1,2023,591152.8,0,.0012,0,0,.01
JP,p10p11,2023,1159361.8,494547.1,.0024,.001,.1,.11
JP,p11p12,2023,1226027.1,584464.8,.0026,.0012,.11,.12
JP,p12p13,2023,1294573.6,674382.4,.0027,.0014,.12,.13
JP,p13p14,2023,1364972.7,764300.1000000001,.0029,.0016,.13,.14
JP,p14p15,2023,1437281.4,854217.8,.003,.0018,.14,.15
JP,p15p16,2023,1511471.2,944135.5,.0032,.002,.15,.16
JP,p16p17,2023,1581414.3,1034053.1,.0033,.0022,.16,.17
JP,p17p18,2023,1653266.9,1123970.8,.0035,.0024,.17,.18
JP,p18p19,2023,1726915.2,1213888.4,.0036,.0025,.18,.19
JP,p19p20,2023,1802387.6,1303806.1,.0038,.0027,.19,.2
JP,p1p2,2023,631112.1000000001,0,.0013,0,.01,.02
JP,p20p21,2023,1879684.1,1348764.9,.0039,.0028,.2,.21
JP,p21p22,2023,1953617.3,1428884.2,.0041,.003,.21,.22
JP,p22p23,2023,2028719.2,1510032,.0042,.0032,.22,.23
JP,p23p24,2023,2104875.6,1592142.9,.0044,.0033,.23,.24
JP,p24p25,2023,2182086.6,1675146.8,.0046,.0035,.24,.25
JP,p25p26,2023,2260238.1,1758968,.0047,.0037,.25,.26
JP,p26p27,2023,2341838.4,1843526.2,.0049,.0039,.26,.27
JP,p27p28,2023,2424350.7,1928735.7,.0051,.004,.27,.28
JP,p28p29,2023,2507547,2014506.1,.0052,.0042,.28,.29
JP,p29p30,2023,2591484.4,2100740.5,.0054,.0044,.29,.3
JP,p2p3,2023,674548.6000000001,0,.0014,0,.02,.03
JP,p30p31,2023,2675991.8,2187337.9,.0056,.0046,.3,.31
JP,p31p32,2023,2759245.1,2274191.4,.0058,.0048,.31,.32
JP,p32p33,2023,2842783.4,2361188.9,.0059,.0049,.32,.33
JP,p33p34,2023,2926492.8,2448213.1,.0061,.0051,.33,.34
JP,p34p35,2023,3010259.2,2535142.2,.0063,.0053,.34,.35
JP,p35p36,2023,3093911.5,2621848.7,.0065,.0055,.35,.36
JP,p36p37,2023,3182181.1,2708201.4,.0067,.0057,.36,.37
JP,p37p38,2023,3270137.2,2794063.7,.0068,.0058,.37,.38
JP,p38p39,2023,3357580.3,2879296.4,.007,.006,.38,.39
JP,p39p40,2023,3444396.3,2963756.1,.0072,.0062,.39,.4
JP,p3p4,2023,721433.9,0,.0015,0,.03,.04
JP,p40p41,2023,3530499.8,3047296.7,.0074,.0064,.4,.41
