country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KE,p0p1,2023,23443.4,0,.0005,0,0,.01
KE,p10p11,2023,102850.8,50374.2,.0021,.001,.1,.11
KE,p11p12,2023,107510.6,59533.10000000001,.0022,.0012,.11,.12
KE,p12p13,2023,112106.9,68692,.0023,.0014,.12,.13
KE,p13p14,2023,116498.4,77851,.0024,.0016,.13,.14
KE,p14p15,2023,121011.1,87009.90000000001,.0025,.0018,.14,.15
KE,p15p16,2023,125284.3,96168.90000000001,.0026,.002,.15,.16
KE,p16p17,2023,129447.8,105327.8,.0027,.0022,.16,.17
KE,p17p18,2023,133732.5,114486.7,.0028,.0024,.17,.18
KE,p18p19,2023,137723,123645.7,.0028,.0026,.18,.19
KE,p19p20,2023,141678.8,132804.6,.0029,.0027,.19,.2
KE,p1p2,2023,35025.1,0,.0007,0,.01,.02
KE,p20p21,2023,145527.8,137384.1,.003,.0028,.2,.21
KE,p21p22,2023,148978.7,141061.3,.0031,.0029,.21,.22
KE,p22p23,2023,153006.6,145333.2,.0032,.003,.22,.23
KE,p23p24,2023,156731.6,149285.2,.0032,.0031,.23,.24
KE,p24p25,2023,160494,153274.3,.0033,.0032,.24,.25
KE,p25p26,2023,163956.5,156942.2,.0034,.0032,.25,.26
KE,p26p27,2023,167418.9,160585,.0035,.0033,.26,.27
KE,p27p28,2023,171097.7,164444,.0035,.0034,.27,.28
KE,p28p29,2023,174747.6,168268.3,.0036,.0035,.28,.29
KE,p29p30,2023,178241.8,171919.4,.0037,.0036,.29,.3
KE,p2p3,2023,46670.3,0,.001,0,.02,.03
KE,p30p31,2023,182056.2,175900,.0038,.0036,.3,.31
KE,p31p32,2023,186095.7,180163.7,.0038,.0037,.31,.32
KE,p32p33,2023,189604.2,183877.5,.0039,.0038,.32,.33
KE,p33p34,2023,193513.9,188001.6,.004,.0039,.33,.34
KE,p34p35,2023,197057.1,191742.6,.0041,.004,.34,.35
KE,p35p36,2023,200834,195723.9,.0041,.004,.35,.36
KE,p36p37,2023,204758,200039.6,.0042,.0041,.36,.37
KE,p37p38,2023,208295.4,203948.6,.0043,.0042,.37,.38
KE,p38p39,2023,212023.3,208052.5,.0044,.0043,.38,.39
