country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KG,p0p1,2023,44752.9,0,.0016,0,0,.01
KG,p10p11,2023,90621.8,37491.1,.0031,.0013,.1,.11
KG,p11p12,2023,92843.3,44307.7,.0032,.0015,.11,.12
KG,p12p13,2023,94911.70000000001,51124.2,.0033,.0018,.12,.13
KG,p13p14,2023,97157.3,57940.8,.0034,.002,.13,.14
KG,p14p15,2023,99311.70000000001,64757.4,.0034,.0022,.14,.15
KG,p15p16,2023,101087.9,71573.90000000001,.0035,.0025,.15,.16
KG,p16p17,2023,103010.2,78390.5,.0036,.0027,.16,.17
KG,p17p18,2023,105021.9,85207,.0036,.003,.17,.18
KG,p18p19,2023,106878.9,92023.60000000001,.0037,.0032,.18,.19
KG,p19p20,2023,108680.8,98840.20000000001,.0038,.0034,.19,.2
KG,p1p2,2023,51974.5,0,.0018,0,.01,.02
KG,p20p21,2023,110348.6,102248.4,.0038,.0035,.2,.21
KG,p21p22,2023,112030.2,104439.9,.0039,.0036,.21,.22
KG,p22p23,2023,113758.2,106675.9,.0039,.0037,.22,.23
KG,p23p24,2023,115357.3,108766.3,.004,.0038,.23,.24
KG,p24p25,2023,116908.2,110794.7,.0041,.0038,.24,.25
KG,p25p26,2023,118440.2,112796.8,.0041,.0039,.25,.26
KG,p26p27,2023,120367.7,115210.6,.0042,.004,.26,.27
KG,p27p28,2023,122154.1,117467.7,.0042,.0041,.27,.28
KG,p28p29,2023,124074.7,119858.6,.0043,.0042,.28,.29
KG,p29p30,2023,125746,121971.4,.0044,.0042,.29,.3
KG,p2p3,2023,59008.60000000001,0,.002,0,.02,.03
KG,p30p31,2023,127644.2,124320.5,.0044,.0043,.3,.31
KG,p31p32,2023,129578.6,126546.4,.0045,.0044,.31,.32
KG,p32p33,2023,131903.2,129191.5,.0046,.0045,.32,.33
KG,p33p34,2023,134131.6,131726.6,.0046,.0046,.33,.34
KG,p34p35,2023,136115.8,133997.8,.0047,.0046,.34,.35
KG,p35p36,2023,138481.7,136673.6,.0048,.0047,.35,.36
KG,p36p37,2023,140342.1,138835.2,.0049,.0048,.36,.37
KG,p37p38,2023,142553.3,141371.4,.0049,.0049,.37,.38
KG,p38p39,2023,144864.2,144009.5,.005,.005,.38,.39
KG,p39p40,2023,147228.4,146699.8,.0051,.0051,.39,.4
KG,p3p4,2023,64199.5,0,.0022,0,.03,.04
KG,p40p41,2023,149429.2,149212.5,.0052,.0052,.4,.41
KG,p41p42,2023,152082.3,152288.8,.0053,.0053,.41,.42
KG,p42p43,2023,154293.5,154889.4,.0053,.0054,.42,.43
KG,p43p44,2023,156612.9,157602.7,.0054,.0055,.43,.44
KG,p44p45,2023,159353.7,160774.7,.0055,.0056,.44,.45
KG,p45p46,2023,161618.2,163426.6,.0056,.0057,.45,.46
KG,p46p47,2023,164763,166968.9,.0057,.0058,.46,.47
KG,p47p48,2023,167534.7,170105.9,.0058,.0059,.47,.48
KG,p48p49,2023,170459.4,173407.1,.0059,.006,.48,.49
KG,p49p50,2023,173115.9,176417.9,.006,.0061,.49,.5
KG,p4p5,2023,68759.40000000001,0,.0024,0,.04,.05
KG,p50p51,2023,175958.1,179627,.0061,.0062,.5,.51
