country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KH,p0p1,2023,593332.5,0,.0004,0,0,.01
KH,p10p11,2023,1850010.4,1207781.5,.0012,.0008,.1,.11
KH,p11p12,2023,2010382.6,1427378.1,.0013,.001,.11,.12
KH,p12p13,2023,2192078.5,1646974.7,.0015,.0011,.12,.13
KH,p13p14,2023,2374662.8,1866571.4,.0016,.0013,.13,.14
KH,p14p15,2023,2558313.4,2086168,.0017,.0014,.14,.15
KH,p15p16,2023,2747472.5,2305764.7,.0018,.0015,.15,.16
KH,p16p17,2023,2936809.4,2525361.4,.002,.0017,.16,.17
KH,p17p18,2023,3124635.8,2744958,.0021,.0018,.17,.18
KH,p18p19,2023,3318148.6,2964554.5,.0022,.002,.18,.19
KH,p19p20,2023,3513171.8,3184151.4,.0024,.0021,.19,.2
KH,p1p2,2023,704393.6000000001,0,.0005,0,.01,.02
KH,p20p21,2023,3720633.8,3293949.8,.0025,.0022,.2,.21
KH,p21p22,2023,3934137.6,3512971.9,.0026,.0024,.21,.22
KH,p22p23,2023,4137601.4,3721549.4,.0028,.0025,.22,.23
KH,p23p24,2023,4343108.8,3931821.9,.0029,.0026,.23,.24
KH,p24p25,2023,4556346,4149382.6,.0031,.0028,.24,.25
KH,p25p26,2023,4765673.8,4362610,.0032,.0029,.25,.26
KH,p26p27,2023,4977844.8,4576201.9,.0033,.0031,.26,.27
KH,p27p28,2023,5199700.4,4799177.8,.0035,.0032,.27,.28
KH,p28p29,2023,5417380,5017217.4,.0036,.0034,.28,.29
KH,p29p30,2023,5623065.100000001,5222645.600000001,.0038,.0035,.29,.3
KH,p2p3,2023,816876.2000000001,0,.0005,0,.02,.03
KH,p30p31,2023,5798008.4,5396688.7,.0039,.0036,.3,.31
KH,p31p32,2023,5968687.100000001,5568908.2,.004,.0037,.31,.32
KH,p32p33,2023,6143719.300000001,5745318,.0041,.0039,.32,.33
KH,p33p34,2023,6319462.300000001,5922376.7,.0042,.004,.33,.34
KH,p34p35,2023,6493961.4,6098028.7,.0044,.0041,.34,.35
KH,p35p36,2023,6673080.600000001,6278200.300000001,.0045,.0042,.35,.36
