country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KI,p0p1,2023,0,0,0,0,0,.01
KI,p10p11,2023,2175.4,640.2,.003,.0009,.1,.11
KI,p11p12,2023,2235.5,756.6,.0031,.0011,.11,.12
KI,p12p13,2023,2346.1,873,.0033,.0012,.12,.13
KI,p13p14,2023,2434.4,989.4000000000001,.0034,.0014,.13,.14
KI,p14p15,2023,2460.4,1105.8,.0034,.0015,.14,.15
KI,p15p16,2023,2462.7,1222.2,.0034,.0017,.15,.16
KI,p16p17,2023,2493.2,1338.6,.0035,.0019,.16,.17
KI,p17p18,2023,2502.7,1455,.0035,.002,.17,.18
KI,p18p19,2023,2638.6,1571.4,.0037,.0022,.18,.19
KI,p19p20,2023,2642.8,1687.8,.0037,.0023,.19,.2
KI,p1p2,2023,0,0,0,0,.01,.02
KI,p20p21,2023,2659.6,1746,.0037,.0024,.2,.21
KI,p21p22,2023,2694.2,1850.5,.0037,.0026,.21,.22
KI,p22p23,2023,2749.4,1956.4,.0038,.0027,.22,.23
KI,p23p24,2023,2786.2,2063.7,.0039,.0029,.23,.24
KI,p24p25,2023,2891.9,2172.4,.004,.003,.24,.25
KI,p25p26,2023,2928.4,2282.3,.0041,.0032,.25,.26
KI,p26p27,2023,2940.2,2393.2,.0041,.0033,.26,.27
KI,p27p28,2023,2984.6,2505.3,.0041,.0035,.27,.28
KI,p28p29,2023,2988.1,2618.2,.0042,.0036,.28,.29
KI,p29p30,2023,2999.5,2732,.0042,.0038,.29,.3
KI,p2p3,2023,0,0,0,0,.02,.03
KI,p30p31,2023,3108.5,2846.5,.0043,.004,.3,.31
KI,p31p32,2023,3218.5,2961.5,.0045,.0041,.31,.32
KI,p32p33,2023,3329.1,3076.9,.0046,.0043,.32,.33
KI,p33p34,2023,3440,3192.7,.0048,.0044,.33,.34
KI,p34p35,2023,3551.5,3308.5,.0049,.0046,.34,.35
KI,p35p36,2023,3663.6,3424.5,.0051,.0048,.35,.36
KI,p36p37,2023,3774.5,3540.1,.0052,.0049,.36,.37
KI,p37p38,2023,3884.3,3655.5,.0054,.0051,.37,.38
KI,p38p39,2023,3994.3,3770.4,.0055,.0052,.38,.39
KI,p39p40,2023,4103.2,3884.5,.0057,.0054,.39,.4
KI,p3p4,2023,0,0,0,0,.03,.04
KI,p40p41,2023,4210.900000000001,3997.8,.0058,.0056,.4,.41
KI,p41p42,2023,4315.1,4110,.006,.0057,.41,.42
KI,p42p43,2023,4418.3,4221,.0061,.0059,.42,.43
KI,p43p44,2023,4519.7,4330.5,.0063,.006,.43,.44
KI,p44p45,2023,4618.900000000001,4438.3,.0064,.0062,.44,.45
KI,p45p46,2023,4715.8,4544.400000000001,.0066,.0063,.45,.46
KI,p46p47,2023,4811.6,4648.400000000001,.0067,.0065,.46,.47
KI,p47p48,2023,4904.3,4750.2,.0068,.0066,.47,.48
KI,p48p49,2023,4994.3,4849.8,.0069,.0067,.48,.49
KI,p49p50,2023,5082.5,4946.700000000001,.0071,.0069,.49,.5
