country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KM,p0p1,2023,40886.2,0,.0003,0,0,.01
KM,p10p11,2023,174888.2,102974.6,.0012,.0007,.1,.11
KM,p11p12,2023,185352.5,121697.2,.0013,.0009,.11,.12
KM,p12p13,2023,195657.8,140419.9,.0014,.001,.12,.13
KM,p13p14,2023,206741.6,159142.5,.0015,.0011,.13,.14
KM,p14p15,2023,217599.4,177865.2,.0015,.0013,.14,.15
KM,p15p16,2023,233940.5,196587.8,.0017,.0014,.15,.16
KM,p16p17,2023,246313.5,215310.5,.0018,.0015,.16,.17
KM,p17p18,2023,257263.4,234033.1,.0018,.0017,.17,.18
KM,p18p19,2023,273110.6,252755.8,.0019,.0018,.18,.19
KM,p19p20,2023,284010.2,271478.4,.002,.0019,.19,.2
KM,p1p2,2023,55469.3,0,.0004,0,.01,.02
KM,p20p21,2023,295981.4,280839.8,.0021,.002,.2,.21
KM,p21p22,2023,305290.5,290661.2,.0022,.0021,.21,.22
KM,p22p23,2023,314080.5,299950,.0022,.0021,.22,.23
KM,p23p24,2023,324360.7,310730.5,.0023,.0022,.23,.24
KM,p24p25,2023,333150.7,319981.6,.0024,.0023,.24,.25
KM,p25p26,2023,347181.3,334548.8,.0025,.0024,.25,.26
KM,p26p27,2023,357553.5,344730.9,.0025,.0025,.26,.27
KM,p27p28,2023,368855,355849.7,.0026,.0025,.27,.28
KM,p28p29,2023,386828.5,373714.2,.0028,.0027,.28,.29
KM,p29p30,2023,402173.4,388877.5,.0029,.0028,.29,.3
KM,p2p3,2023,72069.90000000001,0,.0005,0,.02,.03
KM,p30p31,2023,414144.6,400594.8,.0029,.0029,.3,.31
KM,p31p32,2023,426634.8,412951.8,.003,.0029,.31,.32
KM,p32p33,2023,439250.6,425421.2,.0031,.003,.32,.33
KM,p33p34,2023,450568.8,436572.9,.0032,.0031,.33,.34
KM,p34p35,2023,466842.9,452749.7,.0033,.0032,.34,.35
KM,p35p36,2023,478780.7,464510.4,.0034,.0033,.35,.36
KM,p36p37,2023,492158.2,478562,.0035,.0034,.36,.37
KM,p37p38,2023,507218.5,494296,.0036,.0035,.37,.38
KM,p38p39,2023,524145.6,511935.3,.0037,.0036,.38,.39
KM,p39p40,2023,538092.5,526514,.0038,.0037,.39,.4
KM,p3p4,2023,86586,0,.0006,0,.03,.04
KM,p40p41,2023,551721.2000000001,540772.2000000001,.0039,.0039,.4,.41
KM,p41p42,2023,561767,551628.8,.004,.0039,.41,.42
KM,p42p43,2023,571996.9,562669.6,.0041,.004,.42,.43
KM,p43p44,2023,582921.6,574415.3,.0042,.0041,.43,.44
KM,p44p45,2023,595947.6,588301.9,.0042,.0042,.44,.45
KM,p45p46,2023,609166.2000000001,602386.5,.0043,.0043,.45,.46
KM,p46p47,2023,623774.4,617270.7000000001,.0044,.0044,.46,.47
KM,p47p48,2023,640366.6000000001,634174.1000000001,.0046,.0045,.47,.48
KM,p48p49,2023,657695.5,651824,.0047,.0046,.48,.49
KM,p49p50,2023,671550.3,665942.7000000001,.0048,.0047,.49,.5
KM,p4p5,2023,100055.7,0,.0007,0,.04,.05
KM,p50p51,2023,684785.6000000001,679421.7000000001,.0049,.0048,.5,.51
KM,p51p52,2023,702608.4,697725.2000000001,.005,.005,.51,.52
KM,p52p53,2023,721293.5,716929.3,.0051,.0051,.52,.53
KM,p53p54,2023,745244.3,741509.6000000001,.0053,.0053,.53,.54
KM,p54p55,2023,770643.3,767575.9,.0055,.0055,.54,.55
KM,p55p56,2023,798528.6000000001,796212.9,.0057,.0057,.55,.5600000000000001
KM,p56p57,2023,814200,812115.9,.0058,.0058,.5600000000000001,.57
KM,p57p58,2023,831252.7000000001,829428.7000000001,.0059,.0059,.57,.58
KM,p58p59,2023,855931.8,854562.5,.0061,.0061,.58,.59
KM,p59p60,2023,882561.4,881692.6000000001,.0063,.0063,.59,.6
KM,p5p6,2023,111181.4,9361.300000000001,.0008,.0001,.05,.06
KM,p60p61,2023,911953.6000000001,911670.4,.0065,.0065,.6,.61
KM,p61p62,2023,946326.8,946863.8,.0067,.0067,.61,.62
KM,p62p63,2023,974823.3,976066.6000000001,.0069,.0069,.62,.63
KM,p63p64,2023,1003671.3,1005637.2,.0071,.0072,.63,.64
KM,p64p65,2023,1039132.8,1042016.8,.0074,.0074,.64,.65
KM,p65p66,2023,1070484,1074201.2,.0076,.0076,.65,.66
KM,p66p67,2023,1097147.1,1102638.2,.0078,.0079,.66,.67
KM,p67p68,2023,1123910.6,1131194.4,.008,.0081,.67,.68
KM,p68p69,2023,1155462.7,1164683.8,.0082,.0083,.68,.6899999999999999
KM,p69p70,2023,1181740.7,1192759.2,.0084,.0085,.6899999999999999,.7
KM,p6p7,2023,122549.8,28084,.0009,.0002,.06,.07
KM,p70p71,2023,1209433.5,1222296.3,.0086,.0087,.7,.71
KM,p71p72,2023,1244267.1,1258957.9,.0089,.009,.71,.72
KM,p72p73,2023,1271064.2,1287344.8,.009,.0092,.72,.73
KM,p73p74,2023,1311565.3,1329810.9,.0093,.0095,.73,.74
KM,p74p75,2023,1363652.5,1384203,.0097,.0099,.74,.75
KM,p75p76,2023,1401784.6,1424220.8,.01,.0101,.75,.76
KM,p76p77,2023,1457814.8,1481501.3,.0104,.0105,.76,.77
KM,p77p78,2023,1506653.9,1531358.8,.0107,.0109,.77,.78
KM,p78p79,2023,1559251.8,1585084.1,.0111,.0113,.78,.79
KM,p79p80,2023,1613473.7,1640447.1,.0115,.0117,.79,.8
KM,p7p8,2023,133173.2,46806.60000000001,.0009,.0003,.07,.08
KM,p80p81,2023,1678720.9,1707165.5,.012,.0122,.8,.8100000000000001
KM,p81p82,2023,1733579.1,1762826.1,.0123,.0126,.8100000000000001,.82
KM,p82p83,2023,1808955.7,1839563.9,.0129,.0131,.82,.83
KM,p83p84,2023,1897818.8,1930122.9,.0135,.0137,.83,.84
KM,p84p85,2023,1992533.5,2026609,.0142,.0144,.84,.85
KM,p85p86,2023,2079613.5,2115163.9,.0148,.0151,.85,.86
KM,p86p87,2023,2216219,2255334.3,.0158,.0161,.86,.87
KM,p87p88,2023,2353050.5,2395621.5,.0168,.0171,.87,.88
KM,p88p89,2023,2536184.6,2583381.1,.0181,.0184,.88,.89
KM,p89p90,2023,2727418.1,2779290,.0194,.0198,.89,.9
KM,p8p9,2023,146726.6,65529.3,.001,.0005,.08,.09
KM,p90p91,2023,2936570.7,2993424.1,.0209,.0213,.9,.91
KM,p91p92,2023,3257134.9,3319130,.0232,.0236,.91,.92
KM,p92p93,2023,3645545.6,3713405.7,.026,.0264,.92,.93
KM,p93p94,2023,4023990.1,4096262.7,.0287,.0292,.93,.9399999999999999
KM,p94p95,2023,4594304.3,4674067.600000001,.0327,.0333,.9399999999999999,.95
KM,p95p96,2023,5326288.2,5415078.5,.0379,.0386,.95,.96
KM,p96p97,2023,6598963.9,6698851.100000001,.047,.0477,.96,.97
KM,p97p98,2023,8149028,8257292.9,.058,.0588,.97,.98
KM,p98p99,2023,11407730.5,11538218.4,.0812,.0822,.98,.99
KM,p99.1p99.2,2023,14002620,14129359.8,.01,.0101,.991,.992
KM,p99.2p99.3,2023,14585535.3,14719027.2,.0104,.0105,.992,.993
KM,p99.3p99.4,2023,15282302.6,15423803.6,.0109,.011,.993,.9940000000000001
KM,p99.4p99.5,2023,16138807.8,16290099.5,.0115,.0116,.9940000000000001,.995
KM,p99.5p99.6,2023,17233177.6,17396890.4,.0123,.0124,.995,.996
KM,p99.6p99.7,2023,18713361.9,18893758.8,.0133,.0135,.996,.997
KM,p99.7p99.8,2023,20910248.1,21115263.6,.0149,.015,.997,.998
KM,p99.8p99.9,2023,24829332.3,25077961.7,.0177,.0179,.998,.9990000000000001
KM,p99.9p100,2023,41685192.40000001,42120532.5,.0297,.03,.9990000000000001,1
KM,p99p99.1,2023,13504423.8,13625389.9,.0096,.0097,.99,.991
KM,p9p10,2023,163235.1,84251.90000000001,.0012,.0006,.09,.1
