country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KN,p0p1,2023,0,0,0,0,0,.01
KN,p10p11,2023,9726.4,4681.7,.0013,.0006,.1,.11
KN,p11p12,2023,11181.3,5680.900000000001,.0015,.0007,.11,.12
KN,p12p13,2023,13073.3,6705.1,.0017,.0009,.12,.13
KN,p13p14,2023,16251.3,7750.900000000001,.0021,.001,.13,.14
KN,p14p15,2023,17300.7,8817.4,.0023,.0012,.14,.15
KN,p15p16,2023,20403.7,9900.700000000001,.0027,.0013,.15,.16
KN,p16p17,2023,21278.4,11001.6,.0028,.0015,.16,.17
KN,p17p18,2023,22377.9,12117.3,.003,.0016,.17,.18
KN,p18p19,2023,23182.6,13247.1,.0031,.0017,.18,.19
KN,p19p20,2023,23209.7,14390.9,.0031,.0019,.19,.2
KN,p1p2,2023,0,0,0,0,.01,.02
KN,p20p21,2023,23294.1,14966.6,.0031,.002,.2,.21
KN,p21p22,2023,23589,16164.6,.0031,.0021,.21,.22
KN,p22p23,2023,23636.4,17365.3,.0031,.0023,.22,.23
KN,p23p24,2023,24773.4,18566.4,.0033,.0025,.23,.24
KN,p24p25,2023,24879.9,19768.4,.0033,.0026,.24,.25
KN,p25p26,2023,25177.5,20971.8,.0033,.0028,.25,.26
KN,p26p27,2023,25506.7,22174.3,.0034,.0029,.26,.27
KN,p27p28,2023,26564.2,23377.2,.0035,.0031,.27,.28
KN,p28p29,2023,27739.6,24578.8,.0037,.0032,.28,.29
KN,p29p30,2023,28920.4,25779.4,.0038,.0034,.29,.3
KN,p2p3,2023,0,0,0,0,.02,.03
KN,p30p31,2023,30103.9,26979.2,.004,.0036,.3,.31
KN,p31p32,2023,31288.8,28176.3,.0041,.0037,.31,.32
KN,p32p33,2023,32469.6,29371.5,.0043,.0039,.32,.33
KN,p33p34,2023,33648.6,30564.1,.0044,.004,.33,.34
KN,p34p35,2023,34826.7,31753.9,.0046,.0042,.34,.35
KN,p35p36,2023,36006.6,32939.7,.0048,.0043,.35,.36
KN,p36p37,2023,37173.8,34122.7,.0049,.0045,.36,.37
KN,p37p38,2023,38327.1,35300.8,.0051,.0047,.37,.38
KN,p38p39,2023,39483.10000000001,36475.3,.0052,.0048,.38,.39
KN,p39p40,2023,40629.60000000001,37644.8,.0054,.005,.39,.4
KN,p3p4,2023,0,0,0,0,.03,.04
KN,p40p41,2023,41767.5,38809.4,.0055,.0051,.4,.41
KN,p41p42,2023,42876.5,39968,.0057,.0053,.41,.42
KN,p42p43,2023,43982.3,41122.2,.0058,.0054,.42,.43
KN,p43p44,2023,45076.9,42269.60000000001,.006,.0056,.43,.44
KN,p44p45,2023,46160.60000000001,43410.7,.0061,.0057,.44,.45
KN,p45p46,2023,47232.60000000001,44545.8,.0062,.0059,.45,.46
KN,p46p47,2023,48305.9,45672.9,.0064,.006,.46,.47
KN,p47p48,2023,49362.5,46793.2,.0065,.0062,.47,.48
KN,p48p49,2023,50407.9,47905.8,.0067,.0063,.48,.49
KN,p49p50,2023,51451.4,49009.4,.0068,.0065,.49,.5
KN,p4p5,2023,0,0,0,0,.04,.05
KN,p50p51,2023,52475.10000000001,50104.9,.0069,.0066,.5,.51
KN,p51p52,2023,53484.7,51190.4,.0071,.0068,.51,.52
KN,p52p53,2023,54485.8,52266,.0072,.0069,.52,.53
KN,p53p54,2023,55464.3,53330.8,.0073,.007,.53,.54
KN,p54p55,2023,56430.60000000001,54384.2,.0074,.0072,.54,.55
KN,p55p56,2023,57384.3,55425.9,.0076,.0073,.55,.5600000000000001
KN,p56p57,2023,58313.2,56455.5,.0077,.0075,.5600000000000001,.57
KN,p57p58,2023,59232.10000000001,57471.9,.0078,.0076,.57,.58
KN,p58p59,2023,60134.7,58475.7,.0079,.0077,.58,.59
KN,p59p60,2023,61020.60000000001,59465.5,.0081,.0078,.59,.6
KN,p5p6,2023,4732.7,300.3,.0006,0,.05,.06
KN,p60p61,2023,61892.10000000001,60441.8,.0082,.008,.6,.61
KN,p61p62,2023,62734.7,61404,.0083,.0081,.61,.62
KN,p62p63,2023,63563.3,62352.7,.0084,.0082,.62,.63
KN,p63p64,2023,64380.2,63287,.0085,.0084,.63,.64
KN,p64p65,2023,65179.9,64208.60000000001,.0086,.0085,.64,.65
KN,p65p66,2023,65965.10000000001,65116.7,.0087,.0086,.65,.66
KN,p66p67,2023,66731.8,66013,.0088,.0087,.66,.67
KN,p67p68,2023,67493.2,66898,.0089,.0088,.67,.68
KN,p68p69,2023,68240.90000000001,67774,.009,.0089,.68,.6899999999999999
KN,p69p70,2023,68978.8,68641.90000000001,.0091,.0091,.6899999999999999,.7
KN,p6p7,2023,6225.1,1042.2,.0008,.0001,.06,.07
