country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KP,p0p1,2023,0,0,0,0,0,.01
KP,p10p11,2023,21141.3,8717.1,.0025,.001,.1,.11
KP,p11p12,2023,23383.9,10302,.0028,.0012,.11,.12
KP,p12p13,2023,26265.6,11886.9,.0031,.0014,.12,.13
KP,p13p14,2023,30758.5,13471.8,.0036,.0016,.13,.14
KP,p14p15,2023,31325.5,15056.8,.0037,.0018,.14,.15
KP,p15p16,2023,31406.1,16641.7,.0037,.002,.15,.16
KP,p16p17,2023,31482.6,18226.6,.0037,.0021,.16,.17
KP,p17p18,2023,32252.8,19811.5,.0038,.0023,.17,.18
KP,p18p19,2023,32743.8,21396.5,.0039,.0025,.18,.19
KP,p19p20,2023,32888.7,22981.4,.0039,.0027,.19,.2
KP,p1p2,2023,0,0,0,0,.01,.02
KP,p20p21,2023,33524.1,23773.8,.0039,.0028,.2,.21
KP,p21p22,2023,34218.8,24645.3,.004,.0029,.21,.22
KP,p22p23,2023,34931.8,25542.9,.0041,.003,.22,.23
KP,p23p24,2023,35343.2,26446.3,.0042,.0031,.23,.24
KP,p24p25,2023,35754.1,27318.6,.0042,.0032,.24,.25
KP,p25p26,2023,36362.2,28205.4,.0043,.0033,.25,.26
KP,p26p27,2023,36544.1,29094.4,.0043,.0034,.26,.27
KP,p27p28,2023,36818.7,30020.9,.0043,.0035,.27,.28
KP,p28p29,2023,37418.2,30852.1,.0044,.0036,.28,.29
KP,p29p30,2023,38201.5,31685.1,.0045,.0037,.29,.3
KP,p2p3,2023,0,0,0,0,.02,.03
KP,p30p31,2023,39025.4,32606,.0046,.0038,.3,.31
KP,p31p32,2023,39946.10000000001,33487.6,.0047,.0039,.31,.32
KP,p32p33,2023,40397.60000000001,34441.9,.0048,.0041,.32,.33
KP,p33p34,2023,40688.9,35310.1,.0048,.0042,.33,.34
KP,p34p35,2023,40814.60000000001,36207.2,.0048,.0043,.34,.35
KP,p35p36,2023,41292.9,37186,.0049,.0044,.35,.36
KP,p36p37,2023,41593.9,38122.7,.0049,.0045,.36,.37
KP,p37p38,2023,41655.7,39041.1,.0049,.0046,.37,.38
KP,p38p39,2023,42492.8,39945.4,.005,.0047,.38,.39
KP,p39p40,2023,43380.60000000001,40899.60000000001,.0051,.0048,.39,.4
KP,p3p4,2023,0,0,0,0,.03,.04
KP,p40p41,2023,44203.5,41794.5,.0052,.0049,.4,.41
KP,p41p42,2023,45037.5,42720.5,.0053,.005,.41,.42
KP,p42p43,2023,45916.10000000001,43684.7,.0054,.0051,.42,.43
KP,p43p44,2023,46815,44670.9,.0055,.0053,.43,.44
KP,p44p45,2023,47695.2,45641.9,.0056,.0054,.44,.45
KP,p45p46,2023,48635.60000000001,46674.9,.0057,.0055,.45,.46
KP,p46p47,2023,49501.10000000001,47625.3,.0058,.0056,.46,.47
KP,p47p48,2023,50457.7,48671.7,.0059,.0057,.47,.48
KP,p48p49,2023,51388.5,49696.2,.006,.0058,.48,.49
KP,p49p50,2023,52339.60000000001,50732.10000000001,.0062,.006,.49,.5
KP,p4p5,2023,0,0,0,0,.04,.05
KP,p50p51,2023,53310.5,51796.9,.0063,.0061,.5,.51
KP,p51p52,2023,54326.9,52909.60000000001,.0064,.0062,.51,.52
KP,p52p53,2023,55376.3,54053.8,.0065,.0064,.52,.53
KP,p53p54,2023,56506.8,55288.10000000001,.0066,.0065,.53,.54
KP,p54p55,2023,57657.5,56542.9,.0068,.0067,.54,.55
KP,p55p56,2023,58833.60000000001,57824.2,.0069,.0068,.55,.5600000000000001
KP,p56p57,2023,60078,59186.3,.0071,.007,.5600000000000001,.57
KP,p57p58,2023,61342.8,60566.10000000001,.0072,.0071,.57,.58
KP,p58p59,2023,62625.7,61967.7,.0074,.0073,.58,.59
KP,p59p60,2023,63999.9,63464.5,.0075,.0075,.59,.6
KP,p5p6,2023,4076.4,792.5,.0005,.0001,.05,.06
KP,p60p61,2023,65442,65031.8,.0077,.0076,.6,.61
KP,p61p62,2023,66896.8,66628.5,.0079,.0078,.61,.62
KP,p62p63,2023,68245.10000000001,68121.40000000001,.008,.008,.62,.63
KP,p63p64,2023,69779.40000000001,69800.2,.0082,.0082,.63,.64
KP,p64p65,2023,71449.5,71620.8,.0084,.0084,.64,.65
KP,p65p66,2023,73101.90000000001,73429.60000000001,.0086,.0086,.65,.66
KP,p66p67,2023,74764.90000000001,75259.5,.0088,.0089,.66,.67
KP,p67p68,2023,76592.10000000001,77251,.009,.0091,.67,.68
KP,p68p69,2023,78405.10000000001,79236.5,.0092,.0093,.68,.6899999999999999
KP,p69p70,2023,80409.10000000001,81423.10000000001,.0095,.0096,.6899999999999999,.7
KP,p6p7,2023,11143,2377.4,.0013,.0003,.06,.07
KP,p70p71,2023,82325.90000000001,83538.8,.0097,.0098,.7,.71
KP,p71p72,2023,84391.3,85795.5,.0099,.0101,.71,.72
KP,p72p73,2023,86572.10000000001,88184.70000000001,.0102,.0104,.72,.73
KP,p73p74,2023,88942,90765.20000000001,.0105,.0107,.73,.74
KP,p74p75,2023,91352.90000000001,93397,.0107,.011,.74,.75
KP,p75p76,2023,93841.8,96124.60000000001,.011,.0113,.75,.76
KP,p76p77,2023,96426.5,98957,.0113,.0116,.76,.77
KP,p77p78,2023,99136.40000000001,101933,.0117,.012,.77,.78
KP,p78p79,2023,102264.8,105357.2,.012,.0124,.78,.79
KP,p79p80,2023,105386.1,108784.6,.0124,.0128,.79,.8
KP,p7p8,2023,18266.2,3962.3,.0021,.0005,.07,.08
KP,p80p81,2023,108500.3,112226.2,.0128,.0132,.8,.8100000000000001
KP,p81p82,2023,111891.7,115965.9,.0132,.0136,.8100000000000001,.82
KP,p82p83,2023,115568.3,120027.5,.0136,.0141,.82,.83
KP,p83p84,2023,119556.9,124435.8,.0141,.0146,.83,.84
KP,p84p85,2023,123802.8,129134.2,.0146,.0152,.84,.85
KP,p85p86,2023,128548.4,134367.3,.0151,.0158,.85,.86
KP,p86p87,2023,133498.4,139851.6,.0157,.0165,.86,.87
KP,p87p88,2023,138974.6,145903.7,.0163,.0172,.87,.88
KP,p88p89,2023,144835.1,152401.7,.017,.0179,.88,.89
KP,p89p90,2023,152122.3,160362.5,.0179,.0189,.89,.9
KP,p8p9,2023,19558.3,5547.200000000001,.0023,.0007,.08,.09
KP,p90p91,2023,160837.4,169683.5,.0189,.02,.9,.91
KP,p91p92,2023,171029.5,180477.8,.0201,.0212,.91,.92
KP,p92p93,2023,184148.1,194264.9,.0217,.0229,.92,.93
KP,p93p94,2023,200675.1,211591.3,.0236,.0249,.93,.9399999999999999
KP,p94p95,2023,221074,233282.4,.026,.0274,.9399999999999999,.95
KP,p95p96,2023,246196.2,260698.3,.029,.0307,.95,.96
KP,p96p97,2023,279316.1,297744.4,.0329,.035,.96,.97
