country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KR,p0p1,2023,7595463.600000001,0,.0018,0,0,.01
KR,p10p11,2023,12885732.4,5055943.5,.003,.0012,.1,.11
KR,p11p12,2023,13381525.9,5975206.100000001,.0031,.0014,.11,.12
KR,p12p13,2023,13872936.4,6894468.100000001,.0032,.0016,.12,.13
KR,p13p14,2023,14361510.9,7813731.100000001,.0033,.0018,.13,.14
KR,p14p15,2023,14847765,8732993.700000001,.0034,.002,.14,.15
KR,p15p16,2023,15332987.7,9652256.200000001,.0035,.0022,.15,.16
KR,p16p17,2023,15809960.2,10571518.8,.0037,.0024,.16,.17
KR,p17p18,2023,16287963.9,11490781.3,.0038,.0027,.17,.18
KR,p18p19,2023,16767772.4,12410043.9,.0039,.0029,.18,.19
KR,p19p20,2023,17250674.7,13329306.4,.004,.0031,.19,.2
KR,p1p2,2023,7967760,0,.0018,0,.01,.02
KR,p20p21,2023,17735639.6,13788937.2,.0041,.0032,.2,.21
KR,p21p22,2023,18165430.5,14365880.4,.0042,.0033,.21,.22
KR,p22p23,2023,18592385.3,14939246.3,.0043,.0035,.22,.23
KR,p23p24,2023,19017277.5,15508682.5,.0044,.0036,.23,.24
KR,p24p25,2023,19439849.2,16073962.2,.0045,.0037,.24,.25
KR,p25p26,2023,19860616.3,16635009,.0046,.0038,.25,.26
KR,p26p27,2023,20310259.5,17191923.6,.0047,.004,.26,.27
KR,p27p28,2023,20759129.2,17745016.2,.0048,.0041,.27,.28
KR,p28p29,2023,21207483.3,18294835.7,.0049,.0042,.28,.29
KR,p29p30,2023,21656095.2,18842207.8,.005,.0044,.29,.3
KR,p2p3,2023,8384917.5,0,.0019,0,.02,.03
KR,p30p31,2023,22106769.7,19388282.8,.0051,.0045,.3,.31
KR,p31p32,2023,22599984.9,19934472.5,.0052,.0046,.31,.32
KR,p32p33,2023,23096551.9,20482209.3,.0053,.0047,.32,.33
KR,p33p34,2023,23598017.5,21032824.3,.0055,.0049,.33,.34
KR,p34p35,2023,24105155.2,21587494.1,.0056,.005,.34,.35
KR,p35p36,2023,24618996.3,22147209.5,.0057,.0051,.35,.36
KR,p36p37,2023,25132064,22712701.7,.0058,.0053,.36,.37
KR,p37p38,2023,25652866.3,23284397.8,.0059,.0054,.37,.38
KR,p38p39,2023,26181403.3,23862328,.0061,.0055,.38,.39
KR,p39p40,2023,26716643.7,24446047.1,.0062,.0057,.39,.4
KR,p3p4,2023,8842811,0,.002,0,.03,.04
KR,p40p41,2023,27258071.9,25034542,.0063,.0058,.4,.41
KR,p41p42,2023,27791507.6,25626302,.0064,.0059,.41,.42
KR,p42p43,2023,28327263.6,26219745.9,.0065,.0061,.42,.43
KR,p43p44,2023,28864308.8,26813427.4,.0067,.0062,.43,.44
KR,p44p45,2023,29400838.3,27406114,.0068,.0063,.44,.45
KR,p45p46,2023,29936336.5,27996840.6,.0069,.0065,.45,.46
KR,p46p47,2023,30476217.8,28585001.2,.007,.0066,.46,.47
KR,p47p48,2023,31014294.2,29170444.5,.0072,.0067,.47,.48
KR,p48p49,2023,31550565.9,29753587.5,.0073,.0069,.48,.49
KR,p49p50,2023,32086579.8,30335564.3,.0074,.007,.49,.5
KR,p4p5,2023,9340409.300000001,0,.0022,0,.04,.05
KR,p50p51,2023,32623109.3,30918375,.0075,.0071,.5,.51
KR,p51p52,2023,33157834.1,31504829.5,.0077,.0073,.51,.52
KR,p52p53,2023,33697973.2,32098021.6,.0078,.0074,.52,.53
KR,p53p54,2023,34246104.7,32701067.4,.0079,.0076,.53,.54
KR,p54p55,2023,34804549.2,33317024.4,.008,.0077,.54,.55
KR,p55p56,2023,35375627,33948811.4,.0082,.0078,.55,.5600000000000001
KR,p56p57,2023,35956759.9,34599117.3,.0083,.008,.5600000000000001,.57
KR,p57p58,2023,36554909.1,35270242.4,.0085,.0082,.57,.58
KR,p58p59,2023,37171363.7,35963951.2,.0086,.0083,.58,.59
