country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KS,p0p1,2023,2339.7,0,.0031,0,0,.01
KS,p10p11,2023,2443.3,832.9000000000001,.0032,.0011,.1,.11
KS,p11p12,2023,2446,984.3000000000001,.0032,.0013,.11,.12
KS,p12p13,2023,2480,1135.8,.0033,.0015,.12,.13
KS,p13p14,2023,2545.2,1287.2,.0034,.0017,.13,.14
KS,p14p15,2023,2621.7,1438.7,.0035,.0019,.14,.15
KS,p15p16,2023,2708.4,1590.1,.0036,.0021,.15,.16
KS,p16p17,2023,2799.4,1741.5,.0037,.0023,.16,.17
KS,p17p18,2023,2900.3,1893,.0038,.0025,.17,.18
KS,p18p19,2023,2993.2,2044.4,.004,.0027,.18,.19
KS,p19p20,2023,3069.5,2195.8,.0041,.0029,.19,.2
KS,p1p2,2023,2345.7,0,.0031,0,.01,.02
KS,p20p21,2023,3151.5,2271.6,.0042,.003,.2,.21
KS,p21p22,2023,3214.1,2410.3,.0043,.0032,.21,.22
KS,p22p23,2023,3288.7,2562,.0044,.0034,.22,.23
KS,p23p24,2023,3337.8,2684.7,.0044,.0036,.23,.24
KS,p24p25,2023,3390.9,2811.3,.0045,.0037,.24,.25
KS,p25p26,2023,3451.5,2946,.0046,.0039,.25,.26
KS,p26p27,2023,3522.6,3090.7,.0047,.0041,.26,.27
KS,p27p28,2023,3584.2,3224.4,.0048,.0043,.27,.28
KS,p28p29,2023,3626.4,3336,.0048,.0044,.28,.29
KS,p29p30,2023,3662.8,3440.5,.0049,.0046,.29,.3
KS,p2p3,2023,2351.7,0,.0031,0,.02,.03
KS,p30p31,2023,3692.4,3537,.0049,.0047,.3,.31
KS,p31p32,2023,3771.3,3627.5,.005,.0048,.31,.32
KS,p32p33,2023,3856.6,3725,.0051,.0049,.32,.33
KS,p33p34,2023,3959.2,3841.6,.0052,.0051,.33,.34
KS,p34p35,2023,4066.5,3963.2,.0054,.0053,.34,.35
KS,p35p36,2023,4158.400000000001,4067.7,.0055,.0054,.35,.36
KS,p36p37,2023,4246.7,4169.2,.0056,.0055,.36,.37
KS,p37p38,2023,4329.6,4264.7,.0057,.0057,.37,.38
KS,p38p39,2023,4430.8,4380.3,.0059,.0058,.38,.39
KS,p39p40,2023,4519.3,4481.8,.006,.0059,.39,.4
KS,p3p4,2023,2363.5,0,.0031,0,.03,.04
KS,p40p41,2023,4597.1,4571.3,.0061,.0061,.4,.41
KS,p41p42,2023,4670.400000000001,4659.7,.0062,.0062,.41,.42
KS,p42p43,2023,4751.7,4757.2,.0063,.0063,.42,.43
KS,p43p44,2023,4830.3,4851.7,.0064,.0064,.43,.44
KS,p44p45,2023,4918.1,4956.200000000001,.0065,.0066,.44,.45
KS,p45p46,2023,5020.3,5076.8,.0067,.0067,.45,.46
KS,p46p47,2023,5123.200000000001,5197.5,.0068,.0069,.46,.47
KS,p47p48,2023,5261.5,5357.3,.007,.0071,.47,.48
KS,p48p49,2023,5394.400000000001,5511,.0072,.0073,.48,.49
KS,p49p50,2023,5524.700000000001,5661.8,.0073,.0075,.49,.5
KS,p4p5,2023,2369.9,0,.0031,0,.04,.05
KS,p50p51,2023,5628.900000000001,5783.400000000001,.0075,.0077,.5,.51
KS,p51p52,2023,5728.900000000001,5902,.0076,.0078,.51,.52
KS,p52p53,2023,5830.8,6022.700000000001,.0077,.008,.52,.53
KS,p53p54,2023,5944.5,6156.3,.0079,.0082,.53,.54
KS,p54p55,2023,6053.900000000001,6285,.008,.0083,.54,.55
KS,p55p56,2023,6175.1,6426.700000000001,.0082,.0085,.55,.5600000000000001
KS,p56p57,2023,6305.5,6579.5,.0084,.0087,.5600000000000001,.57
KS,p57p58,2023,6450.400000000001,6748.3,.0086,.0089,.57,.58
KS,p58p59,2023,6567.6,6886,.0087,.0091,.58,.59
KS,p59p60,2023,6687.6,7026.8,.0089,.0093,.59,.6
KS,p5p6,2023,2372.9,75.7,.0031,.0001,.05,.06
KS,p60p61,2023,6800.5,7159.400000000001,.009,.0095,.6,.61
KS,p61p62,2023,6915.900000000001,7296.1,.0092,.0097,.61,.62
KS,p62p63,2023,7026.8,7427.8,.0093,.0098,.62,.63
KS,p63p64,2023,7137,7558.5,.0095,.01,.63,.64
KS,p64p65,2023,7244.400000000001,7686.1,.0096,.0102,.64,.65
KS,p65p66,2023,7356.400000000001,7818.8,.0098,.0104,.65,.66
KS,p66p67,2023,7495.400000000001,7981.6,.0099,.0106,.66,.67
KS,p67p68,2023,7646.1,8157.5,.0101,.0108,.67,.68
KS,p68p69,2023,7804.700000000001,8342.5,.0103,.0111,.68,.6899999999999999
KS,p69p70,2023,7969.700000000001,8534.4,.0106,.0113,.6899999999999999,.7
KS,p6p7,2023,2377.6,227.2,.0032,.0003,.06,.07
KS,p70p71,2023,8123.900000000001,8714.4,.0108,.0116,.7,.71
KS,p71p72,2023,8302.800000000001,8913.4,.011,.0118,.71,.72
KS,p72p73,2023,8488.1,9119.4,.0113,.0121,.72,.73
KS,p73p74,2023,8687.9,9341.5,.0115,.0124,.73,.74
KS,p74p75,2023,8890.4,9566.700000000001,.0118,.0127,.74,.75
KS,p75p76,2023,9109.200000000001,9809.9,.0121,.013,.75,.76
KS,p76p77,2023,9332.9,10058.2,.0124,.0133,.76,.77
KS,p77p78,2023,9535.300000000001,10282.3,.0126,.0136,.77,.78
KS,p78p79,2023,9783.5,10557.7,.013,.014,.78,.79
KS,p79p80,2023,10055,10859.3,.0133,.0144,.79,.8
KS,p7p8,2023,2402.8,378.6,.0032,.0005,.07,.08
KS,p80p81,2023,10296.2,11126.6,.0137,.0148,.8,.8100000000000001
KS,p81p82,2023,10559.2,11413.1,.014,.0151,.8100000000000001,.82
KS,p82p83,2023,10856.8,11737.7,.0144,.0156,.82,.83
KS,p83p84,2023,11154.9,12062.4,.0148,.016,.83,.84
KS,p84p85,2023,11499.4,12438.3,.0152,.0165,.84,.85
KS,p85p86,2023,11857,12828.3,.0157,.017,.85,.86
KS,p86p87,2023,12241.4,13246.4,.0162,.0176,.86,.87
KS,p87p88,2023,12521.2,13546.9,.0166,.018,.87,.88
KS,p88p89,2023,12949.2,14012.3,.0172,.0186,.88,.89
KS,p89p90,2023,13367,14465.6,.0177,.0192,.89,.9
KS,p8p9,2023,2420.7,530,.0032,.0007,.08,.09
KS,p90p91,2023,13855,14996.3,.0184,.0199,.9,.91
KS,p91p92,2023,13912.1,15012.4,.0184,.0199,.91,.92
KS,p92p93,2023,14594.9,15721,.0194,.0208,.92,.93
KS,p93p94,2023,15121.3,16251.7,.0201,.0216,.93,.9399999999999999
KS,p94p95,2023,16460.9,17673.9,.0218,.0234,.9399999999999999,.95
KS,p95p96,2023,17888.1,19182.6,.0237,.0254,.95,.96
KS,p96p97,2023,20811.1,22237.2,.0276,.0295,.96,.97
KS,p97p98,2023,24080.1,25621.4,.0319,.034,.97,.98
KS,p98p99,2023,30380.9,32215,.0403,.0427,.98,.99
KS,p99.1p99.2,2023,38879.2,41073,.0052,.0054,.991,.992
KS,p99.2p99.3,2023,41133.9,43510.4,.0055,.0058,.992,.993
KS,p99.3p99.4,2023,43887.10000000001,46499.7,.0058,.0062,.993,.9940000000000001
KS,p99.4p99.5,2023,47391.5,50284.9,.0063,.0067,.9940000000000001,.995
KS,p99.5p99.6,2023,52018.8,55295.4,.0069,.0073,.995,.996
KS,p99.6p99.7,2023,58568.4,62374.4,.0078,.0083,.996,.997
KS,p99.7p99.8,2023,68923.10000000001,73502.10000000001,.0091,.0097,.997,.998
KS,p99.8p99.9,2023,89149.90000000001,95136.20000000001,.0118,.0126,.998,.9990000000000001
KS,p99.9p100,2023,208187,222018.7,.0276,.0294,.9990000000000001,1
KS,p99p99.1,2023,37008.5,39036.7,.0049,.0052,.99,.991
KS,p9p10,2023,2432.4,681.5,.0032,.0009,.09,.1
