country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KW,p0p1,2023,1352.8,0,.0008,0,0,.01
KW,p10p11,2023,4491.6,2144.5,.0028,.0013,.1,.11
KW,p11p12,2023,4639.6,2534.4,.0029,.0016,.11,.12
KW,p12p13,2023,4854.6,2924.3,.003,.0018,.12,.13
KW,p13p14,2023,5095.1,3314.2,.0032,.0021,.13,.14
KW,p14p15,2023,5330,3704.1,.0033,.0023,.14,.15
KW,p15p16,2023,5507.200000000001,4094,.0035,.0026,.15,.16
KW,p16p17,2023,5615.1,4483.900000000001,.0035,.0028,.16,.17
KW,p17p18,2023,5662,4873.8,.0036,.0031,.17,.18
KW,p18p19,2023,5688.700000000001,5263.8,.0036,.0033,.18,.19
KW,p19p20,2023,5712.400000000001,5653.700000000001,.0036,.0035,.19,.2
KW,p1p2,2023,2205.3,0,.0014,0,.01,.02
KW,p20p21,2023,5784.700000000001,5848.6,.0036,.0037,.2,.21
KW,p21p22,2023,5892.6,5960.400000000001,.0037,.0037,.21,.22
KW,p22p23,2023,5991,6062.5,.0038,.0038,.22,.23
KW,p23p24,2023,6104.1,6179.5,.0038,.0039,.23,.24
KW,p24p25,2023,6195.700000000001,6274.3,.0039,.0039,.24,.25
KW,p25p26,2023,6272.700000000001,6354,.0039,.004,.25,.26
KW,p26p27,2023,6344.400000000001,6426.6,.004,.004,.26,.27
KW,p27p28,2023,6424.6,6508,.004,.0041,.27,.28
KW,p28p29,2023,6496.900000000001,6581.400000000001,.0041,.0041,.28,.29
KW,p29p30,2023,6581.1,6666.900000000001,.0041,.0042,.29,.3
KW,p2p3,2023,2962.4,0,.0019,0,.02,.03
KW,p30p31,2023,6644,6730.5,.0042,.0042,.3,.31
KW,p31p32,2023,6691.1,6776.900000000001,.0042,.0043,.31,.32
KW,p32p33,2023,6737.5,6822.6,.0042,.0043,.32,.33
KW,p33p34,2023,6779.1,6863.3,.0043,.0043,.33,.34
KW,p34p35,2023,6831,6914.8,.0043,.0043,.34,.35
KW,p35p36,2023,6867.400000000001,6950.3,.0043,.0044,.35,.36
KW,p36p37,2023,6910.3,6995.1,.0043,.0044,.36,.37
KW,p37p38,2023,6962.400000000001,7049.3,.0044,.0044,.37,.38
KW,p38p39,2023,7028.5,7118.200000000001,.0044,.0045,.38,.39
KW,p39p40,2023,7214.200000000001,7310.6,.0045,.0046,.39,.4
KW,p3p4,2023,3491.4,0,.0022,0,.03,.04
KW,p40p41,2023,7409.200000000001,7512.6,.0047,.0047,.4,.41
KW,p41p42,2023,7587.900000000001,7698.1,.0048,.0048,.41,.42
KW,p42p43,2023,7770.6,7887.5,.0049,.005,.42,.43
KW,p43p44,2023,7962.900000000001,8087,.005,.0051,.43,.44
KW,p44p45,2023,8153,8284.1,.0051,.0052,.44,.45
KW,p45p46,2023,8344.4,8482.6,.0052,.0053,.45,.46
KW,p46p47,2023,8529.700000000001,8673,.0054,.0054,.46,.47
KW,p47p48,2023,8704,8852.200000000001,.0055,.0056,.47,.48
KW,p48p49,2023,8879.5,9032.300000000001,.0056,.0057,.48,.49
KW,p49p50,2023,9054.6,9212.300000000001,.0057,.0058,.49,.5
KW,p4p5,2023,3842.4,0,.0024,0,.04,.05
KW,p50p51,2023,9251.9,9414.9,.0058,.0059,.5,.51
KW,p51p52,2023,9471.1,9640.6,.0059,.0061,.51,.52
KW,p52p53,2023,9697.9,9873.800000000001,.0061,.0062,.52,.53
KW,p53p54,2023,9920.700000000001,10103,.0062,.0063,.53,.54
KW,p54p55,2023,10140.8,10329.5,.0064,.0065,.54,.55
KW,p55p56,2023,10354.8,10549.6,.0065,.0066,.55,.5600000000000001
KW,p56p57,2023,10553.7,10755.7,.0066,.0068,.5600000000000001,.57
KW,p57p58,2023,10735.6,10944.1,.0067,.0069,.57,.58
KW,p58p59,2023,10913.7,11128.5,.0068,.007,.58,.59
KW,p59p60,2023,11090.1,11311.3,.007,.0071,.59,.6
KW,p5p6,2023,4117.6,195,.0026,.0001,.05,.06
KW,p60p61,2023,11288.6,11516.9,.0071,.0072,.6,.61
KW,p61p62,2023,11525.6,11762.6,.0072,.0074,.61,.62
KW,p62p63,2023,11753,11998.3,.0074,.0075,.62,.63
KW,p63p64,2023,11942.7,12195,.0075,.0077,.63,.64
KW,p64p65,2023,12093.8,12351.8,.0076,.0078,.64,.65
KW,p65p66,2023,12247.7,12511.6,.0077,.0079,.65,.66
KW,p66p67,2023,12404.8,12673.8,.0078,.008,.66,.67
KW,p67p68,2023,12551.2,12825.3,.0079,.008,.67,.68
KW,p68p69,2023,12703,12982.1,.008,.0081,.68,.6899999999999999
KW,p69p70,2023,12879.2,13164.5,.0081,.0083,.6899999999999999,.7
KW,p6p7,2023,4287.7,584.9,.0027,.0004,.06,.07
KW,p70p71,2023,13114.1,13407.1,.0082,.0084,.7,.71
KW,p71p72,2023,13443.1,13747.5,.0084,.0086,.71,.72
KW,p72p73,2023,13850.6,14169,.0087,.0089,.72,.73
KW,p73p74,2023,14317.5,14652,.009,.0092,.73,.74
KW,p74p75,2023,14824.8,15176.8,.0093,.0095,.74,.75
KW,p75p76,2023,15361,15731.5,.0096,.0099,.75,.76
KW,p76p77,2023,15905,16294.9,.01,.0102,.76,.77
KW,p77p78,2023,16431.8,16840.5,.0103,.0106,.77,.78
KW,p78p79,2023,16915.7,17341.7,.0106,.0109,.78,.79
KW,p79p80,2023,17343.5,17785.1,.0109,.0112,.79,.8
KW,p7p8,2023,4359.3,974.8000000000001,.0027,.0006,.07,.08
KW,p80p81,2023,17830.4,18289.5,.0112,.0115,.8,.8100000000000001
KW,p81p82,2023,18395.2,18875.6,.0115,.0118,.8100000000000001,.82
KW,p82p83,2023,19061.5,19566.9,.012,.0123,.82,.83
KW,p83p84,2023,19845.5,20379.9,.0125,.0128,.83,.84
KW,p84p85,2023,20774.1,21342.9,.013,.0134,.84,.85
KW,p85p86,2023,21861.7,22470.5,.0137,.0141,.85,.86
KW,p86p87,2023,23079.4,23733.7,.0145,.0149,.86,.87
KW,p87p88,2023,24489.8,25196.4,.0154,.0158,.87,.88
KW,p88p89,2023,26477.6,27257.3,.0166,.0171,.88,.89
KW,p89p90,2023,28875.3,29742.9,.0181,.0187,.89,.9
KW,p8p9,2023,4390.7,1364.7,.0028,.0009,.08,.09
KW,p90p91,2023,31225.6,32180,.0196,.0202,.9,.91
KW,p91p92,2023,33312.3,34356.8,.0209,.0216,.91,.92
KW,p92p93,2023,35626.5,36771.4,.0224,.0231,.92,.93
KW,p93p94,2023,38338.3,39600.4,.0241,.0249,.93,.9399999999999999
KW,p94p95,2023,41727.5,43134.7,.0262,.0271,.9399999999999999,.95
KW,p95p96,2023,46315.10000000001,47916,.0291,.0301,.95,.96
KW,p96p97,2023,52555.3,54471.9,.033,.0342,.96,.97
KW,p97p98,2023,62722.7,65134.60000000001,.0394,.0409,.97,.98
KW,p98p99,2023,83894.3,87299,.0527,.0548,.98,.99
KW,p99.1p99.2,2023,133959.4,139690.3,.0084,.0088,.991,.992
KW,p99.2p99.3,2023,142700.4,148815.3,.009,.0093,.992,.993
KW,p99.3p99.4,2023,154013.4,160625,.0097,.0101,.993,.9940000000000001
KW,p99.4p99.5,2023,168467.3,175713.6,.0106,.011,.9940000000000001,.995
KW,p99.5p99.6,2023,187174.4,195242.2,.0117,.0123,.995,.996
KW,p99.6p99.7,2023,211477.8,220612.6,.0133,.0138,.996,.997
KW,p99.7p99.8,2023,253697.7,264686.6,.0159,.0166,.997,.998
KW,p99.8p99.9,2023,344338.6,359307.7,.0216,.0226,.998,.9990000000000001
KW,p99.9p100,2023,984223,1027290.3,.0618,.0645,.9990000000000001,1
KW,p99p99.1,2023,126976.6,132401,.008,.0083,.99,.991
KW,p9p10,2023,4425,1754.6,.0028,.0011,.09,.1
