country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KY,p0p1,2023,0,0,0,0,0,.01
KY,p10p11,2023,23071.9,11104.3,.0013,.0006,.1,.11
KY,p11p12,2023,26523,13475.7,.0015,.0007,.11,.12
KY,p12p13,2023,31011,15905,.0017,.0009,.12,.13
KY,p13p14,2023,38549.5,18386.8,.0021,.001,.13,.14
KY,p14p15,2023,41038.8,20914.6,.0023,.0012,.14,.15
KY,p15p16,2023,48399.5,23486.4,.0027,.0013,.15,.16
KY,p16p17,2023,50474.2,26096.7,.0028,.0015,.16,.17
KY,p17p18,2023,53083.5,28742.4,.003,.0016,.17,.18
KY,p18p19,2023,54991.10000000001,31424.4,.0031,.0017,.18,.19
KY,p19p20,2023,55054.3,34135.4,.0031,.0019,.19,.2
KY,p1p2,2023,0,0,0,0,.01,.02
KY,p20p21,2023,55253.60000000001,35502.2,.0031,.002,.2,.21
KY,p21p22,2023,55955.10000000001,38344.9,.0031,.0021,.21,.22
KY,p22p23,2023,56068.7,41190.9,.0031,.0023,.22,.23
KY,p23p24,2023,58764.7,44041.10000000001,.0033,.0025,.23,.24
KY,p24p25,2023,59017.5,46893.5,.0033,.0026,.24,.25
KY,p25p26,2023,59725.5,49745.9,.0033,.0028,.25,.26
KY,p26p27,2023,60504.2,52599.3,.0034,.0029,.26,.27
KY,p27p28,2023,63011.7,55452.8,.0035,.0031,.27,.28
KY,p28p29,2023,65800.90000000001,58303,.0037,.0032,.28,.29
KY,p29p30,2023,68602.90000000001,61152.2,.0038,.0034,.29,.3
KY,p2p3,2023,0,0,0,0,.02,.03
KY,p30p31,2023,71408.2,63996,.004,.0036,.3,.31
KY,p31p32,2023,74219.8,66837.7,.0041,.0037,.31,.32
KY,p32p33,2023,77021.90000000001,69671.90000000001,.0043,.0039,.32,.33
KY,p33p34,2023,79817.5,72500.7,.0044,.004,.33,.34
KY,p34p35,2023,82612,75322,.0046,.0042,.34,.35
KY,p35p36,2023,85410.90000000001,78136.90000000001,.0048,.0043,.35,.36
KY,p36p37,2023,88178.60000000001,80941.10000000001,.0049,.0045,.36,.37
KY,p37p38,2023,90916.40000000001,83737.8,.0051,.0047,.37,.38
KY,p38p39,2023,93656.3,86522.70000000001,.0052,.0048,.38,.39
KY,p39p40,2023,96377,89295.8,.0054,.005,.39,.4
KY,p3p4,2023,0,0,0,0,.03,.04
KY,p40p41,2023,99076.20000000001,92059.3,.0055,.0051,.4,.41
KY,p41p42,2023,101707.9,94808.8,.0057,.0053,.41,.42
KY,p42p43,2023,104328.9,97544.5,.0058,.0054,.42,.43
KY,p43p44,2023,106927.5,100267.3,.006,.0056,.43,.44
KY,p44p45,2023,109496,102975,.0061,.0057,.44,.45
KY,p45p46,2023,112039.9,105665.7,.0062,.0059,.45,.46
KY,p46p47,2023,114585.9,108340.3,.0064,.006,.46,.47
KY,p47p48,2023,117093.4,110997.7,.0065,.0062,.47,.48
KY,p48p49,2023,119572,113636.9,.0067,.0063,.48,.49
KY,p49p50,2023,122046.3,116255.8,.0068,.0065,.49,.5
KY,p4p5,2023,0,0,0,0,.04,.05
KY,p50p51,2023,124476.6,118852.2,.0069,.0066,.5,.51
KY,p51p52,2023,126870.6,121428.2,.0071,.0068,.51,.52
KY,p52p53,2023,129245.3,123979.6,.0072,.0069,.52,.53
KY,p53p54,2023,131566.4,126505.3,.0073,.007,.53,.54
KY,p54p55,2023,133858.6,129004.2,.0074,.0072,.54,.55
KY,p55p56,2023,136120.8,131475.3,.0076,.0073,.55,.5600000000000001
KY,p56p57,2023,138323,133917.5,.0077,.0075,.5600000000000001,.57
KY,p57p58,2023,140504.8,136329.6,.0078,.0076,.57,.58
KY,p58p59,2023,142643.9,138708.6,.0079,.0077,.58,.59
KY,p59p60,2023,144747.5,141057.5,.0081,.0078,.59,.6
KY,p5p6,2023,11225.3,713.4000000000001,.0006,0,.05,.06
KY,p60p61,2023,146812.6,143373.3,.0082,.008,.6,.61
KY,p61p62,2023,148812.4,145655.8,.0083,.0081,.61,.62
KY,p62p63,2023,150779,147906.2,.0084,.0082,.62,.63
KY,p63p64,2023,152714.5,150122.4,.0085,.0084,.63,.64
KY,p64p65,2023,154613.6,152308.5,.0086,.0085,.64,.65
KY,p65p66,2023,156475.2,154462.6,.0087,.0086,.65,.66
KY,p66p67,2023,158293.9,156588.7,.0088,.0087,.66,.67
KY,p67p68,2023,160099.9,158688.1,.0089,.0088,.67,.68
KY,p68p69,2023,161872.5,160766.1,.009,.0089,.68,.6899999999999999
KY,p69p70,2023,163623.8,162825.8,.0091,.0091,.6899999999999999,.7
KY,p6p7,2023,14766.4,2472.1,.0008,.0001,.06,.07
KY,p70p71,2023,165336.5,164873.8,.0092,.0092,.7,.71
KY,p71p72,2023,167071.8,166918.6,.0093,.0093,.71,.72
KY,p72p73,2023,168794.1,168970.8,.0094,.0094,.72,.73
KY,p73p74,2023,170551.8,171042.4,.0095,.0095,.73,.74
KY,p74p75,2023,172335.2,173148.2,.0096,.0096,.74,.75
KY,p75p76,2023,174154,175310.8,.0097,.0098,.75,.76
KY,p76p77,2023,176055.2,177554.8,.0098,.0099,.76,.77
KY,p77p78,2023,178049.6,179911.2,.0099,.01,.77,.78
KY,p78p79,2023,180182.2,182423,.01,.0102,.78,.79
KY,p79p80,2023,182507.6,185141.5,.0102,.0103,.79,.8
KY,p7p8,2023,20115.6,4459.1,.0011,.0002,.07,.08
KY,p80p81,2023,185080.4,188129.9,.0103,.0105,.8,.8100000000000001
KY,p81p82,2023,187993.9,191473.9,.0105,.0107,.8100000000000001,.82
KY,p82p83,2023,191333.6,195285,.0106,.0109,.82,.83
KY,p83p84,2023,195238.9,199698,.0109,.0111,.83,.84
KY,p84p85,2023,199892.9,204899.3,.0111,.0114,.84,.85
KY,p85p86,2023,205534.5,211130,.0114,.0117,.85,.86
KY,p86p87,2023,212437.8,218703.9,.0118,.0122,.86,.87
KY,p87p88,2023,221034.1,228048.3,.0123,.0127,.87,.88
KY,p88p89,2023,231828.8,239726.7,.0129,.0133,.88,.89
KY,p89p90,2023,245669.2,254504.9,.0137,.0142,.89,.9
KY,p8p9,2023,20716.5,6579.900000000001,.0012,.0004,.08,.09
KY,p90p91,2023,263705.8,273405.3,.0147,.0152,.9,.91
KY,p91p92,2023,287206.6,297838.5,.016,.0166,.91,.92
KY,p92p93,2023,318177.4,329861.7,.0177,.0184,.92,.93
KY,p93p94,2023,359608.8,372622.8,.02,.0207,.93,.9399999999999999
KY,p94p95,2023,415799,431184,.0231,.024,.9399999999999999,.95
KY,p95p96,2023,494156.1,514228.2,.0275,.0286,.95,.96
KY,p96p97,2023,609127.1,638101.8,.0339,.0355,.96,.97
KY,p97p98,2023,794201.1000000001,838422.6000000001,.0442,.0467,.97,.98
KY,p98p99,2023,1149571.4,1218756.2,.064,.0678,.98,.99
KY,p99.1p99.2,2023,1579715.4,1699458.2,.0088,.0095,.991,.992
KY,p99.2p99.3,2023,1695165.8,1827296,.0094,.0102,.992,.993
KY,p99.3p99.4,2023,1839003.4,1984407.4,.0102,.011,.993,.9940000000000001
KY,p99.4p99.5,2023,2026914.8,2185683.6,.0113,.0122,.9940000000000001,.995
KY,p99.5p99.6,2023,2284464.8,2458641.7,.0127,.0137,.995,.996
KY,p99.6p99.7,2023,2667895.3,2860372.1,.0148,.0159,.996,.997
KY,p99.7p99.8,2023,3302451.7,3531508.5,.0184,.0197,.997,.998
KY,p99.8p99.9,2023,4566432.600000001,4933331.4,.0254,.0275,.998,.9990000000000001
KY,p99.9p100,2023,13614401.2,14983676.1,.0758,.0834,.9990000000000001,1
KY,p99p99.1,2023,1484983.2,1592121.5,.0083,.0089,.99,.991
KY,p9p10,2023,20908.2,8802.4,.0012,.0005,.09,.1
