country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
KZ,p0p1,2023,1127738.7,0,.0015,0,0,.01
KZ,p10p11,2023,2315313.7,957770.7000000001,.003,.0012,.1,.11
KZ,p11p12,2023,2378946.8,1131910.8,.0031,.0015,.11,.12
KZ,p12p13,2023,2438691.5,1306050.8,.0032,.0017,.12,.13
KZ,p13p14,2023,2498070.3,1480191.1,.0033,.0019,.13,.14
KZ,p14p15,2023,2559187.4,1654331.2,.0033,.0022,.14,.15
KZ,p15p16,2023,2620030,1828471.4,.0034,.0024,.15,.16
KZ,p16p17,2023,2677807.6,2002611.4,.0035,.0026,.16,.17
KZ,p17p18,2023,2732200,2176751.7,.0036,.0028,.17,.18
KZ,p18p19,2023,2787553.1,2350891.7,.0036,.0031,.18,.19
KZ,p19p20,2023,2845605.2,2525031.9,.0037,.0033,.19,.2
KZ,p1p2,2023,1272388.6,0,.0017,0,.01,.02
KZ,p20p21,2023,2903199.9,2612102,.0038,.0034,.2,.21
KZ,p21p22,2023,2952468.7,2670124.1,.0038,.0035,.21,.22
KZ,p22p23,2023,3001920.5,2728152.6,.0039,.0036,.22,.23
KZ,p23p24,2023,3050777.5,2785230.5,.004,.0036,.23,.24
KZ,p24p25,2023,3100320.8,2842772.6,.004,.0037,.24,.25
KZ,p25p26,2023,3148766.2,2898818.8,.0041,.0038,.25,.26
KZ,p26p27,2023,3201466,2959146.1,.0042,.0039,.26,.27
KZ,p27p28,2023,3252061.4,3016919.4,.0042,.0039,.27,.28
KZ,p28p29,2023,3310571,3083055,.0043,.004,.28,.29
KZ,p29p30,2023,3363316.5,3142600.3,.0044,.0041,.29,.3
KZ,p2p3,2023,1431723.1,0,.0019,0,.02,.03
KZ,p30p31,2023,3418578.1,3204604.5,.0045,.0042,.3,.31
KZ,p31p32,2023,3477224.9,3266253.7,.0045,.0043,.31,.32
KZ,p32p33,2023,3539577.2,3331872.6,.0046,.0043,.32,.33
KZ,p33p34,2023,3602844.4,3398352.7,.0047,.0044,.33,.34
KZ,p34p35,2023,3669222.3,3468136.2,.0048,.0045,.34,.35
KZ,p35p36,2023,3732855.4,3534810.5,.0049,.0046,.35,.36
KZ,p36p37,2023,3791273.5,3600240.9,.0049,.0047,.36,.37
KZ,p37p38,2023,3854860.9,3671170.6,.005,.0048,.37,.38
KZ,p38p39,2023,3921787.8,3745692.9,.0051,.0049,.38,.39
KZ,p39p40,2023,3992740.4,3824480.9,.0052,.005,.39,.4
KZ,p3p4,2023,1559401.2,0,.002,0,.03,.04
KZ,p40p41,2023,4059575.8,3898692.5,.0053,.0051,.4,.41
KZ,p41p42,2023,4130894.3,3979849.4,.0054,.0052,.41,.42
KZ,p42p43,2023,4200520.3,4059090.3,.0055,.0053,.42,.43
KZ,p43p44,2023,4271610.100000001,4139936.2,.0056,.0054,.43,.44
KZ,p44p45,2023,4345764.9,4224075.5,.0057,.0055,.44,.45
KZ,p45p46,2023,4426690.2,4315393.4,.0058,.0056,.45,.46
KZ,p46p47,2023,4514248.600000001,4402021.3,.0059,.0057,.46,.47
KZ,p47p48,2023,4607205.2,4494315.9,.006,.0059,.47,.48
KZ,p48p49,2023,4701534.2,4588072.7,.0061,.006,.48,.49
KZ,p49p50,2023,4795314.100000001,4681050,.0062,.0061,.49,.5
KZ,p4p5,2023,1674224.5,0,.0022,0,.04,.05
KZ,p50p51,2023,4893851.8,4779143.3,.0064,.0062,.5,.51
KZ,p51p52,2023,5001721.600000001,4888192.9,.0065,.0064,.51,.52
KZ,p52p53,2023,5095044.2,4981376.4,.0066,.0065,.52,.53
KZ,p53p54,2023,5204560.9,5092015.4,.0068,.0066,.53,.54
KZ,p54p55,2023,5309320,5197484.600000001,.0069,.0068,.54,.55
KZ,p55p56,2023,5425241.2,5314927.600000001,.0071,.0069,.55,.5600000000000001
KZ,p56p57,2023,5529680.100000001,5432932.800000001,.0072,.0071,.5600000000000001,.57
KZ,p57p58,2023,5631282.7,5547872.300000001,.0073,.0072,.57,.58
KZ,p58p59,2023,5743086.800000001,5673649,.0075,.0074,.58,.59
KZ,p59p60,2023,5872274.4,5818320.300000001,.0077,.0076,.59,.6
KZ,p5p6,2023,1790054.2,87070,.0023,.0001,.05,.06
KZ,p60p61,2023,5994417.2,5955246.300000001,.0078,.0078,.6,.61
KZ,p61p62,2023,6118435.5,6095435.5,.008,.0079,.61,.62
KZ,p62p63,2023,6259425.7,6253890.800000001,.0082,.0081,.62,.63
KZ,p63p64,2023,6396207.2,6407827.300000001,.0083,.0083,.63,.64
KZ,p64p65,2023,6535779.300000001,6564701.5,.0085,.0086,.64,.65
KZ,p65p66,2023,6684500.7,6731321.800000001,.0087,.0088,.65,.66
KZ,p66p67,2023,6837888.100000001,6896508.2,.0089,.009,.66,.67
KZ,p67p68,2023,7010306.100000001,7081985.300000001,.0091,.0092,.67,.68
KZ,p68p69,2023,7170098.100000001,7253569.800000001,.0093,.0095,.68,.6899999999999999
KZ,p69p70,2023,7354410,7451256.9,.0096,.0097,.6899999999999999,.7
KZ,p6p7,2023,1898198.6,261210.2,.0025,.0003,.06,.07
KZ,p70p71,2023,7534925.100000001,7644551.600000001,.0098,.01,.7,.71
KZ,p71p72,2023,7729575.800000001,7853535.100000001,.0101,.0102,.71,.72
KZ,p72p73,2023,7928801.100000001,8067175.5,.0103,.0105,.72,.73
KZ,p73p74,2023,8119243.100000001,8271027.600000001,.0106,.0108,.73,.74
KZ,p74p75,2023,8336263.7,8503279.700000001,.0109,.0111,.74,.75
KZ,p75p76,2023,8566733.800000001,8749818.1,.0112,.0114,.75,.76
KZ,p76p77,2023,8794687.800000001,8997352.9,.0115,.0117,.76,.77
KZ,p77p78,2023,9040665.800000001,9264209.200000001,.0118,.0121,.77,.78
KZ,p78p79,2023,9288428,9532838.1,.0121,.0124,.78,.79
KZ,p79p80,2023,9562677.300000001,9829962,.0125,.0128,.79,.8
KZ,p7p8,2023,2003460.9,435350.3,.0026,.0006,.07,.08
KZ,p80p81,2023,9858518.800000001,10150219.2,.0128,.0132,.8,.8100000000000001
KZ,p81p82,2023,10139218.4,10455947.7,.0132,.0136,.8100000000000001,.82
KZ,p82p83,2023,10446313.5,10790070.4,.0136,.0141,.82,.83
KZ,p83p84,2023,10779003.8,11151758.1,.014,.0145,.83,.84
KZ,p84p85,2023,11121895.5,11524419.9,.0145,.015,.84,.85
KZ,p85p86,2023,11521466.9,11957827.1,.015,.0156,.85,.86
KZ,p86p87,2023,11959053.5,12431631.2,.0156,.0162,.86,.87
KZ,p87p88,2023,12456567.8,12969042,.0162,.0169,.87,.88
KZ,p88p89,2023,13005889.8,13560942.4,.0169,.0177,.88,.89
KZ,p89p90,2023,13408091.6,13992779.2,.0175,.0182,.89,.9
KZ,p8p9,2023,2106756.1,609490.5,.0027,.0008,.08,.09
KZ,p90p91,2023,13640849,14240507.1,.0178,.0186,.9,.91
KZ,p91p92,2023,14237587.1,14904102,.0186,.0194,.91,.92
KZ,p92p93,2023,15301807,16072249,.0199,.0209,.92,.93
KZ,p93p94,2023,16623990.5,17520224.9,.0217,.0228,.93,.9399999999999999
KZ,p94p95,2023,18407091.3,19468452.7,.024,.0254,.9399999999999999,.95
KZ,p95p96,2023,20639146.6,21905766,.0269,.0285,.95,.96
KZ,p96p97,2023,23624941.5,25311187.6,.0308,.033,.96,.97
KZ,p97p98,2023,28469879,30804093.2,.0371,.0401,.97,.98
KZ,p98p99,2023,38216376.5,41791319.5,.0498,.0545,.98,.99
KZ,p99.1p99.2,2023,50355567.6,55562188.3,.0066,.0072,.991,.992
KZ,p99.2p99.3,2023,54067997.3,59671245.7,.007,.0078,.992,.993
KZ,p99.3p99.4,2023,58615983.90000001,64724654.1,.0076,.0084,.993,.9940000000000001
KZ,p99.4p99.5,2023,64564037.1,71311318.8,.0084,.0093,.9940000000000001,.995
KZ,p99.5p99.6,2023,72573649.10000001,80215249.8,.0095,.0105,.995,.996
KZ,p99.6p99.7,2023,83375503.2,92223999,.0109,.012,.996,.997
KZ,p99.7p99.8,2023,101071387.6,111810328.6,.0132,.0146,.997,.998
KZ,p99.8p99.9,2023,138668072.8,153330411,.0181,.02,.998,.9990000000000001
KZ,p99.9p100,2023,363475642.4,401102605,.0474,.0523,.9990000000000001,1
KZ,p99p99.1,2023,47234924,52092042.8,.0062,.0068,.99,.991
KZ,p9p10,2023,2212109.9,783630.6000000001,.0029,.001,.09,.1
