country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LA,p0p1,2023,2956272.1,0,.0005,0,0,.01
LA,p10p11,2023,9603267.4,5033769.7,.0017,.0009,.1,.11
LA,p11p12,2023,10010892.6,5949000.5,.0018,.0011,.11,.12
LA,p12p13,2023,10451827,6864231.2,.0019,.0012,.12,.13
LA,p13p14,2023,10888144.2,7779461.9,.002,.0014,.13,.14
LA,p14p15,2023,11263779.4,8694693.300000001,.002,.0016,.14,.15
LA,p15p16,2023,11686905,9609924.1,.0021,.0017,.15,.16
LA,p16p17,2023,12080019.2,10525154.8,.0022,.0019,.16,.17
LA,p17p18,2023,12444441.5,11440386.2,.0022,.0021,.17,.18
LA,p18p19,2023,12842502.6,12355616.9,.0023,.0022,.18,.19
LA,p19p20,2023,13223744.3,13270847.7,.0024,.0024,.19,.2
LA,p1p2,2023,3824949.2,0,.0007,0,.01,.02
LA,p20p21,2023,13672264,13728462.4,.0025,.0025,.2,.21
LA,p21p22,2023,14084836.1,14143638.1,.0025,.0026,.21,.22
LA,p22p23,2023,14462779.9,14521626.9,.0026,.0026,.22,.23
LA,p23p24,2023,14840393.8,14898044.1,.0027,.0027,.23,.24
LA,p24p25,2023,15216358.8,15270800,.0028,.0028,.24,.25
LA,p25p26,2023,15587706.7,15638310.1,.0028,.0028,.25,.26
LA,p26p27,2023,15977852.9,16042323.1,.0029,.0029,.26,.27
LA,p27p28,2023,16391414.4,16469467.9,.003,.003,.27,.28
LA,p28p29,2023,16830370,16921297.1,.003,.0031,.28,.29
LA,p29p30,2023,17301315.6,17405066,.0031,.0031,.29,.3
LA,p2p3,2023,4691647.4,0,.0008,0,.02,.03
LA,p30p31,2023,17727409.3,17839950.7,.0032,.0032,.3,.31
LA,p31p32,2023,18162737.2,18300304.3,.0033,.0033,.31,.32
LA,p32p33,2023,18593118.2,18755549.9,.0034,.0034,.32,.33
LA,p33p34,2023,19023828.9,19210107.6,.0034,.0035,.33,.34
LA,p34p35,2023,19519838.9,19732208.6,.0035,.0036,.34,.35
LA,p35p36,2023,20002657.1,20239927.5,.0036,.0037,.35,.36
LA,p36p37,2023,20477230.5,20728931.9,.0037,.0037,.36,.37
LA,p37p38,2023,21041837.6,21311219,.0038,.0039,.37,.38
LA,p38p39,2023,21565220.4,21849689.9,.0039,.0039,.38,.39
LA,p39p40,2023,22083656.4,22382577.5,.004,.004,.39,.4
LA,p3p4,2023,5409608.7,0,.001,0,.03,.04
LA,p40p41,2023,22632763.1,22946038.1,.0041,.0041,.4,.41
LA,p41p42,2023,23134049.8,23473543.3,.0042,.0042,.41,.42
LA,p42p43,2023,23594112.2,23958317.1,.0043,.0043,.42,.43
LA,p43p44,2023,24161027.9,24553576.9,.0044,.0044,.43,.44
LA,p44p45,2023,24696942.9,25116748.9,.0045,.0045,.44,.45
LA,p45p46,2023,25270454.4,25718792.7,.0046,.0046,.45,.46
LA,p46p47,2023,25861115.2,26349358.5,.0047,.0048,.46,.47
LA,p47p48,2023,26478159.5,27006751,.0048,.0049,.47,.48
LA,p48p49,2023,27031883.4,27599145.8,.0049,.005,.48,.49
LA,p49p50,2023,27640682.9,28248061.6,.005,.0051,.49,.5
LA,p4p5,2023,6070185.800000001,0,.0011,0,.04,.05
LA,p50p51,2023,28279493.6,28928869.4,.0051,.0052,.5,.51
LA,p51p52,2023,28951283.7,29651653.9,.0052,.0054,.51,.52
