country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LB,p0p1,2023,24634249.2,0,.0003,0,0,.01
LB,p10p11,2023,69802652.10000001,41948667.90000001,.001,.0006,.1,.11
LB,p11p12,2023,75818090,49575694.6,.0011,.0007,.11,.12
LB,p12p13,2023,81328382.5,57202725.5,.0012,.0008,.12,.13
LB,p13p14,2023,86472444.80000001,64829756.40000001,.0012,.0009,.13,.14
LB,p14p15,2023,91793308,72456791.40000001,.0013,.001,.14,.15
LB,p15p16,2023,97320438.7,80083818.2,.0014,.0011,.15,.16
LB,p16p17,2023,103668430.5,87710845,.0015,.0012,.16,.17
LB,p17p18,2023,110487891.1,95337880,.0016,.0013,.17,.18
LB,p18p19,2023,118170308.2,102964906.8,.0017,.0015,.18,.19
LB,p19p20,2023,126711472.2,110591941.8,.0018,.0016,.19,.2
LB,p1p2,2023,26608525.2,0,.0004,0,.01,.02
LB,p20p21,2023,136372374.8,114405459.3,.0019,.0016,.2,.21
LB,p21p22,2023,146235335.5,124398545.5,.0021,.0018,.21,.22
LB,p22p23,2023,155475283.7,133757931,.0022,.0019,.22,.23
LB,p23p24,2023,164226924.8,142630185.1,.0023,.002,.23,.24
LB,p24p25,2023,171526273.5,150045164.4,.0024,.0021,.24,.25
LB,p25p26,2023,177710093,156335192.5,.0025,.0022,.25,.26
LB,p26p27,2023,182538439.5,161176019.4,.0026,.0023,.26,.27
LB,p27p28,2023,186819545.4,165461005.8,.0026,.0023,.27,.28
LB,p28p29,2023,190911221.8,169561314.9,.0027,.0024,.28,.29
LB,p29p30,2023,196695134.7,175346411.5,.0028,.0025,.29,.3
LB,p2p3,2023,29075317.7,0,.0004,0,.02,.03
LB,p30p31,2023,205358375.5,184011230.6,.0029,.0026,.3,.31
LB,p31p32,2023,217296641.1,195918154.4,.0031,.0028,.31,.32
LB,p32p33,2023,230965029.2,209563093.6,.0033,.003,.32,.33
LB,p33p34,2023,244789170.4,223359773.6,.0035,.0032,.33,.34
LB,p34p35,2023,257986089.7,236538144,.0037,.0033,.34,.35
LB,p35p36,2023,268930903,247454526.2,.0038,.0035,.35,.36
LB,p36p37,2023,277766735.1,256344934,.0039,.0036,.36,.37
LB,p37p38,2023,284615662.5,263243816.6,.004,.0037,.37,.38
LB,p38p39,2023,289843915.7,268524064,.0041,.0038,.38,.39
LB,p39p40,2023,294912206.2,273641849.4,.0042,.0039,.39,.4
LB,p3p4,2023,31319004.5,0,.0004,0,.03,.04
LB,p40p41,2023,302266278.9,281045334.6,.0043,.004,.4,.41
LB,p41p42,2023,312335507.2,291232068,.0044,.0041,.41,.42
LB,p42p43,2023,323751789.5,302771840.8,.0046,.0043,.42,.43
LB,p43p44,2023,335589026.1,314742795.8,.0048,.0045,.43,.44
LB,p44p45,2023,346575934.9,325867599.6,.0049,.0046,.44,.45
LB,p45p46,2023,356110551.2,335550634.9,.005,.0048,.45,.46
LB,p46p47,2023,363616167.5,343148235.9,.0051,.0049,.46,.47
LB,p47p48,2023,368966497.4,348591997.8,.0052,.0049,.47,.48
LB,p48p49,2023,373037126.1,352758097.5,.0053,.005,.48,.49
LB,p49p50,2023,376977258.9,356797417.5,.0053,.0051,.49,.5
LB,p4p5,2023,34379342.7,0,.0005,0,.04,.05
LB,p50p51,2023,383245269.3,363183492.3,.0054,.0051,.5,.51
LB,p51p52,2023,392796723.8,372897474.2,.0056,.0053,.51,.52
LB,p52p53,2023,404806551.7,385100217.2,.0057,.0055,.52,.53
LB,p53p54,2023,418394958.4,398896667,.0059,.0056,.53,.54
LB,p54p55,2023,433010493.9,413735406.3,.0061,.0059,.54,.55
LB,p55p56,2023,447958583.2,428925807,.0063,.0061,.55,.5600000000000001
LB,p56p57,2023,462409946.4,443678217.8,.0065,.0063,.5600000000000001,.57
LB,p57p58,2023,475800504.7,457371205,.0067,.0065,.57,.58
LB,p58p59,2023,488075533.8,469950307.4,.0069,.0067,.58,.59
LB,p59p60,2023,499007718.6,481181796.9,.0071,.0068,.59,.6
LB,p5p6,2023,37818539.8,3813514.4,.0005,.0001,.05,.06
LB,p60p61,2023,509001175.1,491480181.9,.0072,.007,.6,.61
LB,p61p62,2023,518653658.6,501474723.3,.0073,.0071,.61,.62
LB,p62p63,2023,528184065.3,511363368.4,.0075,.0072,.62,.63
LB,p63p64,2023,538131216.9,521676815.7,.0076,.0074,.63,.64
LB,p64p65,2023,548949744,532888079.6,.0078,.0075,.64,.65
LB,p65p66,2023,561271078.1,545628789.1,.0079,.0077,.65,.66
LB,p66p67,2023,575082590.7,559889538.4,.0081,.0079,.66,.67
LB,p67p68,2023,590590549.3000001,575880410.1,.0084,.0082,.67,.68
LB,p68p69,2023,607845468.6,593674347.6,.0086,.0084,.68,.6899999999999999
LB,p69p70,2023,626287479.2,612699116.2,.0089,.0087,.6899999999999999,.7
LB,p6p7,2023,40104322,11440544.3,.0006,.0002,.06,.07
LB,p70p71,2023,644855776,631889503.9,.0091,.0089,.7,.71
LB,p71p72,2023,663163081.2,650855207.4000001,.0094,.0092,.71,.72
LB,p72p73,2023,680746344.8000001,669127980.4000001,.0096,.0095,.72,.73
LB,p73p74,2023,697340365.7,686446371.1,.0099,.0097,.73,.74
LB,p74p75,2023,712831486.2,702690407.3000001,.0101,.0099,.74,.75
LB,p75p76,2023,727514374.3000001,718160282.2,.0103,.0102,.75,.76
LB,p76p77,2023,741738422.2,733163226.7,.0105,.0104,.76,.77
LB,p77p78,2023,755979308.2,748247139,.0107,.0106,.77,.78
LB,p78p79,2023,771323094.7,764503672.4000001,.0109,.0108,.78,.79
LB,p79p80,2023,789979792,784213807.2,.0112,.0111,.79,.8
LB,p7p8,2023,42343799.2,19067575.2,.0006,.0003,.07,.08
LB,p80p81,2023,816369420.8000001,811898527.5,.0116,.0115,.8,.8100000000000001
LB,p81p82,2023,851679072.6,848863844.1,.0121,.012,.8100000000000001,.82
LB,p82p83,2023,895113143.6,894268506,.0127,.0127,.82,.83
LB,p83p84,2023,945236179.4000001,946685149.2,.0134,.0134,.83,.84
LB,p84p85,2023,1000524325.1,1004562228,.0142,.0142,.84,.85
LB,p85p86,2023,1058801246.9,1065700058.6,.015,.0151,.85,.86
LB,p86p87,2023,1116909786.9,1126786782.7,.0158,.016,.86,.87
LB,p87p88,2023,1174542648.4,1187560619.4,.0166,.0168,.87,.88
LB,p88p89,2023,1232752217.4,1249111379.9,.0175,.0177,.88,.89
LB,p89p90,2023,1300437469.1,1320617579.1,.0184,.0187,.89,.9
LB,p8p9,2023,50240903,26694606.1,.0007,.0004,.08,.09
LB,p90p91,2023,1391304677.5,1416291688.2,.0197,.0201,.9,.91
LB,p91p92,2023,1492483162.9,1523808032.3,.0211,.0216,.91,.92
LB,p92p93,2023,1610485089.4,1649107592.8,.0228,.0234,.92,.93
LB,p93p94,2023,1754678796.2,1801971375.4,.0248,.0255,.93,.9399999999999999
LB,p94p95,2023,1941033187,1999094692.5,.0275,.0283,.9399999999999999,.95
LB,p95p96,2023,2199170820.3,2271519375.4,.0311,.0322,.95,.96
LB,p96p97,2023,2568038393.4,2665920973.5,.0364,.0377,.96,.97
LB,p97p98,2023,3179916604.7,3317974256.4,.045,.047,.97,.98
LB,p98p99,2023,4423526287.5,4639770376.2,.0626,.0657,.98,.99
LB,p99.1p99.2,2023,6320461348.1,6681173611.400001,.0089,.0095,.991,.992
LB,p99.2p99.3,2023,6773418764.400001,7179782852.400001,.0096,.0102,.992,.993
LB,p99.3p99.4,2023,7343022634,7807523785.5,.0104,.0111,.993,.9940000000000001
LB,p99.4p99.5,2023,8079587527.1,8605565745.700001,.0114,.0122,.9940000000000001,.995
LB,p99.5p99.6,2023,9043720347.800001,9650033064.4,.0128,.0137,.995,.996
LB,p99.6p99.7,2023,10362081001.2,11067350171.1,.0147,.0157,.996,.997
LB,p99.7p99.8,2023,12600805745.6,13427630664.4,.0178,.019,.997,.998
LB,p99.8p99.9,2023,17296514808.6,18320369871.4,.0245,.0259,.998,.9990000000000001
LB,p99.9p100,2023,50195566196.10001,52685375854.60001,.0711,.0746,.9990000000000001,1
LB,p99p99.1,2023,5956188491.8,6272914985.5,.0084,.0089,.99,.991
LB,p9p10,2023,61008915.5,34321637,.0009,.0005,.09,.1
