country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LC,p0p1,2023,0,0,0,0,0,.01
LC,p10p11,2023,4964,2389,.0013,.0006,.1,.11
LC,p11p12,2023,5706.3,2899.2,.0015,.0007,.11,.12
LC,p12p13,2023,6671.6,3421.9,.0017,.0009,.12,.13
LC,p13p14,2023,8293.300000000001,3955.8,.0021,.001,.13,.14
LC,p14p15,2023,8829.700000000001,4499.7,.0023,.0012,.14,.15
LC,p15p16,2023,10412.4,5053,.0027,.0013,.15,.16
LC,p16p17,2023,10859.3,5614.3,.0028,.0015,.16,.17
LC,p17p18,2023,11420.6,6184,.003,.0016,.17,.18
LC,p18p19,2023,11831,6760.6,.0031,.0017,.18,.19
LC,p19p20,2023,11845.1,7344.3,.0031,.0019,.19,.2
LC,p1p2,2023,0,0,0,0,.01,.02
LC,p20p21,2023,11888,7638.1,.0031,.002,.2,.21
LC,p21p22,2023,12038.4,8249.700000000001,.0031,.0021,.21,.22
LC,p22p23,2023,12062.9,8862,.0031,.0023,.22,.23
LC,p23p24,2023,12642.9,9475.200000000001,.0033,.0025,.23,.24
LC,p24p25,2023,12697.3,10088.9,.0033,.0026,.24,.25
LC,p25p26,2023,12849.1,10702.6,.0033,.0028,.25,.26
LC,p26p27,2023,13017.1,11316.5,.0034,.0029,.26,.27
LC,p27p28,2023,13556.8,11930.4,.0035,.0031,.27,.28
LC,p28p29,2023,14156.7,12543.6,.0037,.0032,.28,.29
LC,p29p30,2023,14759.3,13156.6,.0038,.0034,.29,.3
LC,p2p3,2023,0,0,0,0,.02,.03
LC,p30p31,2023,15363.3,13768.4,.004,.0036,.3,.31
LC,p31p32,2023,15967.5,14379.8,.0041,.0037,.31,.32
LC,p32p33,2023,16571.1,14989.5,.0043,.0039,.32,.33
LC,p33p34,2023,17172.1,15598.1,.0044,.004,.33,.34
LC,p34p35,2023,17773.5,16205.1,.0046,.0042,.34,.35
LC,p35p36,2023,18375.9,16810.7,.0048,.0043,.35,.36
LC,p36p37,2023,18971.4,17414,.0049,.0045,.36,.37
LC,p37p38,2023,19559.9,18015.7,.0051,.0047,.37,.38
LC,p38p39,2023,20149.9,18614.7,.0052,.0048,.38,.39
LC,p39p40,2023,20735,19211.7,.0054,.005,.39,.4
LC,p3p4,2023,0,0,0,0,.03,.04
LC,p40p41,2023,21315.7,19806.1,.0055,.0051,.4,.41
LC,p41p42,2023,21881.9,20397.6,.0057,.0053,.41,.42
LC,p42p43,2023,22445.8,20986.2,.0058,.0054,.42,.43
LC,p43p44,2023,23004.9,21572,.006,.0056,.43,.44
LC,p44p45,2023,23557.5,22154.5,.0061,.0057,.44,.45
LC,p45p46,2023,24104.8,22733.4,.0062,.0059,.45,.46
LC,p46p47,2023,24652.5,23308.8,.0064,.006,.46,.47
LC,p47p48,2023,25192,23880.5,.0065,.0062,.47,.48
LC,p48p49,2023,25725.3,24448.4,.0067,.0063,.48,.49
LC,p49p50,2023,26257.6,25011.6,.0068,.0065,.49,.5
LC,p4p5,2023,0,0,0,0,.04,.05
LC,p50p51,2023,26780.5,25570.6,.0069,.0066,.5,.51
LC,p51p52,2023,27295.5,26124.6,.0071,.0068,.51,.52
LC,p52p53,2023,27806.4,26673.5,.0072,.0069,.52,.53
LC,p53p54,2023,28305.6,27216.9,.0073,.007,.53,.54
LC,p54p55,2023,28798.9,27754.6,.0074,.0072,.54,.55
LC,p55p56,2023,29285.6,28286.2,.0076,.0073,.55,.5600000000000001
LC,p56p57,2023,29759.7,28811.6,.0077,.0075,.5600000000000001,.57
LC,p57p58,2023,30228.6,29330.3,.0078,.0076,.57,.58
LC,p58p59,2023,30689.3,29842.6,.0079,.0077,.58,.59
LC,p59p60,2023,31141.6,30347.8,.0081,.0078,.59,.6
LC,p5p6,2023,2415.5,153.7,.0006,0,.05,.06
LC,p60p61,2023,31585.9,30846,.0082,.008,.6,.61
LC,p61p62,2023,32016.2,31337.1,.0083,.0081,.61,.62
LC,p62p63,2023,32439,31821.2,.0084,.0082,.62,.63
LC,p63p64,2023,32855.7,32298,.0085,.0084,.63,.64
LC,p64p65,2023,33264.3,32768.3,.0086,.0085,.64,.65
LC,p65p66,2023,33665,33231.8,.0087,.0086,.65,.66
LC,p66p67,2023,34056.1,33689.2,.0088,.0087,.66,.67
LC,p67p68,2023,34444.1,34140.9,.0089,.0088,.67,.68
LC,p68p69,2023,34826.5,34587.9,.009,.0089,.68,.6899999999999999
LC,p69p70,2023,35202.8,35030.9,.0091,.0091,.6899999999999999,.7
LC,p6p7,2023,3176.7,531.9,.0008,.0001,.06,.07
LC,p70p71,2023,35571.3,35471.9,.0092,.0092,.7,.71
LC,p71p72,2023,35944.3,35911.6,.0093,.0093,.71,.72
LC,p72p73,2023,36315.6,36353.2,.0094,.0094,.72,.73
LC,p73p74,2023,36693.1,36798.6,.0095,.0095,.73,.74
LC,p74p75,2023,37077,37252.1,.0096,.0096,.74,.75
LC,p75p76,2023,37468.3,37716.9,.0097,.0098,.75,.76
LC,p76p77,2023,37877.3,38199.9,.0098,.0099,.76,.77
LC,p77p78,2023,38306.4,38707.1,.0099,.01,.77,.78
LC,p78p79,2023,38765.2,39247.3,.01,.0102,.78,.79
LC,p79p80,2023,39265.5,39831.9,.0102,.0103,.79,.8
LC,p7p8,2023,4327.8,959.1,.0011,.0002,.07,.08
LC,p80p81,2023,39819,40475.10000000001,.0103,.0105,.8,.8100000000000001
LC,p81p82,2023,40445.9,41194.8,.0105,.0107,.8100000000000001,.82
LC,p82p83,2023,41164.60000000001,42014.3,.0106,.0109,.82,.83
LC,p83p84,2023,42004.4,42964.2,.0109,.0111,.83,.84
LC,p84p85,2023,43005.60000000001,44083,.0111,.0114,.84,.85
LC,p85p86,2023,44219.9,45423.2,.0114,.0117,.85,.86
LC,p86p87,2023,45704.8,47052.9,.0118,.0122,.86,.87
LC,p87p88,2023,47554.3,49063.3,.0123,.0127,.87,.88
LC,p88p89,2023,49876.60000000001,51576,.0129,.0133,.88,.89
LC,p89p90,2023,52854.4,54755.3,.0137,.0142,.89,.9
LC,p8p9,2023,4456.8,1415.9,.0012,.0004,.08,.09
LC,p90p91,2023,56734.9,58821.60000000001,.0147,.0152,.9,.91
LC,p91p92,2023,61790.9,64078.3,.016,.0166,.91,.92
LC,p92p93,2023,68454.10000000001,70967.90000000001,.0177,.0184,.92,.93
LC,p93p94,2023,77367.7,80167.8,.02,.0207,.93,.9399999999999999
LC,p94p95,2023,89457,92766.90000000001,.0231,.024,.9399999999999999,.95
LC,p95p96,2023,106315,110633.4,.0275,.0286,.95,.96
LC,p96p97,2023,131050.2,137284,.0339,.0355,.96,.97
LC,p97p98,2023,170868.1,180382.2,.0442,.0467,.97,.98
LC,p98p99,2023,247323.9,262208.7,.064,.0678,.98,.99
LC,p99.1p99.2,2023,339867.1,365629.1,.0088,.0095,.991,.992
LC,p99.2p99.3,2023,364705.6,393132.7,.0094,.0102,.992,.993
LC,p99.3p99.4,2023,395651.5,426934.4,.0102,.011,.993,.9940000000000001
LC,p99.4p99.5,2023,436079.6,470237.9,.0113,.0122,.9940000000000001,.995
LC,p99.5p99.6,2023,491490.1,528963.3,.0127,.0137,.995,.996
LC,p99.6p99.7,2023,573983.1,615393.4,.0148,.0159,.996,.997
LC,p99.7p99.8,2023,710504.2000000001,759784.8,.0184,.0197,.997,.998
LC,p99.8p99.9,2023,982443.3,1061379,.0254,.0275,.998,.9990000000000001
LC,p99.9p100,2023,2929064,3223655.7,.0758,.0834,.9990000000000001,1
LC,p99p99.1,2023,319486,342536.2,.0083,.0089,.99,.991
LC,p9p10,2023,4498.3,1893.8,.0012,.0005,.09,.1
