country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LI,p0p1,2023,0,0,0,0,0,.01
LI,p10p11,2023,71258,27575.6,.0031,.0012,.1,.11
LI,p11p12,2023,78434.8,32589.3,.0034,.0014,.11,.12
LI,p12p13,2023,87471.70000000001,37604.2,.0038,.0016,.12,.13
LI,p13p14,2023,98039.40000000001,42616.5,.0043,.0019,.13,.14
LI,p14p15,2023,100512.6,47630.10000000001,.0044,.0021,.14,.15
LI,p15p16,2023,102249.2,52645.10000000001,.0044,.0023,.15,.16
LI,p16p17,2023,106268.3,57657.4,.0046,.0025,.16,.17
LI,p17p18,2023,106775.8,62672.4,.0046,.0027,.17,.18
LI,p18p19,2023,108165.4,67686,.0047,.0029,.18,.19
LI,p19p20,2023,108778.5,72699.60000000001,.0047,.0032,.19,.2
LI,p1p2,2023,0,0,0,0,.01,.02
LI,p20p21,2023,110807.3,75205.8,.0048,.0033,.2,.21
LI,p21p22,2023,111235.3,78766.70000000001,.0048,.0034,.21,.22
LI,p22p23,2023,113273.7,82676.10000000001,.0049,.0036,.22,.23
LI,p23p24,2023,113707.1,86169.90000000001,.0049,.0037,.23,.24
LI,p24p25,2023,116229.7,90099.90000000001,.0051,.0039,.24,.25
LI,p25p26,2023,118761.9,93401.60000000001,.0052,.0041,.25,.26
LI,p26p27,2023,120848.3,97166.90000000001,.0053,.0042,.26,.27
LI,p27p28,2023,121543.7,100765,.0053,.0044,.27,.28
LI,p28p29,2023,123358.5,104107.8,.0054,.0045,.28,.29
LI,p29p30,2023,125798.8,107058.4,.0055,.0047,.29,.3
LI,p2p3,2023,0,0,0,0,.02,.03
LI,p30p31,2023,126147.2,109982.9,.0055,.0048,.3,.31
LI,p31p32,2023,127929.1,112453.4,.0056,.0049,.31,.32
LI,p32p33,2023,128001.8,115305.2,.0056,.005,.32,.33
LI,p33p34,2023,129417.4,118076,.0056,.0051,.33,.34
LI,p34p35,2023,131088.1,120595.9,.0057,.0052,.34,.35
LI,p35p36,2023,131844,123919.5,.0057,.0054,.35,.36
LI,p36p37,2023,134152.6,127244.6,.0058,.0055,.36,.37
LI,p37p38,2023,137057.9,130444.8,.006,.0057,.37,.38
LI,p38p39,2023,139576.3,133239,.0061,.0058,.38,.39
LI,p39p40,2023,142077,136026.3,.0062,.0059,.39,.4
LI,p3p4,2023,0,0,0,0,.03,.04
LI,p40p41,2023,144773.8,139002.9,.0063,.006,.4,.41
LI,p41p42,2023,147502.1,142078.3,.0064,.0062,.41,.42
LI,p42p43,2023,150019.2,144941.1,.0065,.0063,.42,.43
LI,p43p44,2023,152788.7,148046.7,.0066,.0064,.43,.44
LI,p44p45,2023,155451.2,151063.1,.0068,.0066,.44,.45
LI,p45p46,2023,157892.9,153872.4,.0069,.0067,.45,.46
LI,p46p47,2023,160699.4,157005.4,.007,.0068,.46,.47
LI,p47p48,2023,163828.3,160475.8,.0071,.007,.47,.48
LI,p48p49,2023,166950.3,163950.4,.0073,.0071,.48,.49
LI,p49p50,2023,169868,167201.3,.0074,.0073,.49,.5
LI,p4p5,2023,0,0,0,0,.04,.05
LI,p50p51,2023,172968,170658.1,.0075,.0074,.5,.51
LI,p51p52,2023,175755.4,173819.9,.0076,.0076,.51,.52
LI,p52p53,2023,178829.4,177261.5,.0078,.0077,.52,.53
LI,p53p54,2023,181987.1,180818.4,.0079,.0079,.53,.54
LI,p54p55,2023,185291.5,184523.4,.0081,.008,.54,.55
LI,p55p56,2023,188906,188541.1,.0082,.0082,.55,.5600000000000001
LI,p56p57,2023,192301,192379.2,.0084,.0084,.5600000000000001,.57
LI,p57p58,2023,195516.3,196028,.0085,.0085,.57,.58
LI,p58p59,2023,198849.6,199807,.0086,.0087,.58,.59
LI,p59p60,2023,202114.3,203527.1,.0088,.0088,.59,.6
LI,p5p6,2023,16145.1,2507.5,.0007,.0001,.05,.06
LI,p60p61,2023,206247.3,208129.2,.009,.009,.6,.61
LI,p61p62,2023,209536.6,211926.2,.0091,.0092,.61,.62
LI,p62p63,2023,213653.2,216566.7,.0093,.0094,.62,.63
LI,p63p64,2023,217241.6,220672.2,.0094,.0096,.63,.64
LI,p64p65,2023,221482.9,225451.3,.0096,.0098,.64,.65
LI,p65p66,2023,225128.9,229639.1,.0098,.01,.65,.66
LI,p66p67,2023,229787.3,234888.7,.01,.0102,.66,.67
LI,p67p68,2023,234038.3,239704.8,.0102,.0104,.67,.68
LI,p68p69,2023,238167.1,244419.4,.0103,.0106,.68,.6899999999999999
LI,p69p70,2023,242197.2,249048.9,.0105,.0108,.6899999999999999,.7
LI,p6p7,2023,38493.1,7521.1,.0017,.0003,.06,.07
LI,p70p71,2023,247408.4,254940.5,.0108,.0111,.7,.71
LI,p71p72,2023,251711.5,259862.2,.0109,.0113,.71,.72
LI,p72p73,2023,256380.8,265199.5,.0111,.0115,.72,.73
LI,p73p74,2023,261683.8,271181.6,.0114,.0118,.73,.74
LI,p74p75,2023,266137.8,276307.7,.0116,.012,.74,.75
LI,p75p76,2023,271888,282812.4,.0118,.0123,.75,.76
LI,p76p77,2023,276813.9,288476.2,.012,.0125,.76,.77
LI,p77p78,2023,282693.7,295168.8,.0123,.0128,.77,.78
LI,p78p79,2023,289055.1,302406,.0126,.0131,.78,.79
LI,p79p80,2023,295251.1,309490.9,.0128,.0134,.79,.8
LI,p7p8,2023,61111.4,12533.4,.0027,.0005,.07,.08
LI,p80p81,2023,301739.3,316933.8,.0131,.0138,.8,.8100000000000001
LI,p81p82,2023,308229.6,324398.7,.0134,.0141,.8100000000000001,.82
LI,p82p83,2023,314800.8,332007,.0137,.0144,.82,.83
LI,p83p84,2023,322803.4,341179.6,.014,.0148,.83,.84
LI,p84p85,2023,332557.7,352250.1,.0145,.0153,.84,.85
LI,p85p86,2023,342099.4,363120.2,.0149,.0158,.85,.86
LI,p86p87,2023,352975,375498.6,.0153,.0163,.86,.87
LI,p87p88,2023,362264.3,386214.5,.0157,.0168,.87,.88
LI,p88p89,2023,373908.8,399535.2,.0162,.0174,.88,.89
LI,p89p90,2023,388598.5,415989.6,.0169,.0181,.89,.9
LI,p8p9,2023,65081.10000000001,17548.4,.0028,.0008,.08,.09
LI,p90p91,2023,405669.5,434608,.0176,.0189,.9,.91
LI,p91p92,2023,422201.5,452422.4,.0183,.0197,.91,.92
LI,p92p93,2023,447960.3,479886.3,.0195,.0209,.92,.93
LI,p93p94,2023,476338.4,510027,.0207,.0222,.93,.9399999999999999
LI,p94p95,2023,509165.9,545601.8,.0221,.0237,.9399999999999999,.95
LI,p95p96,2023,559723.7000000001,601870.3,.0243,.0262,.95,.96
LI,p96p97,2023,624296.9,675788.7000000001,.0271,.0294,.96,.97
LI,p97p98,2023,743386.6000000001,810932.7000000001,.0323,.0352,.97,.98
LI,p98p99,2023,966513.7000000001,1058830.2,.042,.046,.98,.99
LI,p99.1p99.2,2023,1222333.7,1358809.1,.0053,.0059,.991,.992
LI,p99.2p99.3,2023,1268677.1,1413142.8,.0055,.0061,.992,.993
LI,p99.3p99.4,2023,1340726.6,1494943.5,.0058,.0065,.993,.9940000000000001
LI,p99.4p99.5,2023,1486344.6,1656187.1,.0065,.0072,.9940000000000001,.995
LI,p99.5p99.6,2023,1644606.5,1828985.7,.0071,.0079,.995,.996
LI,p99.6p99.7,2023,1875656.8,2077995.2,.0082,.009,.996,.997
LI,p99.7p99.8,2023,2221366.3,2454605.2,.0097,.0107,.997,.998
LI,p99.8p99.9,2023,2901904.3,3239542.9,.0126,.0141,.998,.9990000000000001
LI,p99.9p100,2023,8499133.200000001,9678303.5,.0369,.0421,.9990000000000001,1
LI,p99p99.1,2023,1157151.4,1281984.4,.005,.0056,.99,.991
LI,p9p10,2023,66131.90000000001,22562,.0029,.001,.09,.1
