country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LK,p0p1,2023,154185.7,0,.001,0,0,.01
LK,p10p11,2023,355917.8,164643.2,.0023,.001,.1,.11
LK,p11p12,2023,369273.5,194578.3,.0023,.0012,.11,.12
LK,p12p13,2023,381157.7,224513.5,.0024,.0014,.12,.13
LK,p13p14,2023,392695.2,254448.6,.0025,.0016,.13,.14
LK,p14p15,2023,404748.1,284383.7,.0026,.0018,.14,.15
LK,p15p16,2023,416997.9,314318.8,.0027,.002,.15,.16
LK,p16p17,2023,428413.5,344253.9,.0027,.0022,.16,.17
LK,p17p18,2023,438863.7,374189.1,.0028,.0024,.17,.18
LK,p18p19,2023,449210.9,404124.2,.0029,.0026,.18,.19
LK,p19p20,2023,459979.8,434059.4,.0029,.0028,.19,.2
LK,p1p2,2023,180156.7,0,.0011,0,.01,.02
LK,p20p21,2023,471939,449026.9,.003,.0029,.2,.21
LK,p21p22,2023,481180.2,459541,.0031,.0029,.21,.22
LK,p22p23,2023,491527.4,471165,.0031,.003,.22,.23
LK,p23p24,2023,502286.9,483201.6,.0032,.0031,.23,.24
LK,p24p25,2023,512821.5,494963.4,.0033,.0031,.24,.25
LK,p25p26,2023,522287.7,505598.6,.0033,.0032,.25,.26
LK,p26p27,2023,532672.3,516540.1,.0034,.0033,.26,.27
LK,p27p28,2023,543741.1,528160.5,.0035,.0034,.27,.28
LK,p28p29,2023,555625.4,540585.6,.0035,.0034,.28,.29
LK,p29p30,2023,568100.1,553624.2000000001,.0036,.0035,.29,.3
LK,p2p3,2023,211235.7,0,.0013,0,.02,.03
LK,p30p31,2023,578897.1,564874.4,.0037,.0036,.3,.31
LK,p31p32,2023,591409.3,577821.7000000001,.0038,.0037,.31,.32
LK,p32p33,2023,603865.2000000001,590686.7000000001,.0038,.0038,.32,.33
LK,p33p34,2023,616621.1,603861.2000000001,.0039,.0038,.33,.34
LK,p34p35,2023,626659,614211.8,.004,.0039,.34,.35
LK,p35p36,2023,639630.4,627588.5,.0041,.004,.35,.36
LK,p36p37,2023,650783.6000000001,639113,.0041,.0041,.36,.37
LK,p37p38,2023,664158,652934.4,.0042,.0042,.37,.38
LK,p38p39,2023,676857.7000000001,666031.1000000001,.0043,.0042,.38,.39
LK,p39p40,2023,691197.5,680835.7000000001,.0044,.0043,.39,.4
LK,p3p4,2023,233298.4,0,.0015,0,.03,.04
LK,p40p41,2023,704206.4,694231.7000000001,.0045,.0044,.4,.41
LK,p41p42,2023,719642.8,710345,.0046,.0045,.41,.42
LK,p42p43,2023,735022.9,726417,.0047,.0046,.42,.43
LK,p43p44,2023,746551,738494.3,.0047,.0047,.43,.44
LK,p44p45,2023,762221.7000000001,754853.7000000001,.0048,.0048,.44,.45
LK,p45p46,2023,774696.4,767897.7000000001,.0049,.0049,.45,.46
LK,p46p47,2023,790039.1000000001,784144.5,.005,.005,.46,.47
LK,p47p48,2023,805437.9,800426.7000000001,.0051,.0051,.47,.48
LK,p48p49,2023,822345.8,818265.9,.0052,.0052,.48,.49
LK,p49p50,2023,838803.8,835638.5,.0053,.0053,.49,.5
LK,p4p5,2023,252802.4,0,.0016,0,.04,.05
LK,p50p51,2023,854755.6000000001,852491,.0054,.0054,.5,.51
LK,p51p52,2023,870379.5,869041.5,.0055,.0055,.51,.52
LK,p52p53,2023,887568.5,887215.2000000001,.0056,.0056,.52,.53
LK,p53p54,2023,905872.8,906553.6000000001,.0058,.0058,.53,.54
LK,p54p55,2023,920484.4,922052.4,.0059,.0059,.54,.55
LK,p55p56,2023,942659.6000000001,945403.4,.006,.006,.55,.5600000000000001
LK,p56p57,2023,961985.5,965768.9,.0061,.0061,.5600000000000001,.57
LK,p57p58,2023,982314.3,987174.1000000001,.0062,.0063,.57,.58
LK,p58p59,2023,1003692.8,1009669,.0064,.0064,.58,.59
LK,p59p60,2023,1025605.5,1032717.7,.0065,.0066,.59,.6
LK,p5p6,2023,272465.7,14967.6,.0017,.0001,.05,.06
LK,p60p61,2023,1049224.1,1057537.4,.0067,.0067,.6,.61
LK,p61p62,2023,1072055.3,1081604.2,.0068,.0069,.61,.62
LK,p62p63,2023,1097698.2,1108578.3,.007,.0071,.62,.63
LK,p63p64,2023,1119901.5,1132000.9,.0071,.0072,.63,.64
LK,p64p65,2023,1146341.1,1159817.3,.0073,.0074,.64,.65
LK,p65p66,2023,1172209,1187051.7,.0075,.0075,.65,.66
LK,p66p67,2023,1200869.9,1217121.5,.0076,.0077,.66,.67
LK,p67p68,2023,1232380,1250167.5,.0078,.008,.67,.68
LK,p68p69,2023,1261443.8,1280691.9,.008,.0081,.68,.6899999999999999
LK,p69p70,2023,1291276.3,1312052.2,.0082,.0083,.6899999999999999,.7
LK,p6p7,2023,289382.9,44902.7,.0018,.0003,.06,.07
LK,p70p71,2023,1322233.4,1344580.8,.0084,.0086,.7,.71
LK,p71p72,2023,1352009.6,1375666,.0086,.0087,.71,.72
LK,p72p73,2023,1386771.9,1411938.8,.0088,.009,.72,.73
LK,p73p74,2023,1423914.8,1450694.2,.0091,.0092,.73,.74
LK,p74p75,2023,1461929.3,1490359.9,.0093,.0095,.74,.75
LK,p75p76,2023,1500000.1,1530097.5,.0095,.0097,.75,.76
LK,p76p77,2023,1541791.8,1573606.9,.0098,.01,.76,.77
LK,p77p78,2023,1590659.6,1624460.9,.0101,.0103,.77,.78
LK,p78p79,2023,1638580.8,1674338.6,.0104,.0106,.78,.79
LK,p79p80,2023,1692116.1,1730064.3,.0108,.011,.79,.8
LK,p7p8,2023,306478.2,74837.8,.0019,.0005,.07,.08
