country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LR,p0p1,2023,69.7,0,.0004,0,0,.01
LR,p10p11,2023,349.2,187.1,.002,.0011,.1,.11
LR,p11p12,2023,368.9,221.2,.0021,.0013,.11,.12
LR,p12p13,2023,385.6,255.2,.0022,.0015,.12,.13
LR,p13p14,2023,400.8,289.2,.0023,.0017,.13,.14
LR,p14p15,2023,419,323.3,.0024,.0019,.14,.15
LR,p15p16,2023,438.5,357.3,.0025,.0021,.15,.16
LR,p16p17,2023,454.4,391.3,.0026,.0023,.16,.17
LR,p17p18,2023,471.3,425.3,.0027,.0025,.17,.18
LR,p18p19,2023,488.3,459.4,.0028,.0027,.18,.19
LR,p19p20,2023,505.5,493.4,.0029,.0029,.19,.2
LR,p1p2,2023,103.9,0,.0006,0,.01,.02
LR,p20p21,2023,523.5,510.4,.003,.003,.2,.21
LR,p21p22,2023,542.2,529.4,.0031,.0031,.21,.22
LR,p22p23,2023,559.1,546.7,.0032,.0032,.22,.23
LR,p23p24,2023,573.2,561,.0033,.0032,.23,.24
LR,p24p25,2023,591.3000000000001,579.4,.0034,.0034,.24,.25
LR,p25p26,2023,606.2,594.6,.0035,.0034,.25,.26
LR,p26p27,2023,619.8000000000001,608.3000000000001,.0036,.0035,.26,.27
LR,p27p28,2023,635.7,624.3000000000001,.0037,.0036,.27,.28
LR,p28p29,2023,653.3000000000001,642,.0038,.0037,.28,.29
LR,p29p30,2023,668.5,657.2,.0039,.0038,.29,.3
LR,p2p3,2023,144.1,0,.0008,0,.02,.03
LR,p30p31,2023,683.1,671.8000000000001,.004,.0039,.3,.31
LR,p31p32,2023,702.2,691.4000000000001,.0041,.004,.31,.32
LR,p32p33,2023,720.4000000000001,710.1,.0042,.0041,.32,.33
LR,p33p34,2023,740.3000000000001,730.4000000000001,.0043,.0042,.33,.34
LR,p34p35,2023,756.1,746.6,.0044,.0043,.34,.35
LR,p35p36,2023,771.1,761.9000000000001,.0045,.0044,.35,.36
LR,p36p37,2023,788.4000000000001,779.7,.0046,.0045,.36,.37
LR,p37p38,2023,807.6,799.4000000000001,.0047,.0046,.37,.38
LR,p38p39,2023,824.2,816.4000000000001,.0048,.0047,.38,.39
LR,p39p40,2023,843.3000000000001,836,.0049,.0048,.39,.4
LR,p3p4,2023,174.6,0,.001,0,.03,.04
LR,p40p41,2023,864.2,857.4000000000001,.005,.005,.4,.41
LR,p41p42,2023,881,875,.0051,.0051,.41,.42
LR,p42p43,2023,896.7,891.5,.0052,.0052,.42,.43
LR,p43p44,2023,915.5,911.1,.0053,.0053,.43,.44
LR,p44p45,2023,934.7,931.2,.0054,.0054,.44,.45
LR,p45p46,2023,957.1,954.7,.0055,.0055,.45,.46
LR,p46p47,2023,980.7,979.2,.0057,.0057,.46,.47
LR,p47p48,2023,1001.3,1000.8,.0058,.0058,.47,.48
LR,p48p49,2023,1014.4,1014.7,.0059,.0059,.48,.49
LR,p49p50,2023,1033,1034.2,.006,.006,.49,.5
LR,p4p5,2023,202.5,0,.0012,0,.04,.05
LR,p50p51,2023,1054.2,1056.5,.0061,.0061,.5,.51
LR,p51p52,2023,1076.5,1080.1,.0062,.0062,.51,.52
LR,p52p53,2023,1102.4,1107.5,.0064,.0064,.52,.53
LR,p53p54,2023,1130.1,1136.6,.0065,.0066,.53,.54
LR,p54p55,2023,1147.1,1154.9,.0066,.0067,.54,.55
LR,p55p56,2023,1168.4,1177.6,.0068,.0068,.55,.5600000000000001
LR,p56p57,2023,1185.5,1196,.0069,.0069,.5600000000000001,.57
LR,p57p58,2023,1206.2,1218.3,.007,.007,.57,.58
LR,p58p59,2023,1227,1240.5,.0071,.0072,.58,.59
LR,p59p60,2023,1256.8,1272,.0073,.0074,.59,.6
LR,p5p6,2023,227.1,17,.0013,.0001,.05,.06
LR,p60p61,2023,1289,1306.1,.0075,.0076,.6,.61
LR,p61p62,2023,1313.2,1332.1,.0076,.0077,.61,.62
LR,p62p63,2023,1340.9,1361.5,.0078,.0079,.62,.63
LR,p63p64,2023,1366.1,1388.5,.0079,.008,.63,.64
LR,p64p65,2023,1392,1416.1,.0081,.0082,.64,.65
LR,p65p66,2023,1420.5,1446.6,.0082,.0084,.65,.66
LR,p66p67,2023,1462.8,1491.2,.0085,.0086,.66,.67
LR,p67p68,2023,1495.5,1526,.0087,.0088,.67,.68
LR,p68p69,2023,1524.8,1557.3,.0088,.009,.68,.6899999999999999
LR,p69p70,2023,1561.8,1596.5,.009,.0092,.6899999999999999,.7
LR,p6p7,2023,253.5,51,.0015,.0003,.06,.07
LR,p70p71,2023,1602.5,1639.7,.0093,.0095,.7,.71
LR,p71p72,2023,1647.5,1686.3,.0095,.0098,.71,.72
LR,p72p73,2023,1702.4,1743.4,.0098,.0101,.72,.73
LR,p73p74,2023,1737.2,1779.5,.01,.0103,.73,.74
LR,p74p75,2023,1771.7,1815.4,.0102,.0105,.74,.75
LR,p75p76,2023,1827.4,1873.1,.0106,.0108,.75,.76
LR,p76p77,2023,1889.3,1937.3,.0109,.0112,.76,.77
LR,p77p78,2023,1940,1989.8,.0112,.0115,.77,.78
LR,p78p79,2023,1992.1,2043.7,.0115,.0118,.78,.79
LR,p79p80,2023,2058.7,2112.9,.0119,.0122,.79,.8
LR,p7p8,2023,277.9,85.10000000000001,.0016,.0005,.07,.08
LR,p80p81,2023,2133.8,2190.8,.0123,.0127,.8,.8100000000000001
LR,p81p82,2023,2219.9,2278.9,.0128,.0132,.8100000000000001,.82
LR,p82p83,2023,2310.9,2372.2,.0134,.0137,.82,.83
LR,p83p84,2023,2401,2464.3,.0139,.0143,.83,.84
LR,p84p85,2023,2502.7,2568.7,.0145,.0149,.84,.85
LR,p85p86,2023,2605.4,2674.2,.0151,.0155,.85,.86
LR,p86p87,2023,2742.8,2815.7,.0159,.0163,.86,.87
LR,p87p88,2023,2876.2,2953.4,.0166,.0171,.87,.88
LR,p88p89,2023,3036.6,3119.3,.0176,.018,.88,.89
LR,p89p90,2023,3246.2,3336.5,.0188,.0193,.89,.9
LR,p8p9,2023,303.1,119.1,.0018,.0007,.08,.09
LR,p90p91,2023,3450.5,3548.7,.02,.0205,.9,.91
LR,p91p92,2023,3746.5,3843.5,.0217,.0222,.91,.92
LR,p92p93,2023,4137.400000000001,4234.3,.0239,.0245,.92,.93
LR,p93p94,2023,4599.8,4696.5,.0266,.0272,.93,.9399999999999999
LR,p94p95,2023,5136,5232.1,.0297,.0303,.9399999999999999,.95
LR,p95p96,2023,5876.200000000001,5973.3,.034,.0346,.95,.96
LR,p96p97,2023,6936.900000000001,6985.3,.0401,.0404,.96,.97
LR,p97p98,2023,8309.9,8289.1,.0481,.0479,.97,.98
LR,p98p99,2023,10987.1,10858.3,.0636,.0628,.98,.99
LR,p99.1p99.2,2023,13444,13324.2,.0078,.0077,.991,.992
LR,p99.2p99.3,2023,14030.5,14025.4,.0081,.0081,.992,.993
LR,p99.3p99.4,2023,14744.6,14872.8,.0085,.0086,.993,.9940000000000001
LR,p99.4p99.5,2023,15644.8,15928,.009,.0092,.9940000000000001,.995
LR,p99.5p99.6,2023,16831.1,17297.2,.0097,.01,.995,.996
LR,p99.6p99.7,2023,18495.2,19184.6,.0107,.0111,.996,.997
LR,p99.7p99.8,2023,21074.2,22057.2,.0122,.0128,.997,.998
LR,p99.8p99.9,2023,25937,27379.2,.015,.0158,.998,.9990000000000001
LR,p99.9p100,2023,49680.3,54074.8,.0287,.0313,.9990000000000001,1
LR,p99p99.1,2023,12948.3,12730.9,.0075,.0074,.99,.991
LR,p9p10,2023,325.8,153.1,.0019,.0009,.09,.1
