country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LS,p0p1,2023,6779.200000000001,0,.0018,0,0,.01
LS,p10p11,2023,9538.700000000001,2759.2,.0025,.0007,.1,.11
LS,p11p12,2023,9756.200000000001,3260.8,.0025,.0008,.11,.12
LS,p12p13,2023,9938.1,3762.5,.0026,.001,.12,.13
LS,p13p14,2023,10069.3,4264.2,.0026,.0011,.13,.14
LS,p14p15,2023,10202.8,4765.900000000001,.0026,.0012,.14,.15
LS,p15p16,2023,10381.4,5267.5,.0027,.0014,.15,.16
LS,p16p17,2023,10655.3,5769.200000000001,.0028,.0015,.16,.17
LS,p17p18,2023,10875.3,6270.900000000001,.0028,.0016,.17,.18
LS,p18p19,2023,11121.8,6772.5,.0029,.0018,.18,.19
LS,p19p20,2023,11435.8,7274.200000000001,.003,.0019,.19,.2
LS,p1p2,2023,6965.400000000001,0,.0018,0,.01,.02
LS,p20p21,2023,11744.4,7525,.003,.0019,.2,.21
LS,p21p22,2023,12068.3,7918.3,.0031,.0021,.21,.22
LS,p22p23,2023,12319.4,8234.700000000001,.0032,.0021,.22,.23
LS,p23p24,2023,12547,8525.700000000001,.0032,.0022,.23,.24
LS,p24p25,2023,12796.1,8837.200000000001,.0033,.0023,.24,.25
LS,p25p26,2023,13038.9,9140.9,.0034,.0024,.25,.26
LS,p26p27,2023,13249.3,9462.4,.0034,.0025,.26,.27
LS,p27p28,2023,13438.3,9760.200000000001,.0035,.0025,.27,.28
LS,p28p29,2023,13616.4,10044.8,.0035,.0026,.28,.29
LS,p29p30,2023,13791.8,10325.2,.0036,.0027,.29,.3
LS,p2p3,2023,7203.900000000001,0,.0019,0,.02,.03
LS,p30p31,2023,14006.5,10644.4,.0036,.0028,.3,.31
LS,p31p32,2023,14339.6,11006.3,.0037,.0029,.31,.32
LS,p32p33,2023,14636.3,11330.6,.0038,.0029,.32,.33
LS,p33p34,2023,14957.6,11679.6,.0039,.003,.33,.34
LS,p34p35,2023,15270,12019.3,.004,.0031,.34,.35
LS,p35p36,2023,15674.8,12454.1,.0041,.0032,.35,.36
LS,p36p37,2023,16001.2,12860,.0041,.0033,.36,.37
LS,p37p38,2023,16398.9,13338.7,.0042,.0035,.37,.38
LS,p38p39,2023,16736.4,13754.7,.0043,.0036,.38,.39
LS,p39p40,2023,17046.4,14141.1,.0044,.0037,.39,.4
LS,p3p4,2023,7401.6,0,.0019,0,.03,.04
LS,p40p41,2023,17359.9,14530.1,.0045,.0038,.4,.41
LS,p41p42,2023,17753.7,15019.9,.0046,.0039,.41,.42
LS,p42p43,2023,18039.1,15397.4,.0047,.004,.42,.43
LS,p43p44,2023,18406.3,15860,.0048,.0041,.43,.44
LS,p44p45,2023,18788.3,16338.8,.0049,.0042,.44,.45
LS,p45p46,2023,19190.9,16839.4,.005,.0044,.45,.46
LS,p46p47,2023,19581.7,17281.3,.0051,.0045,.46,.47
LS,p47p48,2023,20132.8,17891.1,.0052,.0046,.47,.48
LS,p48p49,2023,20500.8,18311.3,.0053,.0047,.48,.49
LS,p49p50,2023,20884,18747.7,.0054,.0049,.49,.5
LS,p4p5,2023,7657.1,0,.002,0,.04,.05
LS,p50p51,2023,21426.5,19352.8,.0055,.005,.5,.51
LS,p51p52,2023,22048.9,20062.9,.0057,.0052,.51,.52
LS,p52p53,2023,22568.7,20668.4,.0058,.0054,.52,.53
