country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LT,p0p1,2023,1883.4,0,.0007,0,0,.01
LT,p10p11,2023,2436.8,4349.400000000001,.0009,.0016,.1,.11
LT,p11p12,2023,2488.4,5140.200000000001,.0009,.0018,.11,.12
LT,p12p13,2023,2564.3,5931,.0009,.0021,.12,.13
LT,p13p14,2023,2635.1,6721.8,.0009,.0024,.13,.14
LT,p14p15,2023,2689.3,7512.6,.001,.0027,.14,.15
LT,p15p16,2023,2810.4,8303.4,.001,.003,.15,.16
LT,p16p17,2023,2912.5,9094.200000000001,.001,.0032,.16,.17
LT,p17p18,2023,2966.5,9885,.0011,.0035,.17,.18
LT,p18p19,2023,3089.6,10675.8,.0011,.0038,.18,.19
LT,p19p20,2023,3213.8,11466.6,.0011,.0041,.19,.2
LT,p1p2,2023,1929.9,0,.0007,0,.01,.02
LT,p20p21,2023,3297.6,11861.9,.0012,.0042,.2,.21
LT,p21p22,2023,3371.3,11876.6,.0012,.0042,.21,.22
LT,p22p23,2023,3486.1,11891.2,.0012,.0042,.22,.23
LT,p23p24,2023,3606.8,11905.9,.0013,.0042,.23,.24
LT,p24p25,2023,3731.1,11920.5,.0013,.0043,.24,.25
LT,p25p26,2023,3859.2,11935.2,.0014,.0043,.25,.26
LT,p26p27,2023,3986.9,11949.8,.0014,.0043,.26,.27
LT,p27p28,2023,4046,11964.5,.0014,.0043,.27,.28
LT,p28p29,2023,4184,11979.1,.0015,.0043,.28,.29
LT,p29p30,2023,4327.2,11993.8,.0015,.0043,.29,.3
LT,p2p3,2023,1974.8,0,.0007,0,.02,.03
LT,p30p31,2023,4477.3,12008.4,.0016,.0043,.3,.31
LT,p31p32,2023,4629.8,12023,.0017,.0043,.31,.32
LT,p32p33,2023,4795.400000000001,12037.7,.0017,.0043,.32,.33
LT,p33p34,2023,5340.5,12052.3,.0019,.0043,.33,.34
LT,p34p35,2023,6634,12067,.0024,.0043,.34,.35
LT,p35p36,2023,7995.1,12081.6,.0029,.0043,.35,.36
LT,p36p37,2023,9459.200000000001,12096.3,.0034,.0043,.36,.37
LT,p37p38,2023,10535.2,12110.9,.0038,.0043,.37,.38
LT,p38p39,2023,11261.5,12125.6,.004,.0043,.38,.39
LT,p39p40,2023,11936.9,12140.2,.0043,.0043,.39,.4
LT,p3p4,2023,2028.8,0,.0007,0,.03,.04
LT,p40p41,2023,12545.9,12384.7,.0045,.0044,.4,.41
LT,p41p42,2023,13102.7,12739.2,.0047,.0045,.41,.42
LT,p42p43,2023,13717.9,13068.9,.0049,.0047,.42,.43
LT,p43p44,2023,14207.1,13385,.0051,.0048,.43,.44
LT,p44p45,2023,14734.8,13702.3,.0053,.0049,.44,.45
LT,p45p46,2023,15262.6,14039.2,.0054,.005,.45,.46
LT,p46p47,2023,15643.7,14417.2,.0056,.0051,.46,.47
LT,p47p48,2023,16154.2,14802.9,.0058,.0053,.47,.48
LT,p48p49,2023,16554.5,15203.9,.0059,.0054,.48,.49
LT,p49p50,2023,16980.3,15582.4,.0061,.0056,.49,.5
LT,p4p5,2023,2087.6,0,.0007,0,.04,.05
LT,p50p51,2023,17440.1,15898.1,.0062,.0057,.5,.51
LT,p51p52,2023,17982.5,16307.6,.0064,.0058,.51,.52
LT,p52p53,2023,18515.3,16718.1,.0066,.006,.52,.53
LT,p53p54,2023,19095.8,17127.2,.0068,.0061,.53,.54
LT,p54p55,2023,19587.8,17579.4,.007,.0063,.54,.55
LT,p55p56,2023,20198.9,18018.1,.0072,.0064,.55,.5600000000000001
LT,p56p57,2023,20841,18430.1,.0074,.0066,.5600000000000001,.57
LT,p57p58,2023,21426.3,18879.2,.0076,.0067,.57,.58
LT,p58p59,2023,22017.3,21281.3,.0079,.0076,.58,.59
LT,p59p60,2023,22712.7,24273.4,.0081,.0087,.59,.6
LT,p5p6,2023,2128.5,395.4,.0008,.0001,.05,.06
LT,p60p61,2023,23412.3,24624.1,.0084,.0088,.6,.61
LT,p61p62,2023,24133.5,25121.8,.0086,.009,.61,.62
LT,p62p63,2023,24959.2,25829.7,.0089,.0092,.62,.63
LT,p63p64,2023,25788.1,26606.7,.0092,.0095,.63,.64
LT,p64p65,2023,26618.7,27192.9,.0095,.0097,.64,.65
LT,p65p66,2023,27371.1,27982.5,.0098,.01,.65,.66
LT,p66p67,2023,28104.3,28892.5,.01,.0103,.66,.67
LT,p67p68,2023,28961.8,30036.2,.0103,.0107,.67,.68
LT,p68p69,2023,29835.8,30768.5,.0106,.011,.68,.6899999999999999
LT,p69p70,2023,30722.9,31778,.011,.0113,.6899999999999999,.7
LT,p6p7,2023,2188,1186.2,.0008,.0004,.06,.07
LT,p70p71,2023,31589.6,32326.3,.0113,.0115,.7,.71
LT,p71p72,2023,32441.4,32801.5,.0116,.0117,.71,.72
LT,p72p73,2023,33330,33816.2,.0119,.0121,.72,.73
LT,p73p74,2023,34163.1,35131,.0122,.0125,.73,.74
LT,p74p75,2023,35257.3,36418.3,.0126,.013,.74,.75
LT,p75p76,2023,36606.5,37415.2,.0131,.0133,.75,.76
LT,p76p77,2023,37949.8,38535.2,.0135,.0137,.76,.77
LT,p77p78,2023,39117.7,39386.8,.014,.0141,.77,.78
LT,p78p79,2023,40402.10000000001,40281.60000000001,.0144,.0144,.78,.79
LT,p79p80,2023,41641.60000000001,41655,.0149,.0149,.79,.8
LT,p7p8,2023,2253.2,1977,.0008,.0007,.07,.08
LT,p80p81,2023,42782.60000000001,43173.10000000001,.0153,.0154,.8,.8100000000000001
LT,p81p82,2023,44187.3,44108.7,.0158,.0157,.8100000000000001,.82
LT,p82p83,2023,45792.7,45693.8,.0163,.0163,.82,.83
LT,p83p84,2023,47574.3,47991.3,.017,.0171,.83,.84
LT,p84p85,2023,49370.4,49869.10000000001,.0176,.0178,.84,.85
LT,p85p86,2023,51180.4,51508.8,.0183,.0184,.85,.86
LT,p86p87,2023,53470.4,52321.9,.0191,.0187,.86,.87
LT,p87p88,2023,55585.7,54191.10000000001,.0198,.0193,.87,.88
LT,p88p89,2023,57600.2,56752.8,.0205,.0202,.88,.89
LT,p89p90,2023,60190.5,59417.5,.0215,.0212,.89,.9
LT,p8p9,2023,2313.5,2767.8,.0008,.001,.08,.09
LT,p90p91,2023,63098.4,62543.2,.0225,.0223,.9,.91
LT,p91p92,2023,66479.5,65292.8,.0237,.0233,.91,.92
LT,p92p93,2023,70492.3,68532.90000000001,.0251,.0244,.92,.93
LT,p93p94,2023,75368.40000000001,72437.3,.0269,.0258,.93,.9399999999999999
LT,p94p95,2023,81477.8,77281.8,.0291,.0276,.9399999999999999,.95
LT,p95p96,2023,89464.90000000001,83540.90000000001,.0319,.0298,.95,.96
LT,p96p97,2023,100831.8,92124.10000000001,.036,.0329,.96,.97
LT,p97p98,2023,118313.6,105097.6,.0422,.0375,.97,.98
LT,p98p99,2023,151294.7,118368.4,.054,.0422,.98,.99
LT,p99.1p99.2,2023,194643.4,142499.2,.0069,.0051,.991,.992
LT,p99.2p99.3,2023,206138.9,151133.2,.0074,.0054,.992,.993
LT,p99.3p99.4,2023,220119.5,161689.8,.0079,.0058,.993,.9940000000000001
LT,p99.4p99.5,2023,237690.4,175013.9,.0085,.0062,.9940000000000001,.995
LT,p99.5p99.6,2023,260681.5,192578.9,.0093,.0069,.995,.996
LT,p99.6p99.7,2023,292249.4,217273.1,.0104,.0078,.996,.997
LT,p99.7p99.8,2023,341655.8,255842.3,.0122,.0091,.997,.998
LT,p99.8p99.9,2023,435349.2,330128.8,.0155,.0118,.998,.9990000000000001
LT,p99.9p100,2023,963069.4,774504.9,.0344,.0276,.9990000000000001,1
LT,p99p99.1,2023,184986,135267.2,.0066,.0048,.99,.991
LT,p9p10,2023,2366.1,3558.6,.0008,.0013,.09,.1
