country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LU,p0p1,2023,40871.4,0,.0019,0,0,.01
LU,p10p11,2023,64666.7,29563.3,.003,.0014,.1,.11
LU,p11p12,2023,70741.40000000001,34938.5,.0033,.0016,.11,.12
LU,p12p13,2023,78489.2,40313.60000000001,.0037,.0019,.12,.13
LU,p13p14,2023,86225.60000000001,45688.8,.0041,.0021,.13,.14
LU,p14p15,2023,90553.60000000001,51063.9,.0043,.0024,.14,.15
LU,p15p16,2023,95269.8,56439.10000000001,.0045,.0027,.15,.16
LU,p16p17,2023,100528.9,61814.3,.0047,.0029,.16,.17
LU,p17p18,2023,103957.6,67189.40000000001,.0049,.0032,.17,.18
LU,p18p19,2023,106873.8,72564.60000000001,.005,.0034,.18,.19
LU,p19p20,2023,111035.6,77939.7,.0052,.0037,.19,.2
LU,p1p2,2023,41419.4,0,.0019,0,.01,.02
LU,p20p21,2023,114422.4,80627.3,.0054,.0038,.2,.21
LU,p21p22,2023,118258.3,84871.3,.0056,.004,.21,.22
LU,p22p23,2023,122599,89629.8,.0058,.0042,.22,.23
LU,p23p24,2023,125804.4,93267.5,.0059,.0044,.23,.24
LU,p24p25,2023,127585.4,95489.20000000001,.006,.0045,.24,.25
LU,p25p26,2023,129395.5,97741.60000000001,.0061,.0046,.25,.26
LU,p26p27,2023,131332.4,100440.2,.0062,.0047,.26,.27
LU,p27p28,2023,132689.7,102560.3,.0062,.0048,.27,.28
LU,p28p29,2023,134435.1,105073.3,.0063,.0049,.28,.29
LU,p29p30,2023,135838,107243.7,.0064,.005,.29,.3
LU,p2p3,2023,41575.4,0,.002,0,.02,.03
LU,p30p31,2023,136934,109107,.0064,.0051,.3,.31
LU,p31p32,2023,138198.7,111215.2,.0065,.0052,.31,.32
LU,p32p33,2023,139208.4,113071.5,.0065,.0053,.32,.33
LU,p33p34,2023,140762.2,115488.8,.0066,.0054,.33,.34
LU,p34p35,2023,142815.9,118423.5,.0067,.0056,.34,.35
LU,p35p36,2023,145021.8,121528,.0068,.0057,.35,.36
LU,p36p37,2023,147409,123980.8,.0069,.0058,.36,.37
LU,p37p38,2023,150388.7,127050.7,.0071,.006,.37,.38
LU,p38p39,2023,155345.9,132166.6,.0073,.0062,.38,.39
LU,p39p40,2023,158769.5,135725.3,.0075,.0064,.39,.4
LU,p3p4,2023,41962.3,0,.002,0,.03,.04
LU,p40p41,2023,161947,139044.1,.0076,.0065,.4,.41
LU,p41p42,2023,166067,143406.6,.0078,.0067,.41,.42
LU,p42p43,2023,169987.8,147581.5,.008,.0069,.42,.43
LU,p43p44,2023,175216.5,153137.8,.0082,.0072,.43,.44
LU,p44p45,2023,178698.4,156898,.0084,.0074,.44,.45
LU,p45p46,2023,181501.7,159964,.0085,.0075,.45,.46
LU,p46p47,2023,184259.4,163735,.0087,.0077,.46,.47
LU,p47p48,2023,190686.7,171374.8,.009,.0081,.47,.48
LU,p48p49,2023,193013.1,174728.2,.0091,.0082,.48,.49
LU,p49p50,2023,195770.8,178549.6,.0092,.0084,.49,.5
