country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LV,p0p1,2023,3507.2,0,.0017,0,0,.01
LV,p10p11,2023,6426.8,2510.8,.0032,.0012,.1,.11
LV,p11p12,2023,6770.5,2967.3,.0034,.0015,.11,.12
LV,p12p13,2023,7052.400000000001,3423.8,.0035,.0017,.12,.13
LV,p13p14,2023,7323.6,3880.3,.0036,.0019,.13,.14
LV,p14p15,2023,7531.8,4336.8,.0037,.0022,.14,.15
LV,p15p16,2023,7729.5,4793.3,.0038,.0024,.15,.16
LV,p16p17,2023,7890.400000000001,5249.8,.0039,.0026,.16,.17
LV,p17p18,2023,8053.3,5706.3,.004,.0028,.17,.18
LV,p18p19,2023,8221.800000000001,6162.8,.0041,.0031,.18,.19
LV,p19p20,2023,8388.6,6619.3,.0042,.0033,.19,.2
LV,p1p2,2023,3508.8,0,.0017,0,.01,.02
LV,p20p21,2023,8566.300000000001,6847.6,.0042,.0034,.2,.21
LV,p21p22,2023,8691.300000000001,7042.5,.0043,.0035,.21,.22
LV,p22p23,2023,8797.200000000001,7211.8,.0044,.0036,.22,.23
LV,p23p24,2023,8887.5,7360.3,.0044,.0036,.23,.24
LV,p24p25,2023,8985.200000000001,7516.700000000001,.0045,.0037,.24,.25
LV,p25p26,2023,9112.200000000001,7707.700000000001,.0045,.0038,.25,.26
LV,p26p27,2023,9278.800000000001,7907.6,.0046,.0039,.26,.27
LV,p27p28,2023,9463.6,8128.400000000001,.0047,.004,.27,.28
LV,p28p29,2023,9685,8392.700000000001,.0048,.0042,.28,.29
LV,p29p30,2023,9875.1,8617.300000000001,.0049,.0043,.29,.3
LV,p2p3,2023,3514.2,0,.0017,0,.02,.03
LV,p30p31,2023,10037.3,8806.4,.005,.0044,.3,.31
LV,p31p32,2023,10216.2,9029.1,.0051,.0045,.31,.32
LV,p32p33,2023,10383.8,9238,.0051,.0046,.32,.33
LV,p33p34,2023,10508.3,9394.4,.0052,.0047,.33,.34
LV,p34p35,2023,10673.5,9600.200000000001,.0053,.0048,.34,.35
LV,p35p36,2023,10896.3,9876.400000000001,.0054,.0049,.35,.36
LV,p36p37,2023,11205,10172.4,.0056,.005,.36,.37
LV,p37p38,2023,11521,10477.2,.0057,.0052,.37,.38
LV,p38p39,2023,11814.5,10754.4,.0059,.0053,.38,.39
LV,p39p40,2023,12103,11025.6,.006,.0055,.39,.4
LV,p3p4,2023,3519.6,0,.0017,0,.03,.04
LV,p40p41,2023,12389.9,11294.8,.0061,.0056,.4,.41
LV,p41p42,2023,12643,11532.4,.0063,.0057,.41,.42
LV,p42p43,2023,12974.2,11864.9,.0064,.0059,.42,.43
LV,p43p44,2023,13261.5,12144.1,.0066,.006,.43,.44
LV,p44p45,2023,13654.1,12550.9,.0068,.0062,.44,.45
LV,p45p46,2023,13957.9,12849.8,.0069,.0064,.45,.46
LV,p46p47,2023,14221.3,13177.4,.0071,.0065,.46,.47
LV,p47p48,2023,14450.1,13462.5,.0072,.0067,.47,.48
LV,p48p49,2023,14698,13770.3,.0073,.0068,.48,.49
LV,p49p50,2023,14997.2,14139.5,.0074,.007,.49,.5
LV,p4p5,2023,4224.6,0,.0021,0,.04,.05
LV,p50p51,2023,15254.2,14457.3,.0076,.0072,.5,.51
LV,p51p52,2023,15526,14797.8,.0077,.0073,.51,.52
LV,p52p53,2023,15721.4,15045.2,.0078,.0075,.52,.53
LV,p53p54,2023,16001.8,15395.6,.0079,.0076,.53,.54
LV,p54p55,2023,16265.2,15725.2,.0081,.0078,.54,.55
LV,p55p56,2023,16557.4,16089.5,.0082,.008,.55,.5600000000000001
LV,p56p57,2023,16931.4,16567.6,.0084,.0082,.5600000000000001,.57
LV,p57p58,2023,17218.1,16939.7,.0085,.0084,.57,.58
LV,p58p59,2023,17573.6,17395,.0087,.0086,.58,.59
LV,p59p60,2023,17862.7,17770.2,.0089,.0088,.59,.6
LV,p5p6,2023,4401.6,228.3,.0022,.0001,.05,.06
LV,p60p61,2023,18122.9,18109.7,.009,.009,.6,.61
LV,p61p62,2023,18566,18672.9,.0092,.0093,.61,.62
LV,p62p63,2023,18854.1,19048,.0093,.0094,.62,.63
LV,p63p64,2023,19186.5,19476.6,.0095,.0097,.63,.64
LV,p64p65,2023,19584.5,19984.4,.0097,.0099,.64,.65
LV,p65p66,2023,19879.2,20366.5,.0099,.0101,.65,.66
LV,p66p67,2023,20267,20811.9,.01,.0103,.66,.67
LV,p67p68,2023,20734.4,21353.3,.0103,.0106,.67,.68
LV,p68p69,2023,21270.7,21977.9,.0105,.0109,.68,.6899999999999999
LV,p69p70,2023,21568.7,22312.5,.0107,.0111,.6899999999999999,.7
LV,p6p7,2023,4687.400000000001,684.8000000000001,.0023,.0003,.06,.07
LV,p70p71,2023,21970.7,22772.7,.0109,.0113,.7,.71
LV,p71p72,2023,22427.5,23289.4,.0111,.0115,.71,.72
LV,p72p73,2023,22933.3,23864.5,.0114,.0118,.72,.73
LV,p73p74,2023,23464.6,24469.3,.0116,.0121,.73,.74
LV,p74p75,2023,23815.2,24854.3,.0118,.0123,.74,.75
LV,p75p76,2023,24344.8,25455.1,.0121,.0126,.75,.76
LV,p76p77,2023,24938,26192.5,.0124,.013,.76,.77
LV,p77p78,2023,25526,26923,.0127,.0133,.77,.78
LV,p78p79,2023,25980.4,27491.2,.0129,.0136,.78,.79
LV,p79p80,2023,26562.3,28212.8,.0132,.014,.79,.8
LV,p7p8,2023,5100.8,1141.3,.0025,.0006,.07,.08
LV,p80p81,2023,27093.8,28873,.0134,.0143,.8,.8100000000000001
LV,p81p82,2023,27795.1,29724.2,.0138,.0147,.8100000000000001,.82
LV,p82p83,2023,28532.9,30618,.0141,.0152,.82,.83
LV,p83p84,2023,29244.7,31479.2,.0145,.0156,.83,.84
LV,p84p85,2023,30150.5,32571.9,.0149,.0162,.84,.85
LV,p85p86,2023,30944.3,33528.1,.0153,.0166,.85,.86
LV,p86p87,2023,32025.5,34769.3,.0159,.0172,.86,.87
LV,p87p88,2023,33098.4,35997.7,.0164,.0178,.87,.88
LV,p88p89,2023,34317.7,37398.3,.017,.0185,.88,.89
LV,p89p90,2023,35494.6,38744.4,.0176,.0192,.89,.9
LV,p8p9,2023,5504,1597.8,.0027,.0008,.08,.09
LV,p90p91,2023,37033,40518.2,.0184,.0201,.9,.91
LV,p91p92,2023,39104.7,42831.4,.0194,.0212,.91,.92
LV,p92p93,2023,41536.7,45555.3,.0206,.0226,.92,.93
LV,p93p94,2023,44455.60000000001,48835.60000000001,.022,.0242,.93,.9399999999999999
LV,p94p95,2023,48062.3,52902.8,.0238,.0262,.9399999999999999,.95
LV,p95p96,2023,52695,58145.8,.0261,.0288,.95,.96
LV,p96p97,2023,59210,65307.10000000001,.0294,.0324,.96,.97
LV,p97p98,2023,68928,76072.40000000001,.0342,.0377,.97,.98
LV,p98p99,2023,86463.10000000001,95667.8,.0429,.0474,.98,.99
LV,p99.1p99.2,2023,108353.5,120185.6,.0054,.006,.991,.992
LV,p99.2p99.3,2023,113836.9,126586.7,.0056,.0063,.992,.993
LV,p99.3p99.4,2023,120430.2,134281.6,.006,.0067,.993,.9940000000000001
LV,p99.4p99.5,2023,128743,143803.6,.0064,.0071,.9940000000000001,.995
LV,p99.5p99.6,2023,139405.3,156069.4,.0069,.0077,.995,.996
LV,p99.6p99.7,2023,154097.5,172833,.0076,.0086,.996,.997
LV,p99.7p99.8,2023,176561.9,198077.3,.0088,.0098,.997,.998
LV,p99.8p99.9,2023,219114.7,245531.1,.0109,.0122,.998,.9990000000000001
LV,p99.9p100,2023,420081.9,469450.1,.0208,.0233,.9990000000000001,1
LV,p99p99.1,2023,103812.9,114742.6,.0051,.0057,.99,.991
LV,p9p10,2023,5924.1,2054.3,.0029,.001,.09,.1
