country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
LY,p0p1,2023,4449.8,0,.0009,0,0,.01
LY,p10p11,2023,11711.9,5259.1,.0025,.0011,.1,.11
LY,p11p12,2023,12163.4,6215.3,.0026,.0013,.11,.12
LY,p12p13,2023,12602,7171.5,.0027,.0015,.12,.13
LY,p13p14,2023,13029.1,8127.700000000001,.0028,.0017,.13,.14
LY,p14p15,2023,13447.1,9083.9,.0028,.0019,.14,.15
LY,p15p16,2023,13860.4,10040.1,.0029,.0021,.15,.16
LY,p16p17,2023,14269.2,10996.3,.003,.0023,.16,.17
LY,p17p18,2023,14690.3,11952.5,.0031,.0025,.17,.18
LY,p18p19,2023,15078.9,12908.7,.0032,.0027,.18,.19
LY,p19p20,2023,15473,13864.9,.0033,.0029,.19,.2
LY,p1p2,2023,5469.900000000001,0,.0012,0,.01,.02
LY,p20p21,2023,15863.8,14343,.0034,.003,.2,.21
LY,p21p22,2023,16230.1,14757.6,.0034,.0031,.21,.22
LY,p22p23,2023,16582.3,15157.3,.0035,.0032,.22,.23
LY,p23p24,2023,16939.9,15562.2,.0036,.0033,.23,.24
LY,p24p25,2023,17300.8,15969.4,.0037,.0034,.24,.25
LY,p25p26,2023,17651.4,16365.2,.0037,.0035,.25,.26
LY,p26p27,2023,18014.3,16760.8,.0038,.0036,.26,.27
LY,p27p28,2023,18385.1,17164.4,.0039,.0036,.27,.28
LY,p28p29,2023,18756.4,17567.5,.004,.0037,.28,.29
LY,p29p30,2023,19125.5,17967.2,.0041,.0038,.29,.3
LY,p2p3,2023,6584.3,0,.0014,0,.02,.03
LY,p30p31,2023,19515.8,18388.8,.0041,.0039,.3,.31
LY,p31p32,2023,19912.7,18805,.0042,.004,.31,.32
LY,p32p33,2023,20302.6,19213.8,.0043,.0041,.32,.33
LY,p33p34,2023,20693.7,19623,.0044,.0042,.33,.34
LY,p34p35,2023,21069,20015.9,.0045,.0042,.34,.35
