country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MA,p0p1,2023,4153.2,0,.0007,0,0,.01
MA,p10p11,2023,11935.1,5547.3,.0021,.001,.1,.11
MA,p11p12,2023,12444.6,6555.900000000001,.0022,.0012,.11,.12
MA,p12p13,2023,13109.2,7564.5,.0024,.0014,.12,.13
MA,p13p14,2023,13795.3,8573.1,.0025,.0015,.13,.14
MA,p14p15,2023,14423.1,9581.700000000001,.0026,.0017,.14,.15
MA,p15p16,2023,14914.1,10590.3,.0027,.0019,.15,.16
MA,p16p17,2023,15283.9,11598.9,.0027,.0021,.16,.17
MA,p17p18,2023,15520.7,12607.5,.0028,.0023,.17,.18
MA,p18p19,2023,15733.8,13616.1,.0028,.0024,.18,.19
MA,p19p20,2023,16082.6,14624.7,.0029,.0026,.19,.2
MA,p1p2,2023,5836.200000000001,0,.001,0,.01,.02
MA,p20p21,2023,17596,15129,.0032,.0027,.2,.21
MA,p21p22,2023,19771,17342.2,.0036,.0031,.21,.22
MA,p22p23,2023,20210.3,17812.4,.0036,.0032,.22,.23
MA,p23p24,2023,20330.2,17961.9,.0037,.0032,.23,.24
MA,p24p25,2023,20437.9,18098.5,.0037,.0033,.24,.25
MA,p25p26,2023,20565.1,18253.6,.0037,.0033,.25,.26
MA,p26p27,2023,20685.7,18396,.0037,.0033,.26,.27
MA,p27p28,2023,20823.5,18555.1,.0037,.0033,.27,.28
MA,p28p29,2023,20946.4,18698.9,.0038,.0034,.28,.29
MA,p29p30,2023,21093.5,18865.8,.0038,.0034,.29,.3
MA,p2p3,2023,7419.5,0,.0013,0,.02,.03
MA,p30p31,2023,21354.9,19146.5,.0038,.0034,.3,.31
MA,p31p32,2023,22171.9,19964.9,.004,.0036,.31,.32
MA,p32p33,2023,23509,21302,.0042,.0038,.32,.33
MA,p33p34,2023,24832.6,22625.5,.0045,.0041,.33,.34
MA,p34p35,2023,25513.7,23307.8,.0046,.0042,.34,.35
MA,p35p36,2023,25703.6,23498.8,.0046,.0042,.35,.36
MA,p36p37,2023,25822.8,23614.5,.0046,.0042,.36,.37
MA,p37p38,2023,25966.6,23754.1,.0047,.0043,.37,.38
MA,p38p39,2023,26091.2,23873.6,.0047,.0043,.38,.39
MA,p39p40,2023,26242.3,24019.8,.0047,.0043,.39,.4
MA,p3p4,2023,8679.1,0,.0016,0,.03,.04
MA,p40p41,2023,27181.8,24952.7,.0049,.0045,.4,.41
MA,p41p42,2023,28790.3,26565.1,.0052,.0048,.41,.42
MA,p42p43,2023,30035.3,27815.7,.0054,.005,.42,.43
MA,p43p44,2023,30346.4,28133.6,.0055,.0051,.43,.44
MA,p44p45,2023,30609.1,28402.5,.0055,.0051,.44,.45
MA,p45p46,2023,30886.7,28687.1,.0056,.0052,.45,.46
MA,p46p47,2023,31139.5,28972,.0056,.0052,.46,.47
MA,p47p48,2023,31384.7,29248.9,.0056,.0053,.47,.48
MA,p48p49,2023,31637.1,29533.4,.0057,.0053,.48,.49
MA,p49p50,2023,31880.6,29809.1,.0057,.0054,.49,.5
MA,p4p5,2023,9640.800000000001,0,.0017,0,.04,.05
MA,p50p51,2023,32293.4,30254.3,.0058,.0054,.5,.51
MA,p51p52,2023,32865.6,30865.7,.0059,.0056,.51,.52
MA,p52p53,2023,33435.8,31475.5,.006,.0057,.52,.53
MA,p53p54,2023,33997.6,32078.4,.0061,.0058,.53,.54
MA,p54p55,2023,34569.5,32691,.0062,.0059,.54,.55
MA,p55p56,2023,35151.6,33315.1,.0063,.006,.55,.5600000000000001
MA,p56p57,2023,35741.9,33941.7,.0064,.0061,.5600000000000001,.57
MA,p57p58,2023,36328.7,34565,.0065,.0062,.57,.58
MA,p58p59,2023,36928.3,35202.4,.0066,.0063,.58,.59
MA,p59p60,2023,37527.6,35840.1,.0068,.0064,.59,.6
MA,p5p6,2023,10392.9,504.3,.0019,.0001,.05,.06
MA,p60p61,2023,40454.3,38825.4,.0073,.007,.6,.61
MA,p61p62,2023,42141.3,40571,.0076,.0073,.61,.62
MA,p62p63,2023,42348.10000000001,40825.60000000001,.0076,.0073,.62,.63
MA,p63p64,2023,42557.4,41082.8,.0077,.0074,.63,.64
MA,p64p65,2023,42770.10000000001,41344.9,.0077,.0074,.64,.65
MA,p65p66,2023,43003.7,41628.8,.0077,.0075,.65,.66
MA,p66p67,2023,43274.7,41914.7,.0078,.0075,.66,.67
MA,p67p68,2023,43552.3,42208.4,.0078,.0076,.67,.68
MA,p68p69,2023,43847.8,42521.7,.0079,.0077,.68,.6899999999999999
MA,p69p70,2023,44151.3,42845,.0079,.0077,.6899999999999999,.7
MA,p6p7,2023,10878.9,1512.9,.002,.0003,.06,.07
MA,p70p71,2023,45780,44517.5,.0082,.008,.7,.71
MA,p71p72,2023,48764.7,47567.60000000001,.0088,.0086,.71,.72
MA,p72p73,2023,51356.10000000001,50225.8,.0092,.009,.72,.73
MA,p73p74,2023,52171.8,51080.4,.0094,.0092,.73,.74
MA,p74p75,2023,52805.9,51754.3,.0095,.0093,.74,.75
MA,p75p76,2023,53493.60000000001,52488.8,.0096,.0094,.75,.76
MA,p76p77,2023,54234.10000000001,53288.8,.0098,.0096,.76,.77
MA,p77p78,2023,55021.9,54144.4,.0099,.0097,.77,.78
MA,p78p79,2023,55835.9,55035.2,.01,.0099,.78,.79
MA,p79p80,2023,56662.9,55948.7,.0102,.0101,.79,.8
MA,p7p8,2023,11143.6,2521.5,.002,.0005,.07,.08
MA,p80p81,2023,58543.60000000001,57959.10000000001,.0105,.0104,.8,.8100000000000001
MA,p81p82,2023,61459.7,61062,.0111,.011,.8100000000000001,.82
MA,p82p83,2023,64822.10000000001,64649.10000000001,.0117,.0116,.82,.83
MA,p83p84,2023,68694.3,68792.90000000001,.0124,.0124,.83,.84
MA,p84p85,2023,73161.60000000001,73587.40000000001,.0132,.0132,.84,.85
MA,p85p86,2023,78282.5,79101.60000000001,.0141,.0142,.85,.86
MA,p86p87,2023,85068.3,86416.90000000001,.0153,.0155,.86,.87
MA,p87p88,2023,94856.10000000001,96938.8,.0171,.0174,.87,.88
MA,p88p89,2023,105830.2,108785.9,.019,.0196,.88,.89
MA,p89p90,2023,118075.6,122060.9,.0212,.022,.89,.9
MA,p8p9,2023,11324.8,3530.1,.002,.0006,.08,.09
MA,p90p91,2023,130797.1,135932.6,.0235,.0245,.9,.91
MA,p91p92,2023,143551,150105,.0258,.027,.91,.92
MA,p92p93,2023,157335.1,165493.6,.0283,.0298,.92,.93
