country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MC,p0p1,2023,0,0,0,0,0,.01
MC,p10p11,2023,55375.7,21429.9,.0031,.0012,.1,.11
MC,p11p12,2023,60954.2,25326.1,.0034,.0014,.11,.12
MC,p12p13,2023,67974.90000000001,29222.4,.0038,.0016,.12,.13
MC,p13p14,2023,76189.5,33118.6,.0043,.0019,.13,.14
MC,p14p15,2023,78111.5,37015.9,.0044,.0021,.14,.15
MC,p15p16,2023,79462.10000000001,40911.10000000001,.0044,.0023,.15,.16
MC,p16p17,2023,82586.60000000001,44808.4,.0046,.0025,.16,.17
MC,p17p18,2023,82978.90000000001,48704.7,.0046,.0027,.17,.18
MC,p18p19,2023,84058.70000000001,52599.9,.0047,.0029,.18,.19
MC,p19p20,2023,84534.20000000001,56497.2,.0047,.0032,.19,.2
MC,p1p2,2023,0,0,0,0,.01,.02
MC,p20p21,2023,86111.90000000001,58445.8,.0048,.0033,.2,.21
MC,p21p22,2023,86445.5,61212.10000000001,.0048,.0034,.21,.22
MC,p22p23,2023,88028.5,64249.2,.0049,.0036,.22,.23
MC,p23p24,2023,88365.40000000001,66966.40000000001,.0049,.0037,.23,.24
MC,p24p25,2023,90324.70000000001,70019.5,.0051,.0039,.24,.25
MC,p25p26,2023,92293.60000000001,72584.3,.0052,.0041,.25,.26
MC,p26p27,2023,93915,75512.60000000001,.0053,.0042,.26,.27
MC,p27p28,2023,94455.5,78307.60000000001,.0053,.0044,.27,.28
MC,p28p29,2023,95866.90000000001,80904.40000000001,.0054,.0045,.28,.29
MC,p29p30,2023,97761.20000000001,83198.5,.0055,.0047,.29,.3
MC,p2p3,2023,0,0,0,0,.02,.03
MC,p30p31,2023,98034.10000000001,85471.20000000001,.0055,.0048,.3,.31
MC,p31p32,2023,99417.70000000001,87392.10000000001,.0056,.0049,.31,.32
MC,p32p33,2023,99473.20000000001,89607.3,.0056,.005,.32,.33
MC,p33p34,2023,100575.4,91760.60000000001,.0056,.0051,.33,.34
MC,p34p35,2023,101871.7,93718.90000000001,.0057,.0052,.34,.35
MC,p35p36,2023,102460.1,96301.8,.0057,.0054,.35,.36
MC,p36p37,2023,104254.2,98884.70000000001,.0058,.0055,.36,.37
MC,p37p38,2023,106513.1,101372.8,.006,.0057,.37,.38
MC,p38p39,2023,108468.1,103545.3,.0061,.0058,.38,.39
MC,p39p40,2023,110412.5,105710.4,.0062,.0059,.39,.4
MC,p3p4,2023,0,0,0,0,.03,.04
MC,p40p41,2023,112508.3,108023.6,.0063,.006,.4,.41
MC,p41p42,2023,114628.6,110413.6,.0064,.0062,.41,.42
MC,p42p43,2023,116584.7,112638.3,.0065,.0063,.42,.43
MC,p43p44,2023,118736.9,115051.8,.0066,.0064,.43,.44
MC,p44p45,2023,120806.1,117394.8,.0068,.0066,.44,.45
MC,p45p46,2023,122703.5,119580.1,.0069,.0067,.45,.46
MC,p46p47,2023,124884.6,122013.8,.007,.0068,.46,.47
MC,p47p48,2023,127316.1,124709.8,.0071,.007,.47,.48
MC,p48p49,2023,129741.3,127411,.0073,.0071,.48,.49
MC,p49p50,2023,132011.9,129937.4,.0074,.0073,.49,.5
MC,p4p5,2023,0,0,0,0,.04,.05
MC,p50p51,2023,134417.9,132624.8,.0075,.0074,.5,.51
MC,p51p52,2023,136586.1,135080.9,.0076,.0076,.51,.52
MC,p52p53,2023,138972.9,137755.5,.0078,.0077,.52,.53
MC,p53p54,2023,141426.8,140518.6,.0079,.0079,.53,.54
MC,p54p55,2023,143997,143400,.0081,.008,.54,.55
MC,p55p56,2023,146804.8,146520.2,.0082,.0082,.55,.5600000000000001
MC,p56p57,2023,149444.3,149504,.0084,.0084,.5600000000000001,.57
MC,p57p58,2023,151940.9,152340.6,.0085,.0085,.57,.58
MC,p58p59,2023,154532.3,155276.4,.0086,.0087,.58,.59
MC,p59p60,2023,157069.4,158167.4,.0088,.0088,.59,.6
MC,p5p6,2023,12547.9,1948.7,.0007,.0001,.05,.06
MC,p60p61,2023,160281.3,161742.8,.009,.009,.6,.61
MC,p61p62,2023,162837.6,164695.6,.0091,.0092,.61,.62
MC,p62p63,2023,166036.6,168300.8,.0093,.0094,.62,.63
MC,p63p64,2023,168825.3,171491.4,.0094,.0096,.63,.64
MC,p64p65,2023,172122.5,175204.3,.0096,.0098,.64,.65
MC,p65p66,2023,174953.8,178460.9,.0098,.01,.65,.66
MC,p66p67,2023,178576,182538.4,.01,.0102,.66,.67
MC,p67p68,2023,181877.5,186283.3,.0102,.0104,.67,.68
MC,p68p69,2023,185087.2,189946,.0103,.0106,.68,.6899999999999999
MC,p69p70,2023,188219.1,193543.8,.0105,.0108,.6899999999999999,.7
MC,p6p7,2023,29913.2,5843.8,.0017,.0003,.06,.07
MC,p70p71,2023,192269.9,198122.3,.0108,.0111,.7,.71
MC,p71p72,2023,195611.9,201947.1,.0109,.0113,.71,.72
MC,p72p73,2023,199241.6,206094.9,.0111,.0115,.72,.73
MC,p73p74,2023,203362.8,210743.8,.0114,.0118,.73,.74
MC,p74p75,2023,206824.1,214726.4,.0116,.012,.74,.75
MC,p75p76,2023,211292.8,219783.5,.0118,.0123,.75,.76
MC,p76p77,2023,215120.8,224184,.012,.0125,.76,.77
MC,p77p78,2023,219690.3,229385,.0123,.0128,.77,.78
MC,p78p79,2023,224634.4,235009.3,.0126,.0131,.78,.79
MC,p79p80,2023,229449,240514.1,.0128,.0134,.79,.8
MC,p7p8,2023,47487.3,9741.200000000001,.0027,.0005,.07,.08
MC,p80p81,2023,234490.7,246299.3,.0131,.0138,.8,.8100000000000001
MC,p81p82,2023,239535,252101.6,.0134,.0141,.8100000000000001,.82
MC,p82p83,2023,244641.2,258013.1,.0137,.0144,.82,.83
MC,p83p84,2023,250861.3,265141.5,.014,.0148,.83,.84
MC,p84p85,2023,258441.7,273744.1,.0145,.0153,.84,.85
MC,p85p86,2023,265856.3,282192.8,.0149,.0158,.85,.86
MC,p86p87,2023,274307.5,291811.8,.0153,.0163,.86,.87
MC,p87p88,2023,281527.1,300139.5,.0157,.0168,.87,.88
MC,p88p89,2023,290576.9,310490.9,.0162,.0174,.88,.89
MC,p89p90,2023,301991.7,323279.2,.0169,.0181,.89,.9
MC,p8p9,2023,50576.60000000001,13637.4,.0028,.0008,.08,.09
MC,p90p91,2023,315259.7,337747.1,.0176,.0189,.9,.91
MC,p91p92,2023,328105.6,351592.3,.0183,.0197,.91,.92
MC,p92p93,2023,348124.1,372934.8,.0195,.0209,.92,.93
MC,p93p94,2023,370177.6,396358.1,.0207,.0222,.93,.9399999999999999
MC,p94p95,2023,395689,424004.4,.0221,.0237,.9399999999999999,.95
MC,p95p96,2023,434979.2,467732.2,.0243,.0262,.95,.96
MC,p96p97,2023,485160.9,525177.1,.0271,.0294,.96,.97
MC,p97p98,2023,577709.5,630201.4,.0323,.0352,.97,.98
MC,p98p99,2023,751108.3,822850.5,.042,.046,.98,.99
MC,p99.1p99.2,2023,949914.2000000001,1055974.9,.0053,.0059,.991,.992
MC,p99.2p99.3,2023,985929.1000000001,1098196.7,.0055,.0061,.992,.993
MC,p99.3p99.4,2023,1041921,1161769.2,.0058,.0065,.993,.9940000000000001
MC,p99.4p99.5,2023,1155085.4,1287074.1,.0065,.0072,.9940000000000001,.995
MC,p99.5p99.6,2023,1278075.7,1421364,.0071,.0079,.995,.996
MC,p99.6p99.7,2023,1457632.2,1614875.8,.0082,.009,.996,.997
MC,p99.7p99.8,2023,1726295.4,1907551.4,.0097,.0107,.997,.998
MC,p99.8p99.9,2023,2255161,2517551.3,.0126,.0141,.998,.9990000000000001
MC,p99.9p100,2023,6604946,7521315.9,.0369,.0421,.9990000000000001,1
MC,p99p99.1,2023,899258.9,996269.3,.005,.0056,.99,.991
MC,p9p10,2023,51397.4,17533.6,.0029,.001,.09,.1
