country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MD,p0p1,2023,13160.5,0,.0011,0,0,.01
MD,p10p11,2023,19494.4,13456.1,.0016,.0011,.1,.11
MD,p11p12,2023,21620.9,15902.7,.0018,.0013,.11,.12
MD,p12p13,2023,24805.4,18349.2,.0021,.0015,.12,.13
MD,p13p14,2023,27831,20795.8,.0023,.0017,.13,.14
MD,p14p15,2023,31056.9,23242.4,.0026,.0019,.14,.15
MD,p15p16,2023,33977.4,25688.9,.0028,.0021,.15,.16
MD,p16p17,2023,37374.3,28135.5,.0031,.0023,.16,.17
MD,p17p18,2023,39787.7,30582.1,.0033,.0025,.17,.18
MD,p18p19,2023,41179.60000000001,33028.6,.0034,.0028,.18,.19
MD,p19p20,2023,42521.5,35475.2,.0035,.003,.19,.2
MD,p1p2,2023,13760.6,0,.0011,0,.01,.02
MD,p20p21,2023,43988.60000000001,36698.5,.0037,.0031,.2,.21
MD,p21p22,2023,45442.7,38407.9,.0038,.0032,.21,.22
MD,p22p23,2023,46730.3,39933.3,.0039,.0033,.22,.23
MD,p23p24,2023,47972,41407,.004,.0035,.23,.24
MD,p24p25,2023,49418.3,43097.2,.0041,.0036,.24,.25
MD,p25p26,2023,50843.9,44760.7,.0042,.0037,.25,.26
MD,p26p27,2023,52548.4,46705.10000000001,.0044,.0039,.26,.27
MD,p27p28,2023,53898.8,48265.9,.0045,.004,.27,.28
MD,p28p29,2023,54943.10000000001,49494.10000000001,.0046,.0041,.28,.29
MD,p29p30,2023,56275,51025.2,.0047,.0043,.29,.3
MD,p2p3,2023,14234.9,0,.0012,0,.02,.03
MD,p30p31,2023,57511.7,52449,.0048,.0044,.3,.31
MD,p31p32,2023,58904.4,53960,.0049,.0045,.31,.32
MD,p32p33,2023,60474.4,55658,.005,.0046,.32,.33
MD,p33p34,2023,62093.8,57406.8,.0052,.0048,.33,.34
MD,p34p35,2023,63712.5,59151.7,.0053,.0049,.34,.35
MD,p35p36,2023,65447.8,61020.3,.0055,.0051,.35,.36
MD,p36p37,2023,66854.8,62554.3,.0056,.0052,.36,.37
MD,p37p38,2023,68175.90000000001,63993.4,.0057,.0053,.37,.38
MD,p38p39,2023,69519.90000000001,65456.5,.0058,.0055,.38,.39
MD,p39p40,2023,70793.10000000001,66842.90000000001,.0059,.0056,.39,.4
MD,p3p4,2023,14481.7,0,.0012,0,.03,.04
MD,p40p41,2023,72038.40000000001,68196.60000000001,.006,.0057,.4,.41
MD,p41p42,2023,73250.90000000001,69563.8,.0061,.0058,.41,.42
MD,p42p43,2023,74599.2,71076.8,.0062,.0059,.42,.43
MD,p43p44,2023,75845.2,72482.3,.0063,.006,.43,.44
MD,p44p45,2023,77348,74162,.0064,.0062,.44,.45
MD,p45p46,2023,78893.70000000001,75889.7,.0066,.0063,.45,.46
MD,p46p47,2023,80289.3,77442.90000000001,.0067,.0065,.46,.47
MD,p47p48,2023,82114.70000000001,79455.40000000001,.0068,.0066,.47,.48
MD,p48p49,2023,84046.60000000001,81580.90000000001,.007,.0068,.48,.49
MD,p49p50,2023,85577.40000000001,83277,.0071,.0069,.49,.5
MD,p4p5,2023,14632.6,0,.0012,0,.04,.05
MD,p50p51,2023,87103.8,84964.40000000001,.0073,.0071,.5,.51
MD,p51p52,2023,88623,86654.70000000001,.0074,.0072,.51,.52
MD,p52p53,2023,90387.60000000001,88603.90000000001,.0075,.0074,.52,.53
MD,p53p54,2023,92181.60000000001,90582.70000000001,.0077,.0075,.53,.54
MD,p54p55,2023,94059.20000000001,92649.8,.0078,.0077,.54,.55
MD,p55p56,2023,95926.10000000001,94701.60000000001,.008,.0079,.55,.5600000000000001
MD,p56p57,2023,97923.20000000001,96911.5,.0082,.0081,.5600000000000001,.57
MD,p57p58,2023,99737.10000000001,98921.10000000001,.0083,.0082,.57,.58
MD,p58p59,2023,101516,100893.2,.0085,.0084,.58,.59
MD,p59p60,2023,103543.9,103131,.0086,.0086,.59,.6
MD,p5p6,2023,15473.7,1223.3,.0013,.0001,.05,.06
MD,p60p61,2023,105378.6,105160.7,.0088,.0088,.6,.61
MD,p61p62,2023,107221.9,107215.3,.0089,.0089,.61,.62
MD,p62p63,2023,109094.5,109303.5,.0091,.0091,.62,.63
MD,p63p64,2023,110985,111412.8,.0092,.0093,.63,.64
MD,p64p65,2023,112762.5,113403.2,.0094,.0094,.64,.65
MD,p65p66,2023,114717.3,115588.2,.0096,.0096,.65,.66
MD,p66p67,2023,116906.1,118021.5,.0097,.0098,.66,.67
MD,p67p68,2023,119168.5,120538.3,.0099,.01,.67,.68
MD,p68p69,2023,121493.9,123127.9,.0101,.0103,.68,.6899999999999999
MD,p69p70,2023,123695.6,125590.9,.0103,.0105,.6899999999999999,.7
MD,p6p7,2023,15972.3,3669.8,.0013,.0003,.06,.07
MD,p70p71,2023,126316.4,128511.3,.0105,.0107,.7,.71
MD,p71p72,2023,128922.9,131395.3,.0107,.0109,.71,.72
MD,p72p73,2023,131819.1,134598.5,.011,.0112,.72,.73
MD,p73p74,2023,134640.9,137726.9,.0112,.0115,.73,.74
MD,p74p75,2023,138071.4,141518.8,.0115,.0118,.74,.75
MD,p75p76,2023,141467.5,145280,.0118,.0121,.75,.76
MD,p76p77,2023,144957.4,149139,.0121,.0124,.76,.77
MD,p77p78,2023,148643.3,153216.7,.0124,.0128,.77,.78
MD,p78p79,2023,152696.8,157699.8,.0127,.0131,.78,.79
MD,p79p80,2023,156910.5,162365.1,.0131,.0135,.79,.8
MD,p7p8,2023,17102.5,6116.400000000001,.0014,.0005,.07,.08
MD,p80p81,2023,161278.1,167205,.0134,.0139,.8,.8100000000000001
MD,p81p82,2023,165788.6,172149.3,.0138,.0143,.8100000000000001,.82
MD,p82p83,2023,170424.8,177232.6,.0142,.0148,.82,.83
MD,p83p84,2023,175258.3,182530.8,.0146,.0152,.83,.84
MD,p84p85,2023,180380.4,188143.3,.015,.0157,.84,.85
MD,p85p86,2023,185655,193919.9,.0155,.0162,.85,.86
MD,p86p87,2023,191323.6,200098.1,.0159,.0167,.86,.87
MD,p87p88,2023,197073.8,206362.7,.0164,.0172,.87,.88
MD,p88p89,2023,204188.3,214106.6,.017,.0178,.88,.89
MD,p89p90,2023,211628.4,222200.4,.0176,.0185,.89,.9
MD,p8p9,2023,17531.6,8563,.0015,.0007,.08,.09
MD,p90p91,2023,220343.8,231676.8,.0184,.0193,.9,.91
MD,p91p92,2023,230705,242557.8,.0192,.0202,.91,.92
MD,p92p93,2023,243311.5,255822.3,.0203,.0213,.92,.93
MD,p93p94,2023,259073.2,272439.5,.0216,.0227,.93,.9399999999999999
MD,p94p95,2023,279493.5,294012.6,.0233,.0245,.9399999999999999,.95
MD,p95p96,2023,307281.6,323429.3,.0256,.027,.95,.96
MD,p96p97,2023,348734.6,366546.6,.0291,.0305,.96,.97
MD,p97p98,2023,414124.5,434805.6,.0345,.0362,.97,.98
MD,p98p99,2023,539214.2000000001,565871,.0449,.0472,.98,.99
MD,p99.1p99.2,2023,708119.2000000001,742524.6000000001,.0059,.0062,.991,.992
MD,p99.2p99.3,2023,753202.6000000001,791164.4,.0063,.0066,.992,.993
