country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ME,p0p1,2023,2413.5,0,.0018,0,0,.01
ME,p10p11,2023,2594.3,990,.0019,.0007,.1,.11
ME,p11p12,2023,2641.7,1199,.002,.0009,.11,.12
ME,p12p13,2023,2732.5,1412.8,.002,.0011,.12,.13
ME,p13p14,2023,2848.1,1630.9,.0021,.0012,.13,.14
ME,p14p15,2023,2970.1,1852.7,.0022,.0014,.14,.15
ME,p15p16,2023,3111.5,2078.1,.0023,.0016,.15,.16
ME,p16p17,2023,3291.1,2306.6,.0025,.0017,.16,.17
ME,p17p18,2023,3510.7,2538.1,.0026,.0019,.17,.18
ME,p18p19,2023,3731,2772.3,.0028,.0021,.18,.19
ME,p19p20,2023,3929.5,3009.1,.0029,.0022,.19,.2
ME,p1p2,2023,2430.4,0,.0018,0,.01,.02
ME,p20p21,2023,4086.7,3128.3,.0031,.0023,.2,.21
ME,p21p22,2023,4233,3355.8,.0032,.0025,.21,.22
ME,p22p23,2023,4383.5,3586.2,.0033,.0027,.22,.23
ME,p23p24,2023,4556.7,3842.6,.0034,.0029,.23,.24
ME,p24p25,2023,4725.2,4091,.0035,.0031,.24,.25
ME,p25p26,2023,4881.2,4322.400000000001,.0036,.0032,.25,.26
ME,p26p27,2023,5045.700000000001,4558.8,.0038,.0034,.26,.27
ME,p27p28,2023,5189.200000000001,4768.3,.0039,.0036,.27,.28
ME,p28p29,2023,5346.5,4992.8,.004,.0037,.28,.29
ME,p29p30,2023,5487,5195.3,.0041,.0039,.29,.3
ME,p2p3,2023,2441.6,0,.0018,0,.02,.03
ME,p30p31,2023,5660.200000000001,5434.700000000001,.0042,.0041,.3,.31
ME,p31p32,2023,5875.200000000001,5655.200000000001,.0044,.0042,.31,.32
ME,p32p33,2023,6073.400000000001,5854.700000000001,.0045,.0044,.32,.33
ME,p33p34,2023,6296.3,6082.1,.0047,.0045,.33,.34
ME,p34p35,2023,6509.700000000001,6297.6,.0049,.0047,.34,.35
ME,p35p36,2023,6742.200000000001,6534,.005,.0049,.35,.36
ME,p36p37,2023,6971.900000000001,6770.400000000001,.0052,.0051,.36,.37
ME,p37p38,2023,7179.5,6979.900000000001,.0054,.0052,.37,.38
ME,p38p39,2023,7392.400000000001,7194.400000000001,.0055,.0054,.38,.39
ME,p39p40,2023,7606,7408.900000000001,.0057,.0055,.39,.4
ME,p3p4,2023,2453,0,.0018,0,.03,.04
ME,p40p41,2023,7804,7604.400000000001,.0058,.0057,.4,.41
ME,p41p42,2023,7998.1,7800.900000000001,.006,.0058,.41,.42
ME,p42p43,2023,8198.6,8004.400000000001,.0061,.006,.42,.43
ME,p43p44,2023,8397.9,8205.9,.0063,.0061,.43,.44
ME,p44p45,2023,8618.6,8431.4,.0064,.0063,.44,.45
ME,p45p46,2023,8848.6,8666.800000000001,.0066,.0065,.45,.46
ME,p46p47,2023,9072.800000000001,8892.200000000001,.0068,.0066,.46,.47
ME,p47p48,2023,9320.300000000001,9143.6,.007,.0068,.47,.48
ME,p48p49,2023,9574.5,9402,.0072,.007,.48,.49
ME,p49p50,2023,9833.800000000001,9665.4,.0073,.0072,.49,.5
ME,p4p5,2023,2457.2,0,.0018,0,.04,.05
ME,p50p51,2023,10078,9910.800000000001,.0075,.0074,.5,.51
ME,p51p52,2023,10284,10152.2,.0077,.0076,.51,.52
ME,p52p53,2023,10495.9,10399.6,.0078,.0078,.52,.53
ME,p53p54,2023,10721.2,10661.9,.008,.008,.53,.54
ME,p54p55,2023,10939.3,10915.3,.0082,.0082,.54,.55
ME,p55p56,2023,11152.5,11162.7,.0083,.0083,.55,.5600000000000001
ME,p56p57,2023,11395.7,11446,.0085,.0085,.5600000000000001,.57
ME,p57p58,2023,11650.8,11742.3,.0087,.0088,.57,.58
ME,p58p59,2023,11877.4,12005.6,.0089,.009,.58,.59
ME,p59p60,2023,12120.5,12286.9,.0091,.0092,.59,.6
ME,p5p6,2023,2483.4,65.2,.0019,0,.05,.06
ME,p60p61,2023,12351.5,12554.3,.0092,.0094,.6,.61
ME,p61p62,2023,12588.3,12829.6,.0094,.0096,.61,.62
ME,p62p63,2023,12832.7,13112.9,.0096,.0098,.62,.63
ME,p63p64,2023,13056.1,13372.3,.0098,.01,.63,.64
ME,p64p65,2023,13281,13632.7,.0099,.0102,.64,.65
ME,p65p66,2023,13504.3,13891,.0101,.0104,.65,.66
ME,p66p67,2023,13763.3,14188.3,.0103,.0106,.66,.67
ME,p67p68,2023,14033.4,14497.5,.0105,.0108,.67,.68
