country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MG,p0p1,2023,197538.4,0,.0005,0,0,.01
MG,p10p11,2023,862738.5,467097.7,.002,.0011,.1,.11
MG,p11p12,2023,912678.1000000001,552024.5,.0021,.0013,.11,.12
MG,p12p13,2023,958360.4,636951.3,.0022,.0015,.12,.13
MG,p13p14,2023,1004617.2,721878.2000000001,.0023,.0016,.13,.14
MG,p14p15,2023,1048131.6,806805.1000000001,.0024,.0018,.14,.15
MG,p15p16,2023,1097470.4,891732,.0025,.002,.15,.16
MG,p16p17,2023,1139469.9,976658.8,.0026,.0022,.16,.17
MG,p17p18,2023,1181155.9,1061585.7,.0027,.0024,.17,.18
MG,p18p19,2023,1223259.8,1146512.5,.0028,.0026,.18,.19
MG,p19p20,2023,1263639.9,1231439.3,.0029,.0028,.19,.2
MG,p1p2,2023,276548.6,0,.0006,0,.01,.02
MG,p20p21,2023,1305848.3,1273902.8,.003,.0029,.2,.21
MG,p21p22,2023,1344138.8,1312798,.0031,.003,.21,.22
MG,p22p23,2023,1377884.6,1347034.5,.0031,.0031,.22,.23
MG,p23p24,2023,1413693.8,1383328.8,.0032,.0032,.23,.24
MG,p24p25,2023,1453029.1,1423135.3,.0033,.0032,.24,.25
MG,p25p26,2023,1489360.7,1459872.6,.0034,.0033,.25,.26
MG,p26p27,2023,1527494.6,1498127.6,.0035,.0034,.26,.27
MG,p27p28,2023,1568292.5,1539071.3,.0036,.0035,.27,.28
MG,p28p29,2023,1605851.7,1576659.4,.0037,.0036,.28,.29
MG,p29p30,2023,1641190.8,1611930.4,.0037,.0037,.29,.3
MG,p2p3,2023,377394.2,0,.0009,0,.02,.03
MG,p30p31,2023,1677862,1648546.1,.0038,.0038,.3,.31
MG,p31p32,2023,1713070.5,1684240.1,.0039,.0038,.31,.32
MG,p32p33,2023,1748122.2,1719783.7,.004,.0039,.32,.33
MG,p33p34,2023,1789782.1,1761939.4,.0041,.004,.33,.34
MG,p34p35,2023,1824624.9,1797267.9,.0042,.0041,.34,.35
MG,p35p36,2023,1869157.9,1842308.4,.0043,.0042,.35,.36
MG,p36p37,2023,1912881.2,1886660.2,.0044,.0043,.36,.37
MG,p37p38,2023,1952974,1927290,.0045,.0044,.37,.38
MG,p38p39,2023,1990350.3,1965159.1,.0045,.0045,.38,.39
MG,p39p40,2023,2033368.4,2008720,.0046,.0046,.39,.4
MG,p3p4,2023,454732.7,0,.001,0,.03,.04
MG,p40p41,2023,2073330.6,2049157.4,.0047,.0047,.4,.41
MG,p41p42,2023,2118438.2,2095324.4,.0048,.0048,.41,.42
MG,p42p43,2023,2164930.1,2142929.7,.0049,.0049,.42,.43
