country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MH,p0p1,2023,0,0,0,0,0,.01
MH,p10p11,2023,4166.5,1226.3,.003,.0009,.1,.11
MH,p11p12,2023,4281.900000000001,1449.2,.0031,.0011,.11,.12
MH,p12p13,2023,4494.3,1672.2,.0033,.0012,.12,.13
MH,p13p14,2023,4663.2,1895.2,.0034,.0014,.13,.14
MH,p14p15,2023,4713.1,2118.2,.0034,.0015,.14,.15
MH,p15p16,2023,4717.5,2341.2,.0034,.0017,.15,.16
MH,p16p17,2023,4775.8,2564.1,.0035,.0019,.16,.17
MH,p17p18,2023,4793.8,2787,.0035,.002,.17,.18
MH,p18p19,2023,5054.200000000001,3010.1,.0037,.0022,.18,.19
MH,p19p20,2023,5062.200000000001,3232.9,.0037,.0023,.19,.2
MH,p1p2,2023,0,0,0,0,.01,.02
MH,p20p21,2023,5094.400000000001,3344.5,.0037,.0024,.2,.21
MH,p21p22,2023,5160.8,3544.6,.0037,.0026,.21,.22
MH,p22p23,2023,5266.6,3747.5,.0038,.0027,.22,.23
MH,p23p24,2023,5336.900000000001,3953.1,.0039,.0029,.23,.24
MH,p24p25,2023,5539.6,4161.2,.004,.003,.24,.25
MH,p25p26,2023,5609.200000000001,4371.6,.0041,.0032,.25,.26
MH,p26p27,2023,5631.8,4584.3,.0041,.0033,.26,.27
MH,p27p28,2023,5717.400000000001,4798.900000000001,.0041,.0035,.27,.28
MH,p28p29,2023,5723.900000000001,5015.200000000001,.0042,.0036,.28,.29
MH,p29p30,2023,5745.700000000001,5233.200000000001,.0042,.0038,.29,.3
MH,p2p3,2023,0,0,0,0,.02,.03
MH,p30p31,2023,5954.3,5452.400000000001,.0043,.004,.3,.31
MH,p31p32,2023,6165.200000000001,5672.8,.0045,.0041,.31,.32
MH,p32p33,2023,6377,5893.900000000001,.0046,.0043,.32,.33
MH,p33p34,2023,6589.3,6115.6,.0048,.0044,.33,.34
MH,p34p35,2023,6802.8,6337.6,.0049,.0046,.34,.35
MH,p35p36,2023,7017.6,6559.6,.0051,.0048,.35,.36
MH,p36p37,2023,7230.200000000001,6781.200000000001,.0052,.0049,.36,.37
MH,p37p38,2023,7440.5,7002.200000000001,.0054,.0051,.37,.38
MH,p38p39,2023,7651.200000000001,7222.200000000001,.0055,.0052,.38,.39
MH,p39p40,2023,7859.700000000001,7440.8,.0057,.0054,.39,.4
MH,p3p4,2023,0,0,0,0,.03,.04
MH,p40p41,2023,8065.900000000001,7657.900000000001,.0058,.0056,.4,.41
MH,p41p42,2023,8265.700000000001,7872.8,.006,.0057,.41,.42
MH,p42p43,2023,8463.300000000001,8085.200000000001,.0061,.0059,.42,.43
MH,p43p44,2023,8657.5,8295.1,.0063,.006,.43,.44
MH,p44p45,2023,8847.700000000001,8501.6,.0064,.0062,.44,.45
MH,p45p46,2023,9033.200000000001,8704.800000000001,.0066,.0063,.45,.46
MH,p46p47,2023,9216.800000000001,8904.1,.0067,.0065,.46,.47
MH,p47p48,2023,9394.300000000001,9099.200000000001,.0068,.0066,.47,.48
MH,p48p49,2023,9566.700000000001,9289.800000000001,.0069,.0067,.48,.49
MH,p49p50,2023,9735.700000000001,9475.5,.0071,.0069,.49,.5
MH,p4p5,2023,0,0,0,0,.04,.05
MH,p50p51,2023,9897.700000000001,9656.200000000001,.0072,.007,.5,.51
MH,p51p52,2023,10053.6,9831.800000000001,.0073,.0071,.51,.52
MH,p52p53,2023,10204.3,10001.7,.0074,.0073,.52,.53
MH,p53p54,2023,10347.6,10166.1,.0075,.0074,.53,.54
MH,p54p55,2023,10484.8,10324.6,.0076,.0075,.54,.55
MH,p55p56,2023,10616.1,10477,.0077,.0076,.55,.5600000000000001
MH,p56p57,2023,10739.2,10623.4,.0078,.0077,.5600000000000001,.57
MH,p57p58,2023,10856.5,10763.4,.0079,.0078,.57,.58
MH,p58p59,2023,10967.4,10896.9,.008,.0079,.58,.59
MH,p59p60,2023,11071.2,11023.9,.008,.008,.59,.6
MH,p5p6,2023,3674.4,111.5,.0027,.0001,.05,.06
MH,p60p61,2023,11168.3,11144.1,.0081,.0081,.6,.61
MH,p61p62,2023,11256.6,11257.7,.0082,.0082,.61,.62
MH,p62p63,2023,11338.4,11364.5,.0082,.0082,.62,.63
MH,p63p64,2023,11414,11464.6,.0083,.0083,.63,.64
MH,p64p65,2023,11483.1,11557.9,.0083,.0084,.64,.65
MH,p65p66,2023,11545.2,11644.7,.0084,.0084,.65,.66
MH,p66p67,2023,11600.2,11725,.0084,.0085,.66,.67
MH,p67p68,2023,11650.7,11799.4,.0084,.0086,.67,.68
MH,p68p69,2023,11695.2,11868.1,.0085,.0086,.68,.6899999999999999
MH,p69p70,2023,11734.6,11931.5,.0085,.0087,.6899999999999999,.7
MH,p6p7,2023,3710.5,334.4,.0027,.0002,.06,.07
MH,p70p71,2023,11767.9,11990.6,.0085,.0087,.7,.71
MH,p71p72,2023,11800.3,12046,.0086,.0087,.71,.72
MH,p72p73,2023,11829.2,12099.3,.0086,.0088,.72,.73
MH,p73p74,2023,11858.8,12151.7,.0086,.0088,.73,.74
MH,p74p75,2023,11889.1,12205.3,.0086,.0089,.74,.75
MH,p75p76,2023,11922.2,12262.5,.0086,.0089,.75,.76
MH,p76p77,2023,11962.1,12326.6,.0087,.0089,.76,.77
MH,p77p78,2023,12011.9,12401.7,.0087,.009,.77,.78
MH,p78p79,2023,12076.3,12492.8,.0088,.0091,.78,.79
MH,p79p80,2023,12162.7,12606.6,.0088,.0091,.79,.8
MH,p7p8,2023,3815.6,557.5,.0028,.0004,.07,.08
MH,p80p81,2023,12277.8,12751.9,.0089,.0092,.8,.8100000000000001
MH,p81p82,2023,12433.6,12939.5,.009,.0094,.8100000000000001,.82
MH,p82p83,2023,12642,13184.1,.0092,.0096,.82,.83
MH,p83p84,2023,12921.4,13504.1,.0094,.0098,.83,.84
MH,p84p85,2023,13294.7,13924.4,.0096,.0101,.84,.85
MH,p85p86,2023,13793.6,14477.4,.01,.0105,.85,.86
MH,p86p87,2023,14455.5,15205.9,.0105,.011,.86,.87
MH,p87p88,2023,15335.8,16166.9,.0111,.0117,.87,.88
MH,p88p89,2023,16502.2,17435.9,.012,.0126,.88,.89
MH,p89p90,2023,18056.3,19112.8,.0131,.0139,.89,.9
MH,p8p9,2023,3816.3,780.4000000000001,.0028,.0006,.08,.09
MH,p90p91,2023,20133.2,21328.2,.0146,.0155,.9,.91
MH,p91p92,2023,22890.6,24254.7,.0166,.0176,.91,.92
MH,p92p93,2023,26557.2,28131.7,.0193,.0204,.92,.93
MH,p93p94,2023,31451.8,33299.5,.0228,.0241,.93,.9399999999999999
MH,p94p95,2023,37987.2,40250.3,.0275,.0292,.9399999999999999,.95
MH,p95p96,2023,46752.8,49710.9,.0339,.036,.95,.96
MH,p96p97,2023,58647.2,62774.4,.0425,.0455,.96,.97
MH,p97p98,2023,75189.8,81104.20000000001,.0545,.0588,.97,.98
MH,p98p99,2023,99067.8,107316.4,.0718,.0778,.98,.99
MH,p99.1p99.2,2023,118716.8,130495.6,.0086,.0095,.991,.992
MH,p99.2p99.3,2023,122858.2,135317.5,.0089,.0098,.992,.993
MH,p99.3p99.4,2023,127923.1,141042.2,.0093,.0102,.993,.9940000000000001
MH,p99.4p99.5,2023,134630,148335.9,.0098,.0108,.9940000000000001,.995
MH,p99.5p99.6,2023,144148.1,158515.6,.0105,.0115,.995,.996
MH,p99.6p99.7,2023,159258,174464.7,.0115,.0127,.996,.997
MH,p99.7p99.8,2023,186212.3,203462.7,.0135,.0148,.997,.998
MH,p99.8p99.9,2023,242024.4,267162.1,.0176,.0194,.998,.9990000000000001
MH,p99.9p100,2023,651688.7000000001,733705.3,.0473,.0532,.9990000000000001,1
MH,p99p99.1,2023,115211.7,126212.9,.0084,.0092,.99,.991
MH,p9p10,2023,4089,1003.3,.003,.0007,.09,.1
