country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
MK,p0p1,2023,48348.2,0,.001,0,0,.01
MK,p10p11,2023,115647.1,70237.10000000001,.0023,.0014,.1,.11
MK,p11p12,2023,123458.6,83007.5,.0025,.0017,.11,.12
MK,p12p13,2023,131302.7,95777.8,.0026,.0019,.12,.13
MK,p13p14,2023,140164.3,108548.2,.0028,.0022,.13,.14
MK,p14p15,2023,150362.8,121318.6,.003,.0024,.14,.15
MK,p15p16,2023,162380.3,134089,.0033,.0027,.15,.16
MK,p16p17,2023,173200,146859.3,.0035,.003,.16,.17
MK,p17p18,2023,182236,159629.7,.0037,.0032,.17,.18
MK,p18p19,2023,191775,172400.1,.0039,.0035,.18,.19
MK,p19p20,2023,199787.6,185170.5,.004,.0037,.19,.2
MK,p1p2,2023,51232.10000000001,0,.001,0,.01,.02
MK,p20p21,2023,207986.7,191555.7,.0042,.0039,.2,.21
MK,p21p22,2023,214334.1,198759.2,.0043,.004,.21,.22
MK,p22p23,2023,220625.3,205885,.0044,.0041,.22,.23
MK,p23p24,2023,226316.2,212307.1,.0046,.0043,.23,.24
MK,p24p25,2023,231873.9,218557.6,.0047,.0044,.24,.25
MK,p25p26,2023,237922.6,225317.1,.0048,.0045,.25,.26
MK,p26p27,2023,245201.7,233321.1,.0049,.0047,.26,.27
MK,p27p28,2023,252066.8,240823.1,.0051,.0049,.27,.28
MK,p28p29,2023,258721.8,248054.6,.0052,.005,.28,.29
MK,p29p30,2023,265205.3,255062.6,.0053,.0051,.29,.3
MK,p2p3,2023,54710.4,0,.0011,0,.02,.03
MK,p30p31,2023,271671.1,262018.7,.0055,.0053,.3,.31
MK,p31p32,2023,277734.6,268491.7,.0056,.0054,.31,.32
MK,p32p33,2023,284271.3,275481.7,.0057,.0056,.32,.33
MK,p33p34,2023,290825.8,282478.7,.0059,.0057,.33,.34
MK,p34p35,2023,297217.6,289293.1,.006,.0058,.34,.35
MK,p35p36,2023,304274.9,296833,.0061,.006,.35,.36
MK,p36p37,2023,310415.3,303435.8,.0063,.0061,.36,.37
MK,p37p38,2023,316194.9,309644.3,.0064,.0062,.37,.38
MK,p38p39,2023,323006.7,316973.7,.0065,.0064,.38,.39
MK,p39p40,2023,329854,324336,.0066,.0065,.39,.4
MK,p3p4,2023,58987.4,0,.0012,0,.03,.04
MK,p40p41,2023,336807.8,331801,.0068,.0067,.4,.41
MK,p41p42,2023,344391.6,340142.3,.0069,.0069,.41,.42
MK,p42p43,2023,352575.8,349133.3,.0071,.007,.42,.43
MK,p43p44,2023,359683.4,356930.7,.0072,.0072,.43,.44
MK,p44p45,2023,366740.7,364660.3,.0074,.0073,.44,.45
MK,p45p46,2023,374315.7,372929.7,.0075,.0075,.45,.46
MK,p46p47,2023,381396.6,380546.5,.0077,.0077,.46,.47
MK,p47p48,2023,389924,389705.1,.0079,.0079,.47,.48
MK,p48p49,2023,399176,399634.3,.008,.0081,.48,.49
MK,p49p50,2023,408309.7,409403.7,.0082,.0083,.49,.5
MK,p4p5,2023,63663.7,0,.0013,0,.04,.05
MK,p50p51,2023,416073.9,417661.2,.0084,.0084,.5,.51
MK,p51p52,2023,422885.7,424960.6,.0085,.0086,.51,.52
MK,p52p53,2023,430123.4,432701.1,.0087,.0087,.52,.53
MK,p53p54,2023,437482.5,440567.4,.0088,.0089,.53,.54
MK,p54p55,2023,444128.6,447637.2,.0089,.009,.54,.55
MK,p55p56,2023,451484.7,455478.5,.0091,.0092,.55,.5600000000000001
MK,p56p57,2023,458565.7,463125.2,.0092,.0093,.5600000000000001,.57
MK,p57p58,2023,466170.2,471336.8,.0094,.0095,.57,.58
MK,p58p59,2023,473854.5,479642.2,.0095,.0097,.58,.59
MK,p59p60,2023,480749.2,487090.3,.0097,.0098,.59,.6
MK,p5p6,2023,69478.7,6385.200000000001,.0014,.0001,.05,.06
MK,p60p61,2023,487765.1,494678.1,.0098,.01,.6,.61
MK,p61p62,2023,495715.6,503342.8,.01,.0101,.61,.62
MK,p62p63,2023,502805.5,511069.3,.0101,.0103,.62,.63
MK,p63p64,2023,510377.5,519323.8,.0103,.0105,.63,.64
MK,p64p65,2023,517600.4,527182,.0104,.0106,.64,.65
MK,p65p66,2023,524693.2000000001,534894.6,.0106,.0108,.65,.66
MK,p66p67,2023,532771,543638.1,.0107,.011,.66,.67
MK,p67p68,2023,541123.8,552657.1,.0109,.0111,.67,.68
MK,p68p69,2023,550017.9,562244.9,.0111,.0113,.68,.6899999999999999
MK,p69p70,2023,560178,573172,.0113,.0116,.6899999999999999,.7
MK,p6p7,2023,77742.8,19155.6,.0016,.0004,.06,.07
MK,p70p71,2023,570065.9,583786.8,.0115,.0118,.7,.71
MK,p71p72,2023,580811.6,595066.2000000001,.0117,.012,.71,.72
MK,p72p73,2023,591601.6,606364.6,.0119,.0122,.72,.73
MK,p73p74,2023,602356.2000000001,617602.1,.0121,.0124,.73,.74
MK,p74p75,2023,612451.2000000001,628115.1,.0123,.0127,.74,.75
MK,p75p76,2023,623897.9,640067.2000000001,.0126,.0129,.75,.76
MK,p76p77,2023,635467.3,652031.2000000001,.0128,.0131,.76,.77
MK,p77p78,2023,646304.7000000001,663197.9,.013,.0134,.77,.78
MK,p78p79,2023,658909.4,676270.7000000001,.0133,.0136,.78,.79
MK,p79p80,2023,671820.2000000001,689674.8,.0135,.0139,.79,.8
MK,p7p8,2023,87154.60000000001,31925.9,.0018,.0006,.07,.08
MK,p80p81,2023,684276.9,702600,.0138,.0142,.8,.8100000000000001
MK,p81p82,2023,701447,720434.3,.0141,.0145,.8100000000000001,.82
MK,p82p83,2023,720190.6000000001,739969.2000000001,.0145,.0149,.82,.83
MK,p83p84,2023,737873.8,758378.4,.0149,.0153,.83,.84
MK,p84p85,2023,756144.1000000001,777442.2000000001,.0152,.0157,.84,.85
MK,p85p86,2023,777042.5,799358.3,.0157,.0161,.85,.86
MK,p86p87,2023,802213.3,825770.5,.0162,.0166,.86,.87
MK,p87p88,2023,825262,849944.1000000001,.0166,.0171,.87,.88
MK,p88p89,2023,852175,878302.4,.0172,.0177,.88,.89
MK,p89p90,2023,870997,898026,.0176,.0181,.89,.9
MK,p8p9,2023,95764.70000000001,44696.3,.0019,.0009,.08,.09
MK,p90p91,2023,899782.3,928477,.0181,.0187,.9,.91
MK,p91p92,2023,907051.1000000001,934918.1000000001,.0183,.0188,.91,.92
MK,p92p93,2023,949936.3,979476,.0191,.0197,.92,.93
MK,p93p94,2023,981153.7000000001,1011504.9,.0198,.0204,.93,.9399999999999999
MK,p94p95,2023,1066186.7,1100937.9,.0215,.0222,.9399999999999999,.95
MK,p95p96,2023,1160219.7,1199825,.0234,.0242,.95,.96
MK,p96p97,2023,1334028.2,1381589.2,.0269,.0278,.96,.97
MK,p97p98,2023,1529026.8,1585007.3,.0308,.0319,.97,.98
MK,p98p99,2023,1898648.8,1972384,.0383,.0397,.98,.99
MK,p99.1p99.2,2023,2386701.5,2480490.2,.0048,.005,.991,.992
MK,p99.2p99.3,2023,2516282.8,2617837.3,.0051,.0053,.992,.993
MK,p99.3p99.4,2023,2673693.3,2785134.4,.0054,.0056,.993,.9940000000000001
MK,p99.4p99.5,2023,2871662.6,2995325,.0058,.006,.9940000000000001,.995
MK,p99.5p99.6,2023,3130987.8,3270940.4,.0063,.0066,.995,.996
MK,p99.6p99.7,2023,3493172.4,3655838.1,.007,.0074,.996,.997
MK,p99.7p99.8,2023,4055322.8,4251625.7,.0082,.0086,.997,.998
MK,p99.8p99.9,2023,5125257.5,5383296.100000001,.0103,.0108,.998,.9990000000000001
MK,p99.9p100,2023,10563258.1,11140069.6,.0213,.0224,.9990000000000001,1
MK,p99p99.1,2023,2278194.6,2365045.1,.0046,.0048,.99,.991
MK,p9p10,2023,105868.6,57466.7,.0021,.0012,.09,.1
