country,percentile,year,avg_posttax,avg_pretax,share_posttax,share_pretax,p_low,p_high
ML,p0p1,2023,70738.5,0,.0006,0,0,.01
ML,p10p11,2023,255710.1,123983,.0023,.0011,.1,.11
ML,p11p12,2023,266216.7,146525.4,.0023,.0013,.11,.12
ML,p12p13,2023,278076.4,169067.7,.0024,.0015,.12,.13
ML,p13p14,2023,288150,191610.1,.0025,.0017,.13,.14
ML,p14p15,2023,299204.6,214152.5,.0026,.0019,.14,.15
ML,p15p16,2023,311091.3,236694.8,.0027,.0021,.15,.16
ML,p16p17,2023,321882,259237.2,.0028,.0023,.16,.17
ML,p17p18,2023,332469.8,281779.6,.0029,.0025,.17,.18
ML,p18p19,2023,342090.1,304321.9,.003,.0027,.18,.19
ML,p19p20,2023,350492.7,326864.3,.0031,.0029,.19,.2
ML,p1p2,2023,97096.40000000001,0,.0009,0,.01,.02
ML,p20p21,2023,362054.7,338135.5,.0032,.003,.2,.21
ML,p21p22,2023,374252.6,350880.8,.0033,.0031,.21,.22
ML,p22p23,2023,385449.3,362598.8,.0034,.0032,.22,.23
ML,p23p24,2023,394880.2,372520.6,.0035,.0033,.23,.24
ML,p24p25,2023,402836.3,380942.9,.0035,.0034,.24,.25
ML,p25p26,2023,411583.9,390147.1,.0036,.0034,.25,.26
ML,p26p27,2023,421393.6,400290.6,.0037,.0035,.26,.27
ML,p27p28,2023,430242.7,409453.6,.0038,.0036,.27,.28
ML,p28p29,2023,439030.9,418525.3,.0039,.0037,.28,.29
ML,p29p30,2023,447717.6,427473.6,.0039,.0038,.29,.3
ML,p2p3,2023,123325.6,0,.0011,0,.02,.03
ML,p30p31,2023,457107.9,437111.9,.004,.0039,.3,.31
ML,p31p32,2023,465760.8,446075,.0041,.0039,.31,.32
ML,p32p33,2023,474921.1,455548.2,.0042,.004,.32,.33
ML,p33p34,2023,484521.2,465459,.0043,.0041,.33,.34
ML,p34p35,2023,494479.8,475723.1,.0044,.0042,.34,.35
ML,p35p36,2023,505142,486689.3,.0045,.0043,.35,.36
ML,p36p37,2023,514640.5,496703.3,.0045,.0044,.36,.37
ML,p37p38,2023,524274.4,506841.1,.0046,.0045,.37,.38
ML,p38p39,2023,533346.7000000001,516412.2,.0047,.0045,.38,.39
ML,p39p40,2023,543156.5,526709.7000000001,.0048,.0046,.39,.4
ML,p3p4,2023,142336.3,0,.0013,0,.03,.04
ML,p40p41,2023,554258.4,538302.6,.0049,.0047,.4,.41
ML,p41p42,2023,564244.1,549018.7000000001,.005,.0048,.41,.42
ML,p42p43,2023,573445,558940.7000000001,.0051,.0049,.42,.43
ML,p43p44,2023,583207.4,569437.1,.0051,.005,.43,.44
ML,p44p45,2023,594715.2000000001,581698.4,.0052,.0051,.44,.45
ML,p45p46,2023,607143.2000000001,594906.6,.0053,.0052,.45,.46
ML,p46p47,2023,620281.5,608730.4,.0055,.0054,.46,.47
ML,p47p48,2023,633994.9,623142.6,.0056,.0055,.47,.48
ML,p48p49,2023,646199.6000000001,636029.2000000001,.0057,.0056,.48,.49
ML,p49p50,2023,658654.6000000001,649166.8,.0058,.0057,.49,.5
ML,p4p5,2023,161110.2,0,.0014,0,.04,.05
ML,p50p51,2023,671035.2000000001,662241.9,.0059,.0058,.5,.51
ML,p51p52,2023,682414.5,674442.2000000001,.006,.0059,.51,.52
ML,p52p53,2023,695850.5,688746.8,.0061,.0061,.52,.53
ML,p53p54,2023,709563.9,703343.7000000001,.0063,.0062,.53,.54
ML,p54p55,2023,724704.8,719403.6000000001,.0064,.0063,.54,.55
ML,p55p56,2023,737538.6000000001,733131.4,.0065,.0065,.55,.5600000000000001
ML,p56p57,2023,750474,746583.3,.0066,.0066,.5600000000000001,.57
ML,p57p58,2023,766352.3,763040.9,.0068,.0067,.57,.58
ML,p58p59,2023,780742.2000000001,778001.4,.0069,.0069,.58,.59
ML,p59p60,2023,794252.6000000001,792073,.007,.007,.59,.6
ML,p5p6,2023,180641.7,11271.2,.0016,.0001,.05,.06
ML,p60p61,2023,810205.3,808646,.0071,.0071,.6,.61
ML,p61p62,2023,828985.9,828255.6000000001,.0073,.0073,.61,.62
ML,p62p63,2023,848794.9,848927,.0075,.0075,.62,.63
ML,p63p64,2023,869172.1000000001,870221.5,.0077,.0077,.63,.64
ML,p64p65,2023,888412.8,890366.9,.0078,.0078,.64,.65
ML,p65p66,2023,909493.7000000001,912418.1000000001,.008,.008,.65,.66
ML,p66p67,2023,930608.3,935373.3,.0082,.0082,.66,.67
ML,p67p68,2023,957324.7000000001,964112.9,.0084,.0085,.67,.68
ML,p68p69,2023,980942.6000000001,989701.4,.0086,.0087,.68,.6899999999999999
ML,p69p70,2023,1003362.9,1014078.3,.0088,.0089,.6899999999999999,.7
ML,p6p7,2023,196540.3,33813.5,.0017,.0003,.06,.07
ML,p70p71,2023,1028631.5,1041418.9,.0091,.0092,.7,.71
ML,p71p72,2023,1051721.7,1066390.3,.0093,.0094,.71,.72
ML,p72p73,2023,1077612.7,1094263.7,.0095,.0096,.72,.73
ML,p73p74,2023,1105100.3,1123809,.0097,.0099,.73,.74
ML,p74p75,2023,1135903,1156816.5,.01,.0102,.74,.75
ML,p75p76,2023,1163559.8,1186597.9,.0103,.0105,.75,.76
ML,p76p77,2023,1197684.2,1221566.7,.0106,.0108,.76,.77
ML,p77p78,2023,1232410.8,1257190.6,.0109,.0111,.77,.78
ML,p78p79,2023,1273909.5,1299886.5,.0112,.0115,.78,.79
ML,p79p80,2023,1318547.3,1345875.6,.0116,.0119,.79,.8
ML,p7p8,2023,210686.7,56355.9,.0019,.0005,.07,.08
ML,p80p81,2023,1365830.3,1394677,.012,.0123,.8,.8100000000000001
ML,p81p82,2023,1425291,1456044.8,.0126,.0128,.8100000000000001,.82
ML,p82p83,2023,1484149.6,1516853.8,.0131,.0134,.82,.83
ML,p83p84,2023,1550240.4,1585246.8,.0137,.014,.83,.84
ML,p84p85,2023,1616256.7,1653650.8,.0142,.0146,.84,.85
ML,p85p86,2023,1679269.2,1719037.4,.0148,.0151,.85,.86
ML,p86p87,2023,1767726.2,1812082.7,.0156,.016,.86,.87
ML,p87p88,2023,1867440.8,1916983.1,.0165,.0169,.87,.88
ML,p88p89,2023,1972594.7,2027688.4,.0174,.0179,.88,.89
ML,p89p90,2023,2119365.7,2181900.9,.0187,.0192,.89,.9
ML,p8p9,2023,224778.9,78898.3,.002,.0007,.08,.09
ML,p90p91,2023,2295812.9,2367249.2,.0202,.0209,.9,.91
ML,p91p92,2023,2487384,2568024.4,.0219,.0226,.91,.92
ML,p92p93,2023,2723562.6,2815369.8,.024,.0248,.92,.93
ML,p93p94,2023,3020372.2,3126026.7,.0266,.0275,.93,.9399999999999999
ML,p94p95,2023,3420871,3544923.9,.0301,.0312,.9399999999999999,.95
ML,p95p96,2023,3893908,4039551.9,.0343,.0356,.95,.96
ML,p96p97,2023,4644043.7,4826466.2,.0409,.0425,.96,.97
ML,p97p98,2023,5712190,5946183.2,.0503,.0524,.97,.98
ML,p98p99,2023,7689854.5,8017387.7,.0677,.0706,.98,.99
ML,p99.1p99.2,2023,9220679.1,9654959.300000001,.0081,.0085,.991,.992
ML,p99.2p99.3,2023,9596646.800000001,10070234.8,.0085,.0089,.992,.993
ML,p99.3p99.4,2023,10048809.3,10567231.5,.0089,.0093,.993,.9940000000000001
ML,p99.4p99.5,2023,10611974.3,11179062.7,.0093,.0098,.9940000000000001,.995
ML,p99.5p99.6,2023,11334691.7,11962171.5,.01,.0105,.995,.996
ML,p99.6p99.7,2023,12318759,13023666.2,.0109,.0115,.996,.997
ML,p99.7p99.8,2023,13799433,14603716.9,.0122,.0129,.997,.998
ML,p99.8p99.9,2023,16472847.3,17434786.4,.0145,.0154,.998,.9990000000000001
ML,p99.9p100,2023,28168538.4,29822802,.0248,.0263,.9990000000000001,1
ML,p99p99.1,2023,8903680,9300448.4,.0078,.0082,.99,.991
ML,p9p10,2023,239155.3,101440.6,.0021,.0009,.09,.1
